

"DOTA_Tooltip_ability_first_test"	"英雄技能-初阶"
"DOTA_Tooltip_ability_Primary_Poison_Nova_Lore"	"真正的剧毒不会直接导致你死亡，而是一步一步地折磨你，给你希望，又将希望夺走。"
"DOTA_Tooltip_ability_Primary_Poison_Nova_poison"	"基础累计毒素："
"DOTA_Tooltip_ability_Primary_Poison_Nova_bonus_poison"	"额外累计毒素：主属性 ×"
"DOTA_Tooltip_ability_Primary_Poison_Nova_poison_res"	"%中毒伤害抗性降低："
"DOTA_Tooltip_ability_Primary_Poison_Nova_radius"	"新星范围："
"DOTA_Tooltip_ability_Primary_Poison_Nova_duration"	"持续时间："
"DOTA_Tooltip_modifier_Primary_Poison_Nova"	"剧毒新星"
"DOTA_Tooltip_modifier_Primary_Poison_Nova_Description"	"中毒抗性降低，但不会因中毒状态死亡"

"DOTA_Tooltip_ability_Middle_Poison_Nova"	"中阶剧毒新星"
"DOTA_Tooltip_ability_Middle_Poison_Nova_Description"	"释放剧毒新星对周围的敌人施加巨量中毒效果，同时在一定时间内降低他们的中毒伤害抗性，但敌人在此状态持续期间不会因中毒伤害而死亡。<br><br>【奥术转化】剧毒新星施加的中毒会以%index%%%效率受到技能增强影响。"
"DOTA_Tooltip_ability_Middle_Poison_Nova_Lore"	"真正的剧毒不会直接导致你死亡，而是一步一步地折磨你，给你希望，又将希望夺走。"
"DOTA_Tooltip_ability_Middle_Poison_Nova_poison"	"基础累计毒素："
"DOTA_Tooltip_ability_Middle_Poison_Nova_bonus_poison"	"额外累计毒素：主属性 ×"
"DOTA_Tooltip_ability_Middle_Poison_Nova_poison_res"	"%中毒伤害抗性降低："
"DOTA_Tooltip_ability_Middle_Poison_Nova_radius"	"新星范围："
"DOTA_Tooltip_ability_Middle_Poison_Nova_duration"	"持续时间："
"DOTA_Tooltip_modifier_Middle_Poison_Nova"	"剧毒新星"
"DOTA_Tooltip_modifier_Middle_Poison_Nova_Description"	"中毒抗性降低，但不会因中毒状态死亡"

"DOTA_Tooltip_ability_Advanced_Poison_Nova"	"高阶剧毒新星"
"DOTA_Tooltip_ability_Advanced_Poison_Nova_Description"	"释放剧毒新星对周围的敌人施加巨量中毒效果，同时在一定时间内降低他们的中毒伤害抗性，但敌人在此状态持续期间不会因中毒伤害而死亡。<br><br>【奥术转化】剧毒新星施加的中毒会以%index%%%效率受到技能增强影响。<br><br>【毒素互溶】如果被命中的敌人已经进入中毒状态，那么剧毒新星对其施加的中毒效果提高%index_2%%%。"
"DOTA_Tooltip_ability_Advanced_Poison_Nova_Lore"	"真正的剧毒不会直接导致你死亡，而是一步一步地折磨你，给你希望，又将希望夺走。"
"DOTA_Tooltip_ability_Advanced_Poison_Nova_poison"	"基础累计毒素："
"DOTA_Tooltip_ability_Advanced_Poison_Nova_bonus_poison"	"额外累计毒素：主属性 ×"
"DOTA_Tooltip_ability_Advanced_Poison_Nova_poison_res"	"%中毒伤害抗性降低："
"DOTA_Tooltip_ability_Advanced_Poison_Nova_radius"	"新星范围："
"DOTA_Tooltip_ability_Advanced_Poison_Nova_duration"	"持续时间："
"DOTA_Tooltip_modifier_Advanced_Poison_Nova"	"剧毒新星"
"DOTA_Tooltip_modifier_Advanced_Poison_Nova_Description"	"中毒抗性降低，但不会因中毒状态死亡"
"DOTA_Tooltip_ability_Advanced_Poison_Nova_note_lv5"			"【奥数转化+】技能增强效率提高至70%%"
"DOTA_Tooltip_ability_Advanced_Poison_Nova_note_lv10"			"【剧毒回收】敌人在状态持续期间死亡会返还剧毒新星1秒剩余冷却时间"
"DOTA_Tooltip_ability_Advanced_Poison_Nova_note_lv15"			"【毒素互溶+】对已经中毒的敌人施加的中毒效果提高至30%%"
"DOTA_Tooltip_ability_Advanced_Poison_Nova_note_lv20"			"【剧毒回收+】敌人在状态持续期间死亡时，在其位置产生一个小型新星使周围的敌人中毒，其范围和中毒效果仅有15%%，且不会施加'剧毒新星'状态"
"DOTA_Tooltip_ability_Advanced_Poison_Nova_note_base_Info"      "基础累计毒素：+15/级<br/>额外累计毒素乘数：+0.2/级"	
// "DOTA_Tooltip_ability_Advanced_Poison_Nova_note_lv25_1"				"【猩红腐败】转变为红色的毒素，可以致死，每秒额外扣除敌人2%%的最大生命值(但无法超过自身当前魔法值的70%%,不会被反向增幅影响)"
// "DOTA_Tooltip_ability_Advanced_Poison_Nova_note_lv25_2"				"【死亡的赠礼】转变为4次基础持续时间为10的剧毒新星，在第一次释放后的2秒/4秒/6秒还将释放出额外的剧毒新星，毒素将后转变为同一个状态（独立计算除了'反向增幅'之外的所有效果），且每层额外的毒素将使伤害增加20%%"
// "DOTA_Tooltip_ability_Advanced_Poison_Nova_note_lv25_3"				"【痛苦的病村】当敌人携带的高阶剧毒新星负面状态数量少于等于3时，状态的倒计时速度会减少60%%"


"DOTA_Tooltip_ability_Primary_Plague_Ward"	"低阶剧毒守卫"
"DOTA_Tooltip_ability_Primary_Plague_Ward_Description"	"在指定地点召唤一个瘟疫守卫攻击敌人。"
"DOTA_Tooltip_ability_Primary_Plague_Ward_Lore"	"利用各种毒素合成，培养出的一种活体瘟疫。"
"DOTA_Tooltip_ability_Primary_Plague_Ward_Note0"	"额外的说明：<br>属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性，对比汲取继承不会短时间丢失属性，但继承属性相对较低。<br>剧毒守卫攻击速度为每秒一下，基础护甲为0，继承施法者的百分比生命，攻击力，护甲。<br>受到召唤强度与召唤时间增强影响。<br>"
"DOTA_Tooltip_ability_Primary_Plague_Ward_duration"	"持续时间："
"DOTA_Tooltip_ability_Primary_Plague_Ward_bonus_damage"	"%攻击继承："
"DOTA_Tooltip_ability_Primary_Plague_Ward_bonus_creep_health"	"%生命继承："
"DOTA_Tooltip_ability_Middle_Plague_Ward"	"中阶剧毒守卫"
"DOTA_Tooltip_ability_Middle_Plague_Ward_Description"	"在指定地点召唤一个瘟疫守卫攻击敌人。<br><br>【增殖体】在母体周围生成%plague_amount个增殖体，拥有母体40%%攻击力，只有1点生命值.<br>"
"DOTA_Tooltip_ability_Middle_Plague_Ward_Lore"	"活体瘟疫可以繁殖，从某种意义上讲，这已经是一种生物了。"
"DOTA_Tooltip_ability_Middle_Plague_Ward_Note0"	"额外的说明：<br>属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性，对比汲取继承不会短时间丢失属性，但继承属性相对较低。<br>剧毒守卫攻击速度为每秒一下，基础护甲为0，继承施法者的百分比生命，攻击力，护甲。<br>受到召唤强度与召唤时间增强影响。<br>"
"DOTA_Tooltip_ability_Middle_Plague_Ward_duration"	"持续时间："
"DOTA_Tooltip_ability_Middle_Plague_Ward_bonus_damage"	"%攻击继承："
"DOTA_Tooltip_ability_Middle_Plague_Ward_bonus_creep_health"	"%生命继承："
"DOTA_Tooltip_ability_Advanced_Plague_Ward"	"高阶剧毒守卫"
"DOTA_Tooltip_ability_Advanced_Plague_Ward_Description"	"在指定地点召唤一个瘟疫守卫攻击敌人。<br><br>【增殖体】在母体周围生成%plague_amount%个增殖体，拥有母体40%%攻击力，只有1点生命值.<br><br>【毒液腐蚀】攻击可以腐蚀目标的护甲，减少1点护甲与3%%魔法抗性。"
"DOTA_Tooltip_ability_Advanced_Plague_Ward_Lore"	"强大的毒液将腐蚀掉所有装甲，在不断增值的活体瘟疫海中，无人可以生还。"
"DOTA_Tooltip_ability_Advanced_Plague_Ward_Note0"	"额外的说明：<br>属性继承类型：母体继承<br>此类继承方式加成来自施法者的属性，对比汲取继承不会短时间丢失属性，但继承属性相对较低。<br>剧毒守卫攻击速度为每秒一下，基础护甲为0，继承施法者的百分比生命，攻击力，护甲。<br>受到召唤强度与召唤时间增强影响。<br><br>"
"DOTA_Tooltip_ability_Advanced_Plague_Ward_duration"	"持续时间："
"DOTA_Tooltip_ability_Advanced_Plague_Ward_tick_damage"	"每次伤害："
"DOTA_Tooltip_ability_Advanced_Plague_Ward_tick_damage_pct"	"生命值百分比："
"DOTA_Tooltip_ability_Advanced_Plague_Ward_tick_interval"	"伤害间隔："
"DOTA_Tooltip_ability_Advanced_Plague_Ward_bonus_damage"	"%攻击继承："
"DOTA_Tooltip_ability_Advanced_Plague_Ward_bonus_creep_health"	"%生命继承："


"DOTA_Tooltip_ability_Primary_Venomous_Gale"	"低阶瘴气"
"DOTA_Tooltip_ability_Primary_Venomous_Gale_Description"	"向前方发射一团缓慢飞行的毒液，被命中的敌人会中毒并受到持续衰减的减速效果。"
"DOTA_Tooltip_ability_Primary_Venomous_Gale_Lore"	"多种剧毒混合起来的物质，让对手三步倒。"
"DOTA_Tooltip_ability_Primary_Venomous_Gale_poison"	"基础累计毒素："
"DOTA_Tooltip_ability_Primary_Venomous_Gale_bonus_poison"	"额外累计毒素：主属性 ×"
"DOTA_Tooltip_ability_Primary_Venomous_Gale_initial_slow"	"移动速度降低："
"DOTA_Tooltip_ability_Primary_Venomous_Gale_duration"	"减速持续时间："
"DOTA_Tooltip_modifier_Primary_Venomous_Gale_slow"                   "瘴气"
"DOTA_Tooltip_modifier_Primary_Venomous_Gale_slow_Description"                   "移动速度降低"

"DOTA_Tooltip_ability_Middle_Venomous_Gale"	"中阶瘴气"
"DOTA_Tooltip_ability_Middle_Venomous_Gale_Description"	"向前方发射一团缓慢飞行的毒液，被命中的敌人会中毒并受到持续衰减的减速效果。<br><br>【强效毒素】被命中的敌人每有%each%当前生命值，瘴气对其施加的中毒效果和减速时长就会提高%index%%% [+]，最多达到%index_max%%%。"
"DOTA_Tooltip_ability_Middle_Venomous_Gale_Lore"	"多种剧毒混合起来的物质，让对手三步倒。"
"DOTA_Tooltip_ability_Middle_Venomous_Gale_poison"	"基础累计毒素："
"DOTA_Tooltip_ability_Middle_Venomous_Gale_bonus_poison"	"额外累计毒素：主属性 ×"
"DOTA_Tooltip_ability_Middle_Venomous_Gale_initial_slow"	"移动速度降低："
"DOTA_Tooltip_ability_Middle_Venomous_Gale_duration"	"减速持续时间："
"DOTA_Tooltip_modifier_Middle_Venomous_Gale_slow"                   "瘴气"
"DOTA_Tooltip_modifier_Middle_Venomous_Gale_slow_Description"                   "移动速度降低"

"DOTA_Tooltip_ability_Advanced_Venomous_Gale"	"高阶瘴气"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_Description"	"向前方发射一团缓慢飞行的毒液，被命中的敌人会中毒并受到持续衰减的减速效果。<br><br>【强效毒素】被命中的敌人每有%each%当前生命值，瘴气对其施加的中毒效果和减速时长就会提高%index%%% [+]，最多达到%index_max%%%。<br><br>【蛰毒】减速状态可以叠加，同时每%interval%秒还会使敌人麻痹%stun_duration%秒。"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_Lore"	"多种剧毒混合起来的物质，让对手三步倒。"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_poison"	"基础累计毒素："
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_bonus_poison"	"额外累计毒素：主属性 ×"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_initial_slow"	"移动速度降低："
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_duration"	"减速持续时间："
"DOTA_Tooltip_modifier_Advanced_Venomous_Gale_slow"                   "蛰毒"
"DOTA_Tooltip_modifier_Advanced_Venomous_Gale_slow_Description"                   "移动速度降低，间歇性进入眩晕状态"
"DOTA_Tooltip_modifier_Advanced_Venomous_Gale_stun"                   "蛰毒"
"DOTA_Tooltip_modifier_Advanced_Venomous_Gale_stun_Description"                   "无法行动"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_note_lv5"			"【强效毒素+】最大提高上限增加至120%%"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_note_lv10"			"【奥术转化】瘴气施加的毒素可以以75%%效率受到正向技能增强的影响"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_note_lv15"			"【蒲公英毒雾】毒液的飞行速度减少90%%，飞行距离延长50%%"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_note_lv20"			"【蛰毒+】每个减速效果还会使敌人的中毒伤害抗性降低10%%"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_note_base_Info"  "基础累计毒素：+5/级<br/>额外累计毒素：+0.08/级<br/>移动速度降低：+2/级"
// "DOTA_Tooltip_ability_Advanced_Venomous_Gale_note_lv25_1"				"【剧毒新星】对命中的敌人附加10秒的剧毒新星(被50%%状态抗性与负面状态持续时间增强影响)"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_note_lv25_2"				"【尸套龙的瘴气】转变为置放一个500范围的区域瘴气，持续20秒，仅受负面状态持续时间增强影响，瘴气内的敌人将被持续减速并每秒持续叠加20%%效率的中毒。"
"DOTA_Tooltip_ability_Advanced_Venomous_Gale_note_lv25_3"				"【死灵哀嚎】在状态持续期间死亡的单位会爆炸，对周围400范围至多6名敌人造成智力*5的魔法伤害并向你所在位置射出一团瘴气（但不会二次爆炸）"


"DOTA_Tooltip_ability_Primary_Culling_Blade"	"低阶淘汰之刃"
"DOTA_Tooltip_ability_Primary_Culling_Blade_Description"	"<font color='#9370db'>斩杀</font>生命值较低的敌人，成功后会增加周围友军的移动速度和攻击速度并返还冷却时间，否则造成伤害。"
"DOTA_Tooltip_ability_Primary_Culling_Blade_Lore"	"寻找敌人的弱点下手，往往可以事半功倍，将其斩杀后我方士气定会大增。"
"DOTA_Tooltip_ability_Primary_Culling_Blade_caster_health_percent"	"%斩杀阈值：自身最大生命值×"
"DOTA_Tooltip_ability_Primary_Culling_Blade_health_damage"	"%斩杀失败伤害：自身最大生命值×"
"DOTA_Tooltip_ability_Primary_Culling_Blade_speed_aoe"	"鼓舞范围："
"DOTA_Tooltip_ability_Primary_Culling_Blade_as_bonus"	"攻击速度增加："
"DOTA_Tooltip_ability_Primary_Culling_Blade_speed_bonus"	"%移动速度增加："
"DOTA_Tooltip_ability_Primary_Culling_Blade_speed_duration"	"鼓舞持续时间："
"DOTA_Tooltip_modifier_Primary_Culling_Blade_sprint"                   "低阶淘汰之刃"
"DOTA_Tooltip_modifier_Primary_Culling_Blade_sprint_Description"                   "攻击速度和移动速度提高"
"DOTA_Tooltip_ability_Middle_Culling_Blade"	"中阶淘汰之刃"
"DOTA_Tooltip_ability_Middle_Culling_Blade_Description"	"<font color='#9370db'>斩杀</font>生命值较低的敌人，成功后会增加周围友军的移动速度和攻击速度并返还冷却时间，否则造成伤害。<br><br>【弱点暴露】未能<font color='#9370db'>斩杀</font>时使目标受到的物理伤害增加%incoming%%%，持续%duration%秒。"
"DOTA_Tooltip_ability_Middle_Culling_Blade_Lore"	"酒且斟下，某去便来。"
"DOTA_Tooltip_ability_Middle_Culling_Blade_caster_health_percent"	"%斩杀阈值：自身最大生命值×"
"DOTA_Tooltip_ability_Middle_Culling_Blade_health_damage"	"%斩杀失败伤害：自身最大生命值×"
"DOTA_Tooltip_ability_Middle_Culling_Blade_speed_aoe"	"鼓舞范围："
"DOTA_Tooltip_ability_Middle_Culling_Blade_as_bonus"	"攻击速度增加："
"DOTA_Tooltip_ability_Middle_Culling_Blade_speed_bonus"	"%移动速度增加："
"DOTA_Tooltip_ability_Middle_Culling_Blade_speed_duration"	"鼓舞持续时间："
"DOTA_Tooltip_modifier_Middle_Culling_Blade_sprint"                   "中阶淘汰之刃"
"DOTA_Tooltip_modifier_Middle_Culling_Blade_sprint_Description"                   "攻击速度和移动速度提高"
"DOTA_Tooltip_modifier_Middle_Culling_Blade_debuff"                   "弱点暴露"
"DOTA_Tooltip_modifier_Middle_Culling_Blade_debuff_Description"                   "受到伤害增加"
"DOTA_Tooltip_ability_Advanced_Culling_Blade"	"高阶淘汰之刃"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_Description"	"<font color='#9370db'>斩杀</font>生命值较低的敌人，成功后会增加周围友军的移动速度和攻击速度并返还冷却时间，否则造成伤害。<br><br>【弱点暴露】未能<font color='#9370db'>斩杀</font>时使目标受到的物理伤害增加%incoming%%%，持续%duration%秒。<br><br>【鲜血沐浴】<font color='#9370db'>斩杀</font>成功时泼洒敌人的鲜血，提高%radius%范围内友军英雄%str%点力量和%agi%点敏捷，独立叠加持续%blood_duration%秒。"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_Lore"	"威镇乾坤第一功，辕门画鼓响咚咚。<br>云长停盏施英勇，酒尚温时斩华雄。"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_caster_health_percent"	"%斩杀阈值：自身最大生命值×"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_health_damage"	"%斩杀失败伤害：自身最大生命值×"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_speed_aoe"	"鼓舞范围："
"DOTA_Tooltip_ability_Advanced_Culling_Blade_as_bonus"	"攻击速度增加："
"DOTA_Tooltip_ability_Advanced_Culling_Blade_speed_bonus"	"%移动速度增加："
"DOTA_Tooltip_ability_Advanced_Culling_Blade_speed_duration"	"鼓舞持续时间："
"DOTA_Tooltip_modifier_Advanced_Culling_Blade_blood_effect"                   "鲜血沐浴"
"DOTA_Tooltip_modifier_Advanced_Culling_Blade_blood_effect_Description"                   "力量增加%dMODIFIER_PROPERTY_TOOLTIP%点<br>敏捷增加%dMODIFIER_PROPERTY_TOOLTIP%点"
"DOTA_Tooltip_modifier_Advanced_Culling_Blade_sprint"                   "高阶淘汰之刃"
"DOTA_Tooltip_modifier_Advanced_Culling_Blade_sprint_Description"                   "攻击速度和移动速度提高"
"DOTA_Tooltip_modifier_Advanced_Culling_Blade_debuff"                   "弱点暴露"
"DOTA_Tooltip_modifier_Advanced_Culling_Blade_debuff_Description"                   "受到伤害增加"
"DOTA_Tooltip_modifier_Advanced_Culling_Blade_kill_god"       "杀神"    
"DOTA_Tooltip_modifier_Advanced_Culling_Blade_kill_god_Description"       "赋予斩杀血量阈值提升" 
"DOTA_Tooltip_modifier_Advanced_Culling_Blade_unlock1"                   "20连斩"
"DOTA_Tooltip_modifier_Advanced_Culling_Blade_unlock1_Description"       "赋予斩杀阈值提升" 
"DOTA_Tooltip_ability_Advanced_Culling_Blade_note_lv5"			"【弱点暴露+】易伤幅度提高至40%%"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_note_lv10"			"【鲜血沐浴+】力量加成提高至10，敏捷加成提高至6"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_note_lv15"			"【杀神】斩杀成功后会使斩杀阈值的自身最大生命值系数增加5%% [+]，独立叠加持续15秒"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_note_lv20"			"【弱点暴露++】目标在弱点暴露持续时间内死亡时也会返还冷却时间。"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_note_base_Info"    "斩杀阈值：最大生命值：+1%%/级<br/>斩杀失败伤害：最大生命值：+0.5%%/级<br/>作用范围：+10/级<br/>斩杀成功攻速增加：+2/级<br/>斩杀成功移速增加：+1%/级<br/>持续时间：+0.3/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Culling_Blade_note_lv25_1"				"【二十连斩】每次成功斩杀都可以使自身的斩杀阈值提高力量的50%%，但这个值最大生效值只有当前生命值的五倍"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_note_lv25_2"				"【龙飨】技能转变为范围技能，对400范围内至多5名敌人发动技能效果，斩杀其中任意敌人都可以刷技能冷却效果，且以第一名死亡的敌人为中心再发动一次技能效果（仅一次）"
"DOTA_Tooltip_ability_Advanced_Culling_Blade_note_lv25_3"				"【反击淘汰】技能转变为被动技能，每次受到攻击时有10%%几率对其发动一次淘汰之刃"


"DOTA_Tooltip_ability_Middle_Counter_Helix"	"中阶反击螺旋"
"DOTA_Tooltip_ability_Middle_Counter_Helix_Description"	"受到攻击时，有几率做出螺旋反击，对附近的至多5个单位造成伤害。\n\n【动能维续】保存动能，每次触发都能使下一次反击螺旋的伤害提高5%%，范围提高10，独立计算时间，持续15秒。（额外范围最多500）"
"DOTA_Tooltip_ability_Middle_Counter_Helix_Lore"	"螺旋反击完成之后，继续旋转身体，将动能维持，则可以发挥更强大的力量。"
"DOTA_Tooltip_ability_Middle_Counter_Helix_damage"	"基础伤害："
"DOTA_Tooltip_ability_Middle_Counter_Helix_bonus_damage"	"力量乘数："
"DOTA_Tooltip_ability_Middle_Counter_Helix_radius"	"作用范围："
"DOTA_Tooltip_ability_Middle_Counter_Helix_proc_chance"	"%触发几率："
"DOTA_Tooltip_ability_Primary_Counter_Helix"	"低阶反击螺旋"
"DOTA_Tooltip_ability_Primary_Counter_Helix_Description"	"受到攻击时，有几率做出螺旋反击，对附近的至多5个单位造成伤害。"
"DOTA_Tooltip_ability_Primary_Counter_Helix_Lore"	"敌人的攻势越是凶猛，越快败北。"
"DOTA_Tooltip_ability_Primary_Counter_Helix_damage"	"基础伤害："
"DOTA_Tooltip_ability_Primary_Counter_Helix_bonus_damage"	"力量乘数："
"DOTA_Tooltip_ability_Primary_Counter_Helix_radius"	"作用范围："
"DOTA_Tooltip_ability_Primary_Counter_Helix_proc_chance"	"%触发几率："

"DOTA_Tooltip_ability_Primary_Battle_Hunger"	"低阶战斗饥渴"
"DOTA_Tooltip_ability_Primary_Battle_Hunger_Description"	"点燃敌人内心的饥渴，持续对其造成火属性伤害并减少其移动速度，独立叠加持续%duration%秒。每个状态都会为自身提供移动速度。"
"DOTA_Tooltip_ability_Primary_Battle_Hunger_Lore"	"通过将怒气施加在敌人身上，将持续使他们的弱小心灵受伤，直到施法者的狂怒平息。"
"DOTA_Tooltip_ability_Primary_Battle_Hunger_damage"	"基础伤害："
"DOTA_Tooltip_ability_Primary_Battle_Hunger_extra_damage"	"%额外伤害：自身最大生命值×"
"DOTA_Tooltip_ability_Primary_Battle_Hunger_speed_bonus"	"移速加成/减缓："
"DOTA_Tooltip_modifier_Primary_Battle_Hunger_caster"                   "低阶战斗饥渴"
"DOTA_Tooltip_modifier_Primary_Battle_Hunger_caster_Description"                   "赋予战斗能力提升"
"DOTA_Tooltip_modifier_Primary_Battle_Hunger_enemy"                   "低阶战斗饥渴"
"DOTA_Tooltip_modifier_Primary_Battle_Hunger_enemy_Description"                   "被怒火压制"
"DOTA_Tooltip_ability_Middle_Battle_Hunger"	"中阶战斗饥渴"
"DOTA_Tooltip_ability_Middle_Battle_Hunger_Description"	"点燃敌人内心的饥渴，持续对其造成火属性伤害并减少其移动速度，独立叠加持续%duration%秒。每个状态都会为自身提供移动速度。<br><br>【血液反馈】每个状态都会为自身提供%regen%%%已损失生命恢复。"
"DOTA_Tooltip_ability_Middle_Battle_Hunger_Lore"	"每一滴血液都将成为促使敌人死亡的祭品。"
"DOTA_Tooltip_ability_Middle_Battle_Hunger_damage"	"基础伤害："
"DOTA_Tooltip_ability_Middle_Battle_Hunger_extra_damage"	"%额外伤害：自身最大生命值×"
"DOTA_Tooltip_ability_Middle_Battle_Hunger_speed_bonus"	"移速加成/减缓："
"DOTA_Tooltip_modifier_Middle_Battle_Hunger_caster"                   "中阶战斗饥渴"
"DOTA_Tooltip_modifier_Middle_Battle_Hunger_caster_Description"                   "赋予战斗能力提升"
"DOTA_Tooltip_modifier_Middle_Battle_Hunger_enemy"                   "中阶战斗饥渴"
"DOTA_Tooltip_modifier_Middle_Battle_Hunger_enemy_Description"                   "被怒火压制"
"DOTA_Tooltip_ability_Advanced_Battle_Hunger"	"高阶战斗饥渴"
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_Description"	"点燃敌人内心的饥渴，持续对其造成火属性伤害并减少其移动速度，独立叠加持续%duration%秒。每个状态都会为自身提供移动速度。<br><br>【血液反馈】每个状态都会为自身提供%regen%%%已损失生命恢复。<br><br>【战斗反馈】每个状态都会为自身提供%outgoing%%%伤害增加 [+]。"
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_Lore"	"敌人的怒气将激励自己，敌人的生命将引导自己。"
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_damage"	"基础伤害："
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_speed_bonus"	"移速加成/减缓："
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_extra_damage"	"%额外伤害：自身最大生命值×"
"DOTA_Tooltip_modifier_Advanced_Battle_Hunger_unlock3"                   "怒意"
"DOTA_Tooltip_modifier_Advanced_Battle_Hunger_unlock3_Description"                   "储存怒气"
"DOTA_Tooltip_modifier_Advanced_Battle_Hunger_caster"                   "高阶战斗饥渴"
"DOTA_Tooltip_modifier_Advanced_Battle_Hunger_caster_Description"                   "赋予战斗能力提升"
"DOTA_Tooltip_modifier_Advanced_Battle_Hunger_enemy"                   "高阶战斗饥渴"
"DOTA_Tooltip_modifier_Advanced_Battle_Hunger_enemy_Description"                   "被怒火压制"
"DOTA_Tooltip_modifier_Advanced_Battle_Hunger_str_gain"       "愈战愈勇"    
"DOTA_Tooltip_modifier_Advanced_Battle_Hunger_str_gain_Description"       "赋予力量提升" 
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_note_lv5"			"【血液反馈+】已损失生命值恢复提高至2.5%%"
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_note_lv10"			"【战斗反馈+】伤害增加效果提高至6%%"
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_note_lv15"			"【愈战愈勇】每个状态都每秒会使自身获得1点额外力量"
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_note_lv20"			"【永无止境的怒气】受影响的单位死亡时，每层战斗饥渴都会返还自身1秒冷却时间"
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_note_base_Info"    "基础伤害：+3/级<br/>自身最大生命值伤害：+0.1%%/级<br/>持续时间：+0.5/级<br/>速度加成：+0.25%/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_note_lv25_1"				"【淘汰饥渴】每秒造成伤害后，当目标血量到达斩杀线后会对其释放单体高阶淘汰之刃"
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_note_lv25_2"				"【恶意散播】变为群体技能，对目标500范围内的至多5名敌人施加状态，先解锁此效果后你可以再解锁其他两个奥义，反之不可"
"DOTA_Tooltip_ability_Advanced_Battle_Hunger_note_lv25_3"				"【怒意】可以储存怒气，每个状态每秒可以为你提供2点怒气，当怒气到达100/200/300/400/500/700时你造成的所有伤害提升20/50/80/120/170/240%%,怒气每秒自动减少2+3%%"


"DOTA_Tooltip_ability_Primary_Epicenter"	"低阶地震"
"DOTA_Tooltip_ability_Primary_Epicenter_Description"	"将魔力注入地表，引起地震，地震的次数随咏唱时间增长，每波地震都将对至多10个敌人造成伤害与减速。"
"DOTA_Tooltip_ability_Primary_Epicenter_Lore"	"位于地壳之中，有无数掠食者等到猎物的到来，当探险者走到这片地区之上时，忽如其来的地震会使地表形成一个流沙漩涡，将探险者吸入其中。"
"DOTA_Tooltip_ability_Primary_Epicenter_damage"	"基础伤害："
"DOTA_Tooltip_ability_Primary_Epicenter_bonus_damage"	"额外伤害：主属性×"
"DOTA_Tooltip_ability_Primary_Epicenter_slow_ms"	"移速减缓："
"DOTA_Tooltip_ability_Primary_Epicenter_slow_as"	"攻速减缓："
"DOTA_Tooltip_ability_Primary_Epicenter_slow_duration"	"减速时间："
"DOTA_Tooltip_ability_Primary_Epicenter_base_radius"	"作用范围："
"DOTA_Tooltip_ability_Middle_Epicenter"	"中阶地震"
"DOTA_Tooltip_ability_Middle_Epicenter_Description"	"将魔力注入地表，引起地震，地震的次数随咏唱时间增长，每波地震都将对至多10个敌人造成伤害与减速。<br><br>【波】每次释放的地震波有50%%是横波，造成额外50%%伤害，50%%是纵波，会将敌人向中心点拉扯一段距离。<br>"
"DOTA_Tooltip_ability_Middle_Epicenter_Lore"	"地震波是一种机械运动的传布，产生于地球介质的弹性。它的性质和声波很接近，因此又称地声波。"
"DOTA_Tooltip_ability_Middle_Epicenter_damage"	"基础伤害："
