"DOTA_Tooltip_modifier_hd_cleave_damage"                   "分裂伤害"
"DOTA_Tooltip_modifier_Advanced_Blood_Lust_unlock3_sub"                   "嗜血"
"DOTA_Tooltip_modifier_Advanced_Blood_Lust_unlock3_sub_Description"       "赋予战斗能力大幅度提升" 

"DOTA_Tooltip_modifier_Advanced_aether_remnant_passive"                   "维度重合"
"DOTA_Tooltip_modifier_Advanced_aether_remnant_passive_Description"       "赋予攻击触发残阴" 


"DOTA_Tooltip_modifier_Advanced_Dispersion_receive_point"                   "衍射孔"
"DOTA_Tooltip_modifier_Advanced_Dispersion_receive_point_Description"       "充当折射衍射孔" 


"DOTA_Tooltip_modifier_Advanced_Dispersion_unlock3_effect"                   "折射"
"DOTA_Tooltip_modifier_Advanced_Dispersion_unlock3_effect_Description"       "状态到期后结算伤害" 

"DOTA_Tooltip_modifier_Advanced_Counter_Helix"                   "反击风暴"
"DOTA_Tooltip_modifier_Advanced_Counter_Helix_Description"       "储存反击点数" 

"DOTA_Tooltip_modifier_Advanced_Coup_De_Grace_unlock2"                   "宿命"
"DOTA_Tooltip_modifier_Advanced_Coup_De_Grace_unlock2_Description"       "刀刀烈火" 

"DOTA_Tooltip_modifier_Advanced_metamorphosis_Aura_effect"                   "威压"
"DOTA_Tooltip_modifier_Advanced_metamorphosis_Aura_effect_Description"       "减少护甲" 

"DOTA_Tooltip_modifier_king_of_translation"                   "翻译之神"
"DOTA_Tooltip_modifier_king_of_translation_Description"       "此人以闪电般的速度在一周的时间里几乎完成了俄语翻译，其中更有连续3天没睡觉，为表达感谢赠与了一些属性" 







"DOTA_Tooltip_modifier_Advanced_purifying_flame_active_unlock3"                   "永恒的预言微光"
"DOTA_Tooltip_modifier_Advanced_purifying_flame_active_unlock3_Description"       "赋予持续治疗" 

"DOTA_Tooltip_modifier_Advanced_shockwave_debuff2"                   "崩坏"
"DOTA_Tooltip_modifier_Advanced_shockwave_debuff2_Description"       "减少护甲" 

"DOTA_Tooltip_modifier_Advanced_chaos_strike_buff"                   "混沌裁决"
"DOTA_Tooltip_modifier_Advanced_chaos_strike_buff_Description"       "赋予攻击力提升" 






"DOTA_Tooltip_modifier_Primary_Electrostatic_Armor_damage_count"                   "低阶静电护甲"
"DOTA_Tooltip_modifier_Primary_Electrostatic_Armor_damage_count_Description"       "赋予魔法抗性，记录伤害值" 
"DOTA_Tooltip_modifier_Middle_Electrostatic_Armor_damage_count"                   "中阶静电护甲"
"DOTA_Tooltip_modifier_Middle_Electrostatic_Armor_damage_count_Description"       "赋予魔法抗性，记录伤害值" 
"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_damage_count"                   "高阶静电护甲"
"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_damage_count_Description"       "赋予魔法抗性，记录伤害值" 

"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_shield"                   "高阶静电护甲"
"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_shield_Description"       "赋予护盾" 


"DOTA_Tooltip_modifier_Primary_Acid_bomb_debuff"                   "低阶酸液池"
"DOTA_Tooltip_modifier_Primary_Acid_bomb_debuff_Description"       "造成持续伤害与减速" 
"DOTA_Tooltip_modifier_Middle_Acid_bomb_debuff"                   "中阶酸液池"
"DOTA_Tooltip_modifier_Middle_Acid_bomb_debuff_Description"       "造成持续伤害与减速" 
"DOTA_Tooltip_modifier_Advanced_Acid_bomb_debuff"                   "高阶酸液池"
"DOTA_Tooltip_modifier_Advanced_Acid_bomb_debuff_Description"       "造成持续伤害与减速" 



"DOTA_Tooltip_modifier_Advanced_Acid_bomb_turret"                   "霰弹枪"
"DOTA_Tooltip_modifier_Advanced_Acid_bomb_turret_Description"       "持续释放酸液弹" 


"DOTA_Tooltip_modifier_creeps_spell_harpy_wind_debuff"                   "闪电链"
"DOTA_Tooltip_modifier_creeps_spell_harpy_wind_debuff_Description"       "减缓移动速度" 

"DOTA_Tooltip_modifier_creeps_spell_Fist_of_anger_debuff"                   "愤怒之拳"
"DOTA_Tooltip_modifier_creeps_spell_Fist_of_anger_debuff_Description"       "减缓移动速度" 


"DOTA_Tooltip_modifier_creeps_spell_Crab_bubble_effect"                   "泡泡中的生活"
"DOTA_Tooltip_modifier_creeps_spell_Crab_bubble_effect_Description"       "减缓移动速度" 


"DOTA_Tooltip_modifier_creeps_spell_troll_roar_buff"                   "激怒"
"DOTA_Tooltip_modifier_creeps_spell_troll_roar_buff_Description"       "增加移动速度与攻击速度" 

"DOTA_Tooltip_modifier_creeps_spell_troll_roar_trigger_effect"                   "惊吓"
"DOTA_Tooltip_modifier_creeps_spell_troll_roar_trigger_effect_Description"       "减少部分护甲" 


"DOTA_Tooltip_modifier_creeps_spell_troll_regen_damage_count"                   "巨魔之血"
"DOTA_Tooltip_modifier_creeps_spell_troll_regen_damage_count_Description"       "赋予生命恢复" 


"DOTA_Tooltip_modifier_creeps_spell_damage_delay_damage_count"                   "无视痛苦"
"DOTA_Tooltip_modifier_creeps_spell_damage_delay_damage_count_Description"       "累计伤害值" 



"DOTA_Tooltip_modifier_creeps_spell_evil_eye_debuff"                   "邪恶之眸"
"DOTA_Tooltip_modifier_creeps_spell_evil_eye_debuff_Description"       "减少伤害与状态抗性" 




"DOTA_Tooltip_modifier_stroke_of_fate_debuff_unlock1"                   "败笔"
"DOTA_Tooltip_modifier_stroke_of_fate_debuff_unlock1_Description"       "大幅度提升受到伤害" 
"DOTA_Tooltip_modifier_Advanced_Arcane_Aura"                   "隆冬之种"
"DOTA_Tooltip_modifier_Advanced_Arcane_Aura_Description"       "寒气累计值" 

"DOTA_Tooltip_modifier_Advanced_Arcane_Aura_frozen"                   "冰封"
"DOTA_Tooltip_modifier_Advanced_Arcane_Aura_frozen_Description"       "冻结且受到额外魔法伤害" 

"DOTA_Tooltip_modifier_Advanced_quadruple_chop_passive"                   "剑术专研"
"DOTA_Tooltip_modifier_Advanced_quadruple_chop_passive_Description"       "累计点数" 
"DOTA_Tooltip_modifier_Advanced_quadruple_chop_debuff"                   "灭魂"
"DOTA_Tooltip_modifier_Advanced_quadruple_chop_debuff_Description"       "永久性降低护甲" 
"DOTA_Tooltip_modifier_Advanced_Plague_unlock3"                   "进化"
"DOTA_Tooltip_modifier_Advanced_Plague_unlock3_Description"       "累计点数" 
"DOTA_Tooltip_modifier_Advanced_reactive_armor_unlock3"                   "反活性"
"DOTA_Tooltip_modifier_Advanced_reactive_armor_unlock3_Description"       "减少护甲" 
"DOTA_Tooltip_modifier_Advanced_summon_wolves_leder_unlock1"                   "协同作战"
"DOTA_Tooltip_modifier_Advanced_summon_wolves_leder_unlock1_Description"       "攻击有几率使狼族头领发动攻击" 
"DOTA_Tooltip_modifier_Chaotic_Offering_ambient_buff_unlock3"                   "共体"
"DOTA_Tooltip_modifier_Chaotic_Offering_ambient_buff_unlock3_Description"       "大幅度提升属性" 
"DOTA_Tooltip_modifier_Advanced_summon_Dave_Chisnall_debuff"                   "重力魔法"
"DOTA_Tooltip_modifier_Advanced_summon_Dave_Chisnall_debuff_Description"       "被大幅度减缓移动速度" 
"DOTA_Tooltip_modifier_Advanced_Vengeance_Aura_unlock2"                   "悲鸣绝唱"
"DOTA_Tooltip_modifier_Advanced_Vengeance_Aura_unlock2_Description"       "赋予全属性提升" 
"DOTA_Tooltip_modifier_Advanced_Vengeance_Aura_unlock3_effect"                   "绝死之声"
"DOTA_Tooltip_modifier_Advanced_Vengeance_Aura_unlock3_effect_Description"       "受到额外伤害" 

"DOTA_Tooltip_modifier_Advanced_Body_of_Effulgent_Beryl_unlock2_effect"                   "不可破之域"
"DOTA_Tooltip_modifier_Advanced_Body_of_Effulgent_Beryl_unlock2_effect_Description"       "赋予光辉翠绿体被动效果" 

"DOTA_Tooltip_modifier_Advanced_dragon_slave_unlock1"                   "红魔女的奥秘"
"DOTA_Tooltip_modifier_Advanced_dragon_slave_unlock1_effect_Description"       "赋予龙破斩伤害增强" 


"DOTA_Tooltip_modifier_Primary_cold_embrace_buff"                   "低价极寒之拥"
"DOTA_Tooltip_modifier_Primary_cold_embrace_buff_Description"       "赋予物理伤害格挡与生命恢复" 
"DOTA_Tooltip_modifier_Middle_cold_embrace_buff"                   "中阶极寒之拥"
"DOTA_Tooltip_modifier_Middle_cold_embrace_buff_Description"       "赋予物理伤害格挡与生命恢复" 
"DOTA_Tooltip_modifier_Advanced_cold_embrace_buff"                   "高阶极寒之拥"
"DOTA_Tooltip_modifier_Advanced_cold_embrace_buff_Description"       "赋予物理伤害格挡与生命恢复" 
"DOTA_Tooltip_modifier_Advanced_cold_embrace_buff_bonus"                   "冰镇西瓜"
"DOTA_Tooltip_modifier_Advanced_cold_embrace_buff_bonus_Description"       "赋予物理伤害格挡与生命恢复" 


"DOTA_Tooltip_modifier_Primary_howl_debuff"                   "低价嗥叫"
"DOTA_Tooltip_modifier_Primary_howl_debuff_Description"       "减少攻击力与防御力" 
"DOTA_Tooltip_modifier_Middle_howl_debuff"                   "中阶嗥叫"
"DOTA_Tooltip_modifier_Middle_howl_debuff_Description"       "减少攻击力与防御力" 
"DOTA_Tooltip_modifier_Advanced_howl_debuff"                   "高阶嗥叫"
"DOTA_Tooltip_modifier_Advanced_howl_debuff_Description"       "减少攻击力与防御力" 

"DOTA_Tooltip_modifier_Advanced_howl_buff"                   "高阶嗥叫"
"DOTA_Tooltip_modifier_Advanced_howl_buff_Description"       "赋予攻击力与防御力提升" 

"DOTA_Tooltip_modifier_Primary_lunar_blessing_effect"                   "低价月之祝福"
"DOTA_Tooltip_modifier_Primary_lunar_blessing_effect_Description"       "赋予攻击力提升" 
"DOTA_Tooltip_modifier_Middle_lunar_blessing_effect"                   "中阶月之祝福"
"DOTA_Tooltip_modifier_Middle_lunar_blessing_effect_Description"       "赋予攻击力提升" 
"DOTA_Tooltip_modifier_Advanced_lunar_blessing_effect"                   "高阶月之祝福"
"DOTA_Tooltip_modifier_Advanced_lunar_blessing_effect_Description"       "赋予攻击力提升" 


"DOTA_Tooltip_modifier_Middle_lunar_blessing_active"                   "进入良夜"
"DOTA_Tooltip_modifier_Middle_lunar_blessing_active_Description"       "强制进入夜晚" 
"DOTA_Tooltip_modifier_Advanced_lunar_blessing_active"                   "进入良夜"
"DOTA_Tooltip_modifier_Advanced_lunar_blessing_active_Description"       "强制进入夜晚" 

"DOTA_Tooltip_modifier_Advanced_hunter_in_the_night_active"                   "暗夜降临"
"DOTA_Tooltip_modifier_Advanced_hunter_in_the_night_active_Description"       "强制进入黑夜" 
"DOTA_Tooltip_modifier_Middle_hunter_in_the_night_active"                   "暗夜降临"
"DOTA_Tooltip_modifier_Middle_hunter_in_the_night_active_Description"       "强制进入黑夜" 





"DOTA_Tooltip_modifier_Primary_Bloodrage_buff"                   "低价血怒"
"DOTA_Tooltip_modifier_Primary_Bloodrage_buff_Description"       "赋予攻击速度与物理技能伤害提升" 
"DOTA_Tooltip_modifier_Middle_Bloodrage_buff"                   "中阶血怒"
"DOTA_Tooltip_modifier_Middle_Bloodrage_buff_Description"       "赋予攻击速度与物理技能伤害提升" 
"DOTA_Tooltip_modifier_Advanced_Bloodrage_buff"                   "高阶血怒"
"DOTA_Tooltip_modifier_Advanced_Bloodrage_buff_Description"       "赋予攻击速度与物理技能伤害提升" 

"DOTA_Tooltip_modifier_Advanced_Bloodrage_buff_lv20"                   "血液储蓄"
"DOTA_Tooltip_modifier_Advanced_Bloodrage_buff_lv20_Description"       "能量点数" 
"DOTA_Tooltip_modifier_Advanced_double_edge_buff"                   "无视痛苦"
"DOTA_Tooltip_modifier_Advanced_double_edge_buff_Description"       "减少对己伤害" 


"DOTA_Tooltip_modifier_Advanced_double_edge_buff_lv15"                   "战行"
"DOTA_Tooltip_modifier_Advanced_double_edge_buff_lv15_Description"       "根据移动距离提升伤害" 
"DOTA_Tooltip_modifier_Advanced_double_edge_buff_lv20"                   "自我挑战"
"DOTA_Tooltip_modifier_Advanced_double_edge_buff_lv20_Description"       "将可以附带最大生命值伤害" 


"DOTA_Tooltip_modifier_Primary_enchant_totem"                   "低价强化图腾"
"DOTA_Tooltip_modifier_Primary_enchant_totem_Description"       "赋予攻击力提升" 
"DOTA_Tooltip_modifier_Middle_enchant_totem"                   "中阶强化图腾"
"DOTA_Tooltip_modifier_Middle_enchant_totem_Description"       "赋予攻击力提升" 
"DOTA_Tooltip_modifier_Advanced_enchant_totem"                   "高阶强化图腾"
"DOTA_Tooltip_modifier_Advanced_enchant_totem_Description"       "赋予攻击力提升" 






"DOTA_Tooltip_modifier_Primary_finger_of_death_count"                   "死亡一指击杀数"
"DOTA_Tooltip_modifier_Primary_finger_of_death_count_Description"       "增加技能伤害" 

"DOTA_Tooltip_modifier_Middle_finger_of_death_count"                   "死亡一指击杀数"
"DOTA_Tooltip_modifier_Middle_finger_of_death_count_Description"       "增加技能伤害" 

"DOTA_Tooltip_modifier_Advanced_finger_of_death_count"                   "死亡一指击杀数"
"DOTA_Tooltip_modifier_Advanced_finger_of_death_count_Description"       "增加技能伤害" 

"DOTA_Tooltip_modifier_Middle_finger_of_death_debuff"                   "魔力枯竭"
"DOTA_Tooltip_modifier_Middle_finger_of_death_debuff_Description"       "需要使用更多的魔法才能施展法术" 
"DOTA_Tooltip_modifier_Advanced_finger_of_death_debuff"                   "魔力枯竭"
"DOTA_Tooltip_modifier_Advanced_finger_of_death_debuff_Description"       "需要使用更多的魔法才能施展法术" 






"DOTA_Tooltip_modifier_Middle_brain_sap_debuff"                   "恶念"
"DOTA_Tooltip_modifier_Middle_brain_sap_debuff_Description"       "累计伤害值" 
"DOTA_Tooltip_modifier_Advanced_brain_sap_debuff"                   "恶念"
"DOTA_Tooltip_modifier_Advanced_brain_sap_debuff_Description"       "累计伤害值" 


"DOTA_Tooltip_modifier_Advanced_brain_sap_buff"                   "痛苦倍增"
"DOTA_Tooltip_modifier_Advanced_brain_sap_buff_Description"       "提升技能伤害" 





"DOTA_Tooltip_modifier_Advanced_Celestial_Hammer_unlock2_debuff"                   "猩红腐败"
"DOTA_Tooltip_modifier_Advanced_Celestial_Hammer_unlock2_debuff_Description"       "受到持续性伤害" 



"DOTA_Tooltip_modifier_Advanced_Chakra_unlock1"                   "魔力宝库"
"DOTA_Tooltip_modifier_Advanced_Chakra_unlock1_Description"       "增加最大魔法值" 



"DOTA_Tooltip_modifier_Advanced_Chakra_unlock3"                   "神灯赐福"
"DOTA_Tooltip_modifier_Advanced_Chakra_unlock3_Description"       "我想要……" 





"DOTA_Tooltip_modifier_Advanced_pulse_nova_debuff"                   "灵体脉冲"
"DOTA_Tooltip_modifier_Advanced_pulse_nova_debuff_Description"       "减少魔法抗性" 



"DOTA_Tooltip_modifier_Advanced_frost_armor_debuff_unlock2"                   "大缓速"
"DOTA_Tooltip_modifier_Advanced_frost_armor_debuff_unlock2_Description"       "降低攻击速度" 


"DOTA_Tooltip_modifier_Advanced_marksmanship_unlock1"                   "狂人之境"
"DOTA_Tooltip_modifier_Advanced_marksmanship_unlock1_Description"       "赋予攻击伤害提升" 








"DOTA_Tooltip_modifier_Advanced_return_debuff"                   "卸甲"
"DOTA_Tooltip_modifier_Advanced_return_debuff_Description"       "减少防御力" 
"DOTA_Tooltip_modifier_Advanced_repel_unlock1"                   "完美之盾"
"DOTA_Tooltip_modifier_Advanced_repel_unlock1_Description"       "赋予伤害抵挡" 
"DOTA_Tooltip_modifier_Advanced_repel_unlock3"                   "全能之神的庇护"
"DOTA_Tooltip_modifier_Advanced_repel_unlock3_Description"       "赋予力量提升与生命恢复" 


"DOTA_Tooltip_modifier_Advanced_purification_unlock1"                   "神佑"
"DOTA_Tooltip_modifier_Advanced_purification_unlock1_Description"       "赋予力量提升" 



"DOTA_Tooltip_modifier_Advanced_berserkers_blood_unlock1"                   "力量涌动"
"DOTA_Tooltip_modifier_Advanced_berserkers_blood_unlock1_Description"       "赋予力量提升" 



"DOTA_Tooltip_modifier_Advanced_berserkers_blood"                   "奥尼克斯的罪血"
"DOTA_Tooltip_modifier_Advanced_berserkers_blood_Description"       "层数" 




"DOTA_Tooltip_modifier_Advanced_magic_blessing_unlock1"                   "魔导的极致"
"DOTA_Tooltip_modifier_Advanced_magic_blessing_unlock1_Description"       "赋予技能伤害" 



"DOTA_Tooltip_modifier_Advanced_magic_blessing_unlock2"                   "八大原罪·强欲"
"DOTA_Tooltip_modifier_Advanced_magic_blessing_unlock2_Description"       "我渴望知识" 

"DOTA_Tooltip_modifier_Advanced_mana_shield_stone"                   "美杜莎之盾"
"DOTA_Tooltip_modifier_Advanced_mana_shield_stone_Description"       "石化" 


"DOTA_Tooltip_modifier_Advanced_mana_shield_unlock3"                   "美杜莎之盾"
"DOTA_Tooltip_modifier_Advanced_mana_shield_unlock3_Description"       "目前累计点数" 




"DOTA_Tooltip_modifier_Advanced_Windrun_walk_unlock3"                   "风元素的赐福"
"DOTA_Tooltip_modifier_Advanced_Windrun_walk_unlock3_Description"       "赋予攻击力提升" 



"DOTA_Tooltip_modifier_Primary_Time_Drain"                   "低阶时间汲取"
"DOTA_Tooltip_modifier_Middle_Time_Drain"                   "中阶时间汲取"
"DOTA_Tooltip_modifier_Advanced_Time_Drain"                   "高阶时间汲取"


"DOTA_Tooltip_modifier_Advanced_Time_Drain_unlock3"                   "回到过去冷却"



"DOTA_Tooltip_modifier_Advanced_Time_Lock_unlock3"                   "万世"



"DOTA_Tooltip_modifier_Advanced_Decrepify_aura_effect"                   "衰老光环"
"DOTA_Tooltip_modifier_Advanced_Decrepify_aura_effect_Description"       "改变魔法抗性与移动速度" 


"DOTA_Tooltip_modifier_Advanced_Nature_Attendants_hp_unlock2"                   "治愈的赐福"
"DOTA_Tooltip_modifier_Advanced_Nature_Attendants_hp_unlock2_Description"       "赋予生命值提升" 

"DOTA_Tooltip_modifier_Advanced_Nature_Attendants_unlock3"                   "林渊"
"DOTA_Tooltip_modifier_Advanced_Nature_Attendants_unlock3_Description"       "治疗可以对敌人造成伤害" 





"DOTA_Tooltip_modifier_Advanced_Blood_Sacrifice_unlock3_buff"                   "高阶献祭"
"DOTA_Tooltip_modifier_Advanced_Blood_Sacrifice_unlock3_buff_Description"                   "赋予战斗能力大幅度提升"

"DOTA_Tooltip_modifier_Advanced_tether_buff_unlock2"                   "肉体增强"
"DOTA_Tooltip_modifier_Advanced_tether_buff_unlock2_buff_Description"                   "赋予最大生命值提升"


"DOTA_Tooltip_modifier_Advanced_tether_buff_unlock3"                   "精神增强"
"DOTA_Tooltip_modifier_Advanced_tether_buff_unlock3_buff_Description"                   "赋予最大魔法值提升"




"DOTA_Tooltip_modifier_Advanced_fates_edict_unlock2_effect"                   "正操纵"
"DOTA_Tooltip_modifier_Advanced_fates_edict_unlock2_effect_Description"                   "赋予属性提升" 



"DOTA_Tooltip_modifier_Advanced_fates_edict_unlock3_effect"                   "反操纵"
"DOTA_Tooltip_modifier_Advanced_fates_edict_unlock3_effect_Description"                   "赋予属性下降" 


"DOTA_Tooltip_modifier_Advanced_Shallow_Grave_unlock2_bonus"                   "视死如归"
"DOTA_Tooltip_modifier_Advanced_Shallow_Grave_unlock2_bonus_Description"                   "赋予伤害增加" 

"DOTA_Tooltip_modifier_Advanced_Shallow_Grave_unlock3_delay"                   "厚葬倒计时"


"DOTA_Tooltip_modifier_Advanced_Shallow_Grave_unlock3_bonus"                   "厚葬"
"DOTA_Tooltip_modifier_Advanced_Shallow_Grave_unlock3_bonus_Description"                   "赋予全属性提升" 

"DOTA_Tooltip_modifier_Advanced_Viscous_Nasal_Goo_unlock2"                   "病毒进化点数"


"DOTA_Tooltip_modifier_Advanced_Warcry_unlock3_target"                   "弑君者"
"DOTA_Tooltip_modifier_Advanced_Warcry_unlock3_target_Description"                   "你被你的队友盯上了" 


"DOTA_Tooltip_modifier_Advanced_feast_unlock3_active"                   "血亲"
"DOTA_Tooltip_modifier_Advanced_feast_unlock3_active_Description"                   "你已被一名队友转化为吸血鬼" 

"DOTA_Tooltip_modifier_Advanced_Blur_unlock3"                   "消形"
"DOTA_Tooltip_modifier_Advanced_Blur_unlock3_Description"                   "可以完全抵挡伤害" 
"DOTA_Tooltip_modifier_Advanced_Warpath_unlock1"                   "狂怒"
"DOTA_Tooltip_modifier_Advanced_Warpath_unlock1_Description"                   "赋予战意相同的效果"

"DOTA_Tooltip_modifier_Advanced_Warpath_unlock3"                   "无能狂怒"


"DOTA_Tooltip_modifier_Advanced_Epicenter_unlock3"                   "沙之魂"



"DOTA_Tooltip_modifier_Advanced_fortunes_end_unlock1_effect"                   "气运吸收"
"DOTA_Tooltip_modifier_Advanced_fortunes_end_unlock1_effect_Description"                   "力量增加:%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%<br>敏捷增加:%dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%<br>智力增加:%dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%"



"DOTA_Tooltip_modifier_Advanced_Black_Hole_unlock1"                   "虫洞"
"DOTA_Tooltip_modifier_Advanced_Black_Hole_unlock1_Description"                   "就绪中……"



"DOTA_Tooltip_modifier_Advanced_Ice_Path_unlock2"                   "常驻冰"
"DOTA_Tooltip_modifier_Advanced_Ice_Path_unlock2_Description"                   "储存能量点"



"DOTA_Tooltip_modifier_Advanced_counterspell_unlock2_debuff"                   "崩坏"
"DOTA_Tooltip_modifier_Advanced_counterspell_unlock2_debuff_Description"                   "减少防御力"


"DOTA_Tooltip_modifier_Advanced_counterspell_unlock3"                   "魔力反震"
"DOTA_Tooltip_modifier_Advanced_counterspell_unlock3_Description"                   "能量点"


"DOTA_Tooltip_modifier_Advanced_true_form_transform_unlock2_active"                   "森林的族人"
"DOTA_Tooltip_modifier_Advanced_true_form_transform_unlock2_active_Description"                   "赋予一半的增强"



"DOTA_Tooltip_modifier_Advanced_true_form_unlock3_thinker_arua_effect"                   "领域"
"DOTA_Tooltip_modifier_Advanced_true_form_unlock3_thinker_arua_effect_Description"                   "赋予伤害增强"


"DOTA_Tooltip_modifier_Advanced_Heart_Stopper_Aura_unlock2_debuff"                   "生命锁链"
"DOTA_Tooltip_modifier_Advanced_Heart_Stopper_Aura_unlock2_debuff_Description"                   "受到额外伤害"




"DOTA_Tooltip_modifier_Advanced_Ghost_Shroud_unlock1_debuff"                   "负向接触·麻痹"
"DOTA_Tooltip_modifier_Advanced_Ghost_Shroud_unlock1_debuff_Description"                   "无法行动"






"DOTA_Tooltip_modifier_Advanced_Haunt_unlock2"                   "猎手"
"DOTA_Tooltip_modifier_Advanced_Haunt_unlock2_Description"                   "攻击有几率召唤鬼影"



"DOTA_Tooltip_modifier_Advanced_Spectral_Dagger_unlock2_mark"                   "猎影"
"DOTA_Tooltip_modifier_Advanced_Spectral_Dagger_unlock2_mark_Description"                   "将受到额外的伤害"

//
"DOTA_Tooltip_modifier_Advanced_light_strike_array_unlock3"                   "红魔女的炙烤"
"DOTA_Tooltip_modifier_Advanced_light_strike_array_unlock3_Description"                   "你当前拥有的火属性技能数"


"DOTA_Tooltip_modifier_creeps_Melting_Strike_debuff"                   "灼烧攻击"
"DOTA_Tooltip_modifier_creeps_Melting_Strike_debuff_Description"                   "减少%fMODIFIER_PROPERTY_TOOLTIP%点护甲"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_silencer_2_buff"                   "智慧之刃"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_silencer_2_buff_Description"                   "智力提升%dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%"





"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_undying_2_buff"                   "腐朽"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_undying_2_buff_Description"                   "力量提升%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_undying_2_debuff"                   "腐朽"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_undying_2_debuff_Description"                   "力量减少%d%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%%"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_2"                   "能量转移"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_slark_2_Description"                   "敏捷提升%dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_legion_commander_2"                   "决斗"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_legion_commander_2_Description"                   "攻击力提升%dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%，基础攻击力提升%dMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%"


"DOTA_Tooltip_modifier_generic_water_zoom_buff"                   "水域"
"DOTA_Tooltip_modifier_generic_water_zoom_buff_Description"                   "你正处于一片水域中"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_kunkka_2_buff"                   "复仇"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_kunkka_2_buff_Description"                   "昆卡与潮汐猎人不得不说的故事……"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_kunkka_2_debuff"                   "复仇"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_kunkka_2_debuff_Description"                   "昆卡与潮汐猎人不得不说的故事……"






"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_buff"                   "静电链接"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_buff_Description"                   "赋予攻击力提升"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_debuff"                   "静电链接"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_debuff_Description"                   "减少攻击力"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_viper_2_debuff"                   "剧毒"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_viper_2_debuff_Description"                   "降低移动速度与魔法抗性，并受到持续伤害"




"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_2_debuff"                   "激流"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_2_debuff_Description"                   "减少%dMODIFIER_PROPERTY_TOOLTIP%点护甲"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_2"                   "激流"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_2_Description"                   "每6次攻击触发激流"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_life_stealer_2_buff"                   "狂宴"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_life_stealer_2_buff_Description"                   "增加%dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%点攻击力"







"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet_2"                   "亡魂悲叹"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet_2_Description"                   "能量点数"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet_2_buff"                   "亡魂之力"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet_2_buff_Description"                   "技能伤害提升%dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_drow_ranger_2_effect"                   "黑鸦破寂"
