

"DOTA_Tooltip_ability_nil_skill_2"	"------AI技能-------"
"DOTA_Tooltip_ability_creeps_spell_Competing_For_Nutrients1"	"争夺养分·百年树精"
"DOTA_Tooltip_ability_creeps_spell_Competing_For_Nutrients1_Description"	"每4秒会提升自己4%%的最大生命值与攻击力（线性），但周围1000范围每存在一个小树精会降低加成效果5%%。\n在白天状态则不会被削弱，否则加成变为2%%每4秒。"
"DOTA_Tooltip_ability_creeps_spell_Competing_For_Nutrients1_Lore"	"树精们互相争夺养分，使自己成长。"
"DOTA_Tooltip_ability_creeps_spell_Competing_For_Nutrients2"	"争夺养分·千年树精"
"DOTA_Tooltip_ability_creeps_spell_Competing_For_Nutrients2_Description"	"每4秒会提升自己4%%的最大生命值与攻击力（线性），但周围1000范围每存在一个百年树精会降低加成效果25%%。\n在白天状态则不会被削弱，否则加成变为2%%每4秒。"
"DOTA_Tooltip_ability_creeps_spell_Competing_For_Nutrients2_Lore"	"树精们互相争夺养分，使自己成长。"
"DOTA_Tooltip_ability_creeps_spell_Commander"	"统领光环"
"DOTA_Tooltip_ability_creeps_spell_Commander_Description"	"激励：周围2000范围内的友军，增加生命值恢复速率，攻击力，攻击速度与防御力。\n继承：死亡后将光环继承给周围1500范围内最近的血盟护卫，但只会发动一次。"
"DOTA_Tooltip_ability_creeps_spell_Commander_Lore"	"王狼的存在就可以让场上的狼族成员们更加凶猛。"
"DOTA_Tooltip_ability_creeps_spell_Commander_Note0"	"额外的说明：\n光环主体不被被动破坏影响，但被光环影响的单位如果被破坏被动了，不会有加成。\n继承不会被被动破坏影响。"
"DOTA_Tooltip_ability_creeps_spell_Commander_bonus_attack"	"%攻速奖励："
"DOTA_Tooltip_ability_creeps_spell_Commander_radius"	"作用范围："

"DOTA_Tooltip_ability_creeps_spell_Howl"	"嚎叫"
"DOTA_Tooltip_ability_creeps_spell_Howl_Description"	"恐惧敌人，使其护甲降低，使周围友军攻击力提升。"
"DOTA_Tooltip_ability_creeps_spell_Howl_Lore"	"血盟护卫可以通过嚎叫呼唤狼族们变得凶猛。"
"DOTA_Tooltip_ability_creeps_spell_Howl_Note0"	"额外的说明："
"DOTA_Tooltip_ability_creeps_spell_Howl_bonus_attack"	"%攻击奖励："
"DOTA_Tooltip_ability_creeps_spell_Howl_bonus_armor"	"护甲减少："
"DOTA_Tooltip_ability_creeps_spell_Howl_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Biting"	"撕咬"
"DOTA_Tooltip_ability_creeps_spell_Biting_Description"	"攻击时有15%%几率撕咬目标，使目标在一定时间内减速，且伤口被撕裂，每秒受到伤害，该状态无限叠加单独计算时间。"
"DOTA_Tooltip_ability_creeps_spell_Biting_Lore"	"狼族都是靠它们那锋利的牙齿才能在长期的生存竞争中留存下来。"
"DOTA_Tooltip_ability_creeps_spell_Biting_move_slow"	"%移动减缓："
"DOTA_Tooltip_ability_creeps_spell_Biting_attack_slow"	"攻速减缓："
"DOTA_Tooltip_ability_creeps_spell_Biting_damage"	"%每秒当前生命值伤害："
"DOTA_Tooltip_ability_creeps_spell_Biting_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_Wolves"	"血夜狼群"
"DOTA_Tooltip_ability_creeps_spell_Wolves_Description"	"在月色下，狼群会更具有攻击性，增加30%%攻击速度。\n在白天中，所有狼族成员状态抗性减少50%%。"
"DOTA_Tooltip_ability_creeps_spell_Wolves_Lore"	"血夜狼一般在夜晚中行动，到了白天，困意与疲劳感会侵蚀它们的身体，这是基因控制的无法被阻挡的刻痕。"

"DOTA_Tooltip_ability_creeps_spell_Wolves_move_slow"	"%移动减缓："
"DOTA_Tooltip_ability_creeps_spell_Wolves_attack_slow"	"攻速减缓："
"DOTA_Tooltip_ability_creeps_spell_Wolves_damage"	"%每秒当前生命值伤害："
"DOTA_Tooltip_ability_creeps_spell_Wolves_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_Summon_Tree_Spirit"	"召唤树精"
"DOTA_Tooltip_ability_creeps_spell_Summon_Tree_Spirit_Description"	"在目标单位所在位置召唤数只树精攻击目标，在白天将召唤额外50%%数量的树精。"
"DOTA_Tooltip_ability_creeps_spell_Summon_Tree_Spirit_Lore"	"树木与先知从古至今都是同伴，无论到哪，先知都会受到自然的祝福。"
"DOTA_Tooltip_ability_creeps_spell_Summon_Tree_Spirit_damage"	"基础伤害：攻击力*"
"DOTA_Tooltip_ability_creeps_spell_Summon_Tree_Spirit_bonus_damage"	"月光伤害：攻击力*"
"DOTA_Tooltip_ability_creeps_spell_Summon_Tree_Spirit_duration"	"存续时间："
"DOTA_Tooltip_ability_creeps_spell_Shackles"	"枷锁"
"DOTA_Tooltip_ability_creeps_spell_Shackles_Description"	"持续施法捆绑一个单位，在夜晚将捆绑双倍时间。"
"DOTA_Tooltip_ability_creeps_spell_Shackles_Lore"	"这种古老得法术可以使敌人动弹不得。"
"DOTA_Tooltip_ability_creeps_spell_Shackles_Note0"	"额外的说明：<font color=\"#5bc0de\">可被林肯法球阻挡。</font>"
"DOTA_Tooltip_ability_creeps_spell_Shackles_duration"	"眩晕时间："
"DOTA_Tooltip_ability_creeps_spell_Summon_Tree_Spirit_number"	"召唤数量："
"DOTA_Tooltip_ability_creeps_spell_Seed"	"种子喷洒"
"DOTA_Tooltip_ability_creeps_spell_Seed_Description"	"每隔2秒都会在1000范围内随机位置生成一颗种子，在经过10秒后生长成为树精。5%%几率为千年树精,10%%为百年树精，否则为小树精。在白天下10%%为千年树精，20%%为百年树精。"
"DOTA_Tooltip_ability_creeps_spell_Seed_Lore"	"万年树精积攒了万年的日月精华，已经是超乎常理的存在。"
"DOTA_Tooltip_ability_creeps_spell_Seed_bonus_summon_intensity"	"%召唤增强："
"DOTA_Tooltip_ability_creeps_spell_Grow_Up"	"长大"
"DOTA_Tooltip_ability_creeps_spell_Grow_Up_Description"	"出生后每35秒会成长一次，每次成长都会脱胎换骨，恢复所有生命值,并增强基础属性。<br><br><br>在白天：成长速度翻倍<br>在黑夜：每秒额外获得一层月之精华，提高1%%的攻击力。"
"DOTA_Tooltip_ability_creeps_spell_Grow_Up_Lore"	"在庭院中存在着一些石头，他们在庭院中存在了太久，吸收了日月的光辉，从而获得了生命力。"

"DOTA_Tooltip_ability_creeps_spell_Grow_Up_bonus_armor"	"每次长大提高护甲："
"DOTA_Tooltip_ability_creeps_spell_Grow_Up_bonus_damage"	"每次长大提高攻击力："
"DOTA_Tooltip_ability_creeps_spell_Grow_Up_bonus_health"	"每次长大提高最大生命值："
"DOTA_Tooltip_ability_creeps_spell_Counter_Helix"	"反击螺旋"
"DOTA_Tooltip_ability_creeps_spell_Counter_Helix_Description"	"每次斧王受到2次伤害都会触发反击螺旋，对周围200范围的敌人造成100纯粹伤害，每次触发反击螺旋都能使作用范围增加4，伤害加1，斧王第一次受到攻击后开始倒计时，60秒后消失。当斧王离开时根据增加的作用范围奖励金币。(奖励关死了没关系)<br><br>100以下：每人500金币<br>100-200：每人800金币<br>201-300：每人1200金币<br>301-400：每人1800金币<br>401-500：每人2800金币<br>501-600：每人4000金币<br>大于600：基础奖励4000，每多2范围奖励所有人30金币。"
"DOTA_Tooltip_ability_creeps_spell_Counter_Helix_Lore"	"斧王在斧王岛每天都被胖揍，这使他觉得必须提升自己的实力，否则只会永远被别人踩在脚下。"
"DOTA_Tooltip_ability_creeps_spell_Counter_Helix_bonus_armor"	"每次长大提高护甲："
"DOTA_Tooltip_ability_creeps_spell_Counter_Helix_bonus_damage"	"每次长大提高攻击力："
"DOTA_Tooltip_ability_creeps_spell_Counter_Helix_bonus_health"	"每次长大提高最大生命值："
"DOTA_Tooltip_ability_creeps_spell_Impetus"	"推进"
"DOTA_Tooltip_ability_creeps_spell_Impetus_Description"	"在攻击中赋予魔力，根据距离造成额外伤害。<br>【自然打击】每次攻击有40%%概率使本次攻击的计算距离增加500."
"DOTA_Tooltip_ability_creeps_spell_Impetus_Lore"	"在攻击中附带魔力的攻击方式并不少见，但使箭矢在空气中汲取魔力的附魔方式却很少见。"
"DOTA_Tooltip_ability_creeps_spell_Impetus_Note0"	"智力伤害计算：1000距离跟1%的转换比=10倍攻击力额外伤害\n额外的说明：不会被破坏被动影响，但沉默可以使其无效。"
"DOTA_Tooltip_ability_creeps_spell_Impetus_basic_damage"	"%伤害转换比："
"DOTA_Tooltip_ability_creeps_spell_Impetus_intelligence_index"	"%攻击力伤害转换比："

"DOTA_Tooltip_ability_creeps_spell_Waveform"	"波浪形态"
"DOTA_Tooltip_ability_creeps_spell_Waveform_Description"	"化为波浪冲刷敌人，并强化沿途的友军，每次叠加一层【水元素增幅】，每层增幅可以增加最大生命值，攻击力与点攻击速度。"
"DOTA_Tooltip_ability_creeps_spell_Waveform_Lore"	"水元素们都过着互利互惠的生活，每个个体都很脆弱，但只要集结起来，就可以发挥出平常的几倍的力量。"
"DOTA_Tooltip_ability_creeps_spell_Waveform_basic_damage"	"%伤害转换比："
"DOTA_Tooltip_ability_creeps_spell_Waveform_intelligence_index"	"%攻击力伤害转换比："
"DOTA_Tooltip_ability_creeps_spell_Waveform_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Waveform_bonus"	"%生命攻击力奖励："
"DOTA_Tooltip_ability_creeps_spell_Waveform_bonua_attack_speed"	"攻击速度奖励："

"DOTA_Tooltip_ability_creeps_spell_Wind_Howled"	"狂风呼啸"
"DOTA_Tooltip_ability_creeps_spell_Wind_Howled_Description"	"受到攻击伤害时会与随机一个单位互换位置，并沿途席卷一阵狂风，对敌人造成沉默与伤害。"
"DOTA_Tooltip_ability_creeps_spell_Wind_Howled_Lore"	"风元素们在各地游荡，时而化为狂风，时而变为温风。"
"DOTA_Tooltip_ability_creeps_spell_Wind_Howled_Note0"	"额外的说明:这个技能除了默认的冷却时间还会有额外的1至6秒的冷却。"
"DOTA_Tooltip_ability_creeps_spell_Wind_Howled_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Wind_Howled_bonus"	"%生命攻击力奖励："
"DOTA_Tooltip_ability_creeps_spell_Wind_Howled_bonua_attack_speed"	"攻击速度奖励："
"DOTA_Tooltip_ability_creeps_spell_Wind_Howled_duration"	"沉默时间："
"DOTA_Tooltip_ability_creeps_spell_Wind_Howled_distance"	"距离："
"DOTA_Tooltip_ability_creeps_spell_Resonance_Pulse"	"共鸣脉冲"
"DOTA_Tooltip_ability_creeps_spell_Resonance_Pulse_Description"	"释放出一个暗物质脉冲，对范围内的敌人造成伤害，每影响一个敌军后续伤害增加，每有一个友军获得额外护盾，抵消物理伤害。"
"DOTA_Tooltip_ability_creeps_spell_Resonance_Pulse_Lore"	"暗属性的魔法较为少见，其中这个法术是被称为战场万金油的存在。"
"DOTA_Tooltip_ability_creeps_spell_Resonance_Pulse_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Resonance_Pulse_duration"	"护盾存续："
"DOTA_Tooltip_ability_creeps_spell_Resonance_Pulse_distance"	"距离："
"DOTA_Tooltip_ability_creeps_spell_Resonance_Pulse_bonus_damage"	"每个敌人额外攻击力伤害："
"DOTA_Tooltip_ability_creeps_spell_Resonance_Pulse_bonus_shield"	"每个友军额外攻击力护盾："
"DOTA_Tooltip_ability_creeps_spell_Resonance_Pulse_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Resonance_Pulse_base_absorb_amount"	"基础护盾值："
"DOTA_Tooltip_ability_creeps_spell_Light_And_Dark"	"光暗两态"
"DOTA_Tooltip_ability_creeps_spell_Light_And_Dark_Description"	"梅尔隆德拥有两个形态，当他降临时为<font color=\"#f0ad4e\">暗影态</font>，高攻速低攻击，攻击敌人会消损目标百分比法力值并转化为伤害与自身的魔力，每隔15秒会进入<font color=\"#5bc0de\">慧光态（攻击第一次后计时）</font>，高攻击低攻速，魔力值转化为等价护盾，当慧光护盾消失后重返暗影态。"
"DOTA_Tooltip_ability_creeps_spell_Light_And_Dark_Lore"	"梅尔隆德是光之神与暗之神的私生子，由此他继承了两位神明的力量。"
"DOTA_Tooltip_ability_creeps_spell_Light_And_Dark_bonus_damage"	"每点燃烧法力转化伤害："
"DOTA_Tooltip_ability_creeps_spell_Light_And_Dark_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_Light_And_Dark_mana_break"	"%法力损毁："
"DOTA_Tooltip_ability_creeps_spell_Light_And_Dark_basic"	"基础护盾："
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder"	"巨石冲击"
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder_Description"	"土元素会不断化为滚石冲向敌人，在这个状态下如果与同为滚石状态的友军相接近会移除滚石状态并爆炸，造成范围伤害。"
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder_Lore"	"土元素是原初的精灵，它们擅长幻化为各种土石，两个土元素可以化为巨石互相撞击，从而对敌人造成更大的打击。"
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder_Note0"	"额外的说明：仅当周围300范围有敌人时才会触发撞击。"
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder_bonus_damage"	"撞击攻击力伤害："
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder_bonus_shield"	"每个友军额外攻击力护盾："
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder_base_absorb_amount"	"基础护盾值："
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder_radius"	"撞击伤害范围："
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder_duration"	"护盾存续："
"DOTA_Tooltip_ability_creeps_spell_Rolling_Boulder_hit_radius"	"检测范围："

"DOTA_Tooltip_ability_creeps_spell_Static_Link"	"静电链接"
"DOTA_Tooltip_ability_creeps_spell_Static_Link_Description"	"电元素利用静电将自己与目标链接起来，不断将目标的能量传输给自己，每秒吸收攻击力，到达5秒后还将吸收三围属性。"
"DOTA_Tooltip_ability_creeps_spell_Static_Link_Lore"	"闪电元素大部分一生都生活在天空中，它们极少降下大地，除非受到威胁。"
"DOTA_Tooltip_ability_creeps_spell_Static_Link_Note0"	"额外的说明：<br>不像原版提供攻击。<br><font color=\"#5bc0de\">可被林肯法球阻挡。</font>"
"DOTA_Tooltip_ability_creeps_spell_Static_Link_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Static_Link_bonus_damage"	"每秒吸收攻击力："
"DOTA_Tooltip_ability_creeps_spell_Static_Link_radius"	"撞击伤害范围："
"DOTA_Tooltip_ability_creeps_spell_Static_Link_distance"	"断开距离："
"DOTA_Tooltip_ability_creeps_spell_Static_Link_hit_radius"	"检测范围："
"DOTA_Tooltip_ability_creeps_spell_Static_Link_limit"	"属性吸收开启时间："
"DOTA_Tooltip_ability_creeps_spell_Static_Link_bonus_attribute"	"每秒吸收三围："
"DOTA_Tooltip_ability_creeps_spell_Static_Link_duration"	"断开后持续时间："
"DOTA_Tooltip_ability_creeps_spell_Static_Link_drain_duration"	"吸取时间："
"DOTA_Tooltip_ability_creeps_spell_Static_Link_buff_duration"	"断开后持续时间："
"DOTA_Tooltip_ability_creeps_spell_Static_Link_cast_range"	"断开距离："
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil"	"冻土"
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_Description"	"冰元素周围温度极低，会形成一片移动的冻土，对周围的敌人造成削弱，受到伤害增加，且每秒都有一定几率被冻结，光环课叠加，这意味着如果你被包围了，可能至死都是一座冰雕。"
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_Lore"	"如果世上存在着幸福，那就是能让人忘记寒冷的温暖，在这片冻土之上，没有幸福可言。"
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_bonus_damage"	"%额外伤害："
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_limit"	"属性吸收开启时间："
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_bonus_attribute"	"每秒吸收三围："
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_drain_duration"	"吸取时间："
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_cast_range"	"断开距离："
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_buff_duration"	"断开后持续时间："
"DOTA_Tooltip_ability_creeps_spell_Wave30"	"元素之核"
"DOTA_Tooltip_ability_creeps_spell_Wave30_Description"	"<font color=\"#5bc0de\">元素之核：本身无敌，初始将随机产生四个元素体，元素体消亡后会转变为新的元素体并扣除元素之核5%%生命值，元素体常态拥有30%%状态抗性</font><br><font color=\"#337ab7\">二阶段：第一轮元素体死亡后开启，将激活元素体新技能并将提高至50%%的状态抗性。</font><br><font color=\"#f0ad4e\">三阶段：第二轮元素体死亡后开启，将同时出现七个元素体，困难模式下将获得40%%伤害减免, 增加40%%基础攻击。<br><br></font>·地狱技能（仅不可能难度）：激活技能[能量源]<font color=\"#f0ad4e\"><br></font>"
"DOTA_Tooltip_ability_creeps_spell_Wave30_Lore"	"聚万物于其身，整个庭院的魔力都来源于它。"
"DOTA_Tooltip_ability_creeps_spell_Ball_Lightning"	"闪电形态"
"DOTA_Tooltip_ability_creeps_spell_Ball_Lightning_Description"	"化为电流，向搜寻目标（1000范围内），造成攻击力伤害，会连续搜寻数次，每次消耗20%最大魔法值，当魔法值不足后停止释放。"
"DOTA_Tooltip_ability_creeps_spell_Ball_Lightning_Lore"	"风暴降临。"
"DOTA_Tooltip_ability_creeps_spell_Ball_Lightning_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Ball_Lightning_bonus_damage"	"撞击攻击力伤害："
"DOTA_Tooltip_ability_creeps_spell_Ball_Lightning_radius"	"撞击伤害范围："
"DOTA_Tooltip_ability_creeps_spell_Ball_Lightning_hit_radius"	"检测范围："
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_chance"	"%每秒冻结概率："
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Frozen_Soil_duration"	"冻结时间："
"DOTA_Tooltip_ability_creeps_spell_Static_Remnant"	"残影"
"DOTA_Tooltip_ability_creeps_spell_Static_Remnant_Description"	"<font color=\"#d9534f\">仅进入第二阶段后激活</font><br>当闪电形态命中一个英雄单位时触发，原地产生一个残影，经过一定延迟后启动，有单位接近时触发造成范围伤害。"
"DOTA_Tooltip_ability_creeps_spell_Static_Remnant_Lore"	"风暴之灵可以在大地上留下自己掠过的残影，打击追击他的敌人，亦或攻击逃亡的目标。"
"DOTA_Tooltip_ability_creeps_spell_Static_Remnant_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Static_Remnant_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Static_Remnant_delay"	"启用延迟："
"DOTA_Tooltip_ability_creeps_spell_Static_Remnant_duration"	"存续时间："
"DOTA_Tooltip_ability_creeps_spell_Astral_Step"	"太虚之径"
"DOTA_Tooltip_ability_creeps_spell_Astral_Step_Description"	"遁入精神位面，出现在目标地点，并对沿途敌人造成一次致命伤害，且施加一个太虚印记，造成数秒减速，然后引爆。"
"DOTA_Tooltip_ability_creeps_spell_Astral_Step_Lore"	"个人的一小步，人类的一大步。"
"DOTA_Tooltip_ability_creeps_spell_Astral_Step_damage"	"%暴击伤害："
"DOTA_Tooltip_ability_creeps_spell_Astral_Step_pop_damage"	"爆炸伤害："
"DOTA_Tooltip_ability_creeps_spell_Astral_Step_pop_damage_delay"	"减速持续时间："
"DOTA_Tooltip_ability_creeps_spell_Aether_Remnant"	"残阴"
"DOTA_Tooltip_ability_creeps_spell_Aether_Remnant_Description"	"仅进入第二阶段后激活<br>当太虚之径命中一个英雄单位时触发，在施法点产生一个残阴，面向施放施法位置，对进入直线的敌人造成控制效果与伤害。"
"DOTA_Tooltip_ability_creeps_spell_Aether_Remnant_Lore"	"太虚之灵的存在远超时间和空间中的一个点。"
"DOTA_Tooltip_ability_creeps_spell_Aether_Remnant_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Aether_Remnant_delay"	"启用延迟："
"DOTA_Tooltip_ability_creeps_spell_Aether_Remnant_duration"	"存续时间："
"DOTA_Tooltip_ability_creeps_spell_Aether_Remnant_pull_duration"	"拉扯时间："
"DOTA_Tooltip_ability_creeps_spell_Aether_Remnant_activation_delay"	"启用延迟："
"DOTA_Tooltip_ability_creeps_spell_Aether_Remnant_Note0"	"额外的说明：\n不会作用于已被控制的单位。"
"DOTA_Tooltip_ability_creeps_spell_Sleight_of_Fist"	"无影拳"
"DOTA_Tooltip_ability_creeps_spell_Sleight_of_Fist_Description"	"以星火燎原之势冲撞目标区域的所有敌人，然后返回到原来的位置。"
"DOTA_Tooltip_ability_creeps_spell_Sleight_of_Fist_Lore"	"顷刻之间，鞭策众敌。"
"DOTA_Tooltip_ability_creeps_spell_Sleight_of_Fist_damage"	"%暴击伤害："
"DOTA_Tooltip_ability_creeps_spell_Sleight_of_Fist_pop_damage_delay"	"减速持续时间："
"DOTA_Tooltip_ability_creeps_spell_Sleight_of_Fist_pop_damage"	"爆炸伤害："
"DOTA_Tooltip_ability_creeps_spell_Fire_Remnant"	"残焰"
"DOTA_Tooltip_ability_creeps_spell_Fire_Remnant_Description"	"仅进入第二阶段后激活<br>当无影拳命中一个英雄单位时触发，原地产生一个残焰，在无影拳释放完成后触发，与原版技能相同机制，每次引爆造成范围攻击力伤害。"
"DOTA_Tooltip_ability_creeps_spell_Fire_Remnant_Lore"	"所有拥有温度之处皆有其影。"
"DOTA_Tooltip_ability_creeps_spell_Activate_Fire_Remnant"	"残焰激活"
"DOTA_Tooltip_ability_creeps_spell_Activate_Fire_Remnant_Description"	"当无影拳命中一个英雄单位时触发，原地产生一个残焰，在无影拳释放完成后触发，与原版技能相同机制，每次引爆造成范围攻击力伤害。"
"DOTA_Tooltip_ability_creeps_spell_Activate_Fire_Remnant_Lore"	"所有拥有温度之处皆有其影。"
"DOTA_Tooltip_ability_creeps_spell_Magnetize"	"磁化"
"DOTA_Tooltip_ability_creeps_spell_Magnetize_Description"	"使附近的单位磁化，使其短时间内受到持续伤害。每个被磁化的单位如果周围300范围内存在另外一个被磁化的友方，则双方会刷新磁化剩余时间。"
"DOTA_Tooltip_ability_creeps_spell_Magnetize_Lore"	"任何生物的体内都有矿物。"
"DOTA_Tooltip_ability_creeps_spell_Magnetize_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Magnetize_radius"	"影响范围："
"DOTA_Tooltip_ability_creeps_spell_Magnetize_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_Fire_Remnant_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Fire_Remnant_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Magnetize_detect_radius"	"刷新侦测范围："
"DOTA_Tooltip_ability_creeps_spell_Magnetize_damage_duration"	"伤害间隔："
"DOTA_Tooltip_ability_creeps_spell_Stone_Remnant"	"残岩"
"DOTA_Tooltip_ability_creeps_spell_Stone_Remnant_Description"	"仅进入第二阶段后激活<br>当敌人携带“磁化”状态到达8秒后，会原地产生一个残岩，下次施放磁化时，3000范围内的残岩都会爆炸，并对周围400范围敌人附加“磁化”，且被残岩影响的敌人受到磁化伤害会提高50%%(无限乘法叠加直到状态结束)。"
"DOTA_Tooltip_ability_creeps_spell_Stone_Remnant_Lore"	"几乎所有区域都存在各种矿物质，在磁化的影响下，它们会汇聚在一起，形成新的力量。"
"DOTA_Tooltip_ability_creeps_spell_Stone_Remnant_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Stone_Remnant_radius"	"爆炸作用范围："
"DOTA_Tooltip_ability_creeps_spell_Stone_Remnant_duration"	"存续时间："

"DOTA_Tooltip_ability_creeps_spell_Sleight_of_Fist_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Sleight_of_Fist_bonus_hero_damage"	"对英雄额外伤害："

"DOTA_Tooltip_ability_creeps_spell_Gain_Base_Difficulty"	"难度提升"
"DOTA_Tooltip_ability_creeps_spell_Gain_Base_Difficulty_bonus_magic_resistance"	"%魔法抗性加成："
"DOTA_Tooltip_ability_creeps_spell_Gain_Base_Difficulty_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Electric_Induction"	"感电"
"DOTA_Tooltip_ability_creeps_spell_Electric_Induction_Description"	"<font color=\"#d9534f\">仅进入第三阶段以后激活</font><br>主动释放技能，持续施法技能，可被打断，进入施法状态后受到最大生命值20%%以上将停止施法。<br>进入感电状态，不断向四周传递静电，会吸引1000范围内的敌人，吸引速度是其移动速度的1.1倍。<br>会不断对周围600范围的敌人造成攻击力伤害。"
"DOTA_Tooltip_ability_creeps_spell_Electric_Induction_Lore"	"探寻雷肤兽的皮肤本质，其皮下组织则是绝缘体，所以即使刺穿其皮肤它们也不会被自己发出的强电流伤害到。战斗时它们可以分泌出一种化学物质促使上皮细胞变化，从而转变为超导体，获得引导电流的能力。"
"DOTA_Tooltip_ability_creeps_spell_Electric_Induction_Note0"	"<font color=\"#f0ad4e\"><br></font>"
"DOTA_Tooltip_ability_creeps_spell_Electric_Induction_damage"	"每秒伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Electric_Induction_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_The_Road_Of_Dark_Thunder"	"幽雷之路"
"DOTA_Tooltip_ability_creeps_spell_The_Road_Of_Dark_Thunder_Description"	"<font color=\"#d9534f\">·精英技能 不可能难度下开启</font><br>每3秒生成一个幽雷路径状态，持续10秒。<br>行走时在地面留下雷电，对其上面的敌人造成持续伤害。"
"DOTA_Tooltip_ability_creeps_spell_The_Road_Of_Dark_Thunder_Lore"	"巴尔诺克背后背负的巨大的能量核心，无时无刻在生产能量，有一部分泄露了出来，成为了它行走的路径。"

"DOTA_Tooltip_ability_creeps_spell_The_Road_Of_Dark_Thunder_damage"	"每秒伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_The_Road_Of_Dark_Thunder_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_The_Road_Of_Dark_Thunder_duration"	"持续时间："
"DOTA_Tooltip_ability_creeps_spell_Sproink"	"跃动"
"DOTA_Tooltip_ability_creeps_spell_Sproink_Description"	"<font color=\"#d9534f\">仅进入第三阶段以后激活</font>&nbsp;<br>受到大于400的伤害时如果处于可以释放技能的状态下则释放此技能，免疫此次伤害且躲避弹道，向后跳300距离且永久性提升10点攻击距离与1%%基础攻击力。"
"DOTA_Tooltip_ability_creeps_spell_Sproink_Lore"	"轻轻一次跃动则可引起所有人的陶醉。"
"DOTA_Tooltip_ability_creeps_spell_Sproink_damage"	"伤害攻击力倍数："
"DOTA_Tooltip_ability_creeps_spell_Sproink_bonus_damage"	"每个敌人额外攻击力伤害："
"DOTA_Tooltip_ability_creeps_spell_Sproink_bonus_shield"	"每个友军额外攻击力护盾："
"DOTA_Tooltip_ability_creeps_spell_Sproink_base_absorb_amount"	"基础护盾值："
"DOTA_Tooltip_ability_creeps_spell_Sproink_radius"	"作用范围："
"DOTA_Tooltip_ability_creeps_spell_Sproink_duration"	"护盾存续："
"DOTA_Tooltip_ability_creeps_spell_Thorns"	"荆棘"
"DOTA_Tooltip_ability_creeps_spell_Thorns_Description"	"<font color=\"#d9534f\">仅不可能难度下激活</font>&nbsp;<br>受到大于50的伤害时为攻击者添加一个状态，可以无限叠加，持续10秒，如果受到的伤害超过100，那么将返还2%%*叠加数的伤害。"
