"DOTA_Tooltip_ability_Advanced_laser_note_lv5"				"【折射+】折射次数加一"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_base_Info"       "基础护盾：+2/级<br/>额外护盾力量乘数：+0.1/级<br/>爆炸伤害：+10/级<br/>爆炸伤害力量乘数：+0.05/级<br/>"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv25_1"				"【亚巴顿的死灵之盾】护盾持续时间增加一倍，'生命转化'的吸收生命值提变为20%%，但将转化为相当于生命值300%%的护盾数值"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv25_2"				"【高度自动化】转变为被动技能，所有友军都可以自动获得护盾效果，当其在7秒内没受到伤害时即可恢复获得一次护盾（仍旧拥有'生命转化'效果）"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_note_lv25_3"				"【黯淡光脉】变为对敌人施法，'生命转化'的吸收生命值变为施法者的生命值，同时目标的护盾效果仅可以抵挡一次伤害，随后爆炸，造成4倍伤害"



"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv5"			"【迷雾缠身+】持续时间提升3秒"
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv10"			"【灵魂追迹+】施法距离提升至全图范围"
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv15"			"【两极反转】不再对自身造成40%%的伤害，而是造成40%%的治疗"
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv20"			"【范围施法】对目标350范围的单位都造成技能效果"
"DOTA_Tooltip_ability_Advanced_mist_coil_note_base_Info"    "基础伤害/治疗：+15/级<br/>力量乘数：+0.15/级<br/>"	
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv25_1"				"【阿哈利姆的赐福】开启高阶回光反照期间，每当你受到最大生命值5%%的伤害时对伤害你的目标释放一次技能，但每0.4秒只会触发一次"
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv25_2"				"【灵魂缠身】仅亚巴顿可以解锁此效果，'魂归'的冷却时间降低至10秒，触发时还将对目标施加一次单目标迷雾缠绕效果"
"DOTA_Tooltip_ability_Advanced_mist_coil_note_lv25_3"				"【高级医护人员】技能冷却时间减少至3.5秒，同时在为目标治疗前将触发一次单体的高阶无光之盾(但无光之盾解锁奥义3后无法触发)"




"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv5"			"【自然而然+】转变为强驱散效果"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv10"			"【森林之子+】由森林之子带来的治疗效果提升50%%"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv15"			"【广域治疗】主动效果的治疗范围提升至800"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv20"			"【精灵之海】主动效果的小精灵数量加5(无视觉效果)"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_base_Info"    "基础治疗：+1/级<br/>智力乘数：+0.004/级<br/>"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv25_1"	"【自然之子】当主动效果生效时召唤出的召唤物都随身附带两只永久的小精灵，同时被动召唤增强加20%%"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv25_2"	"【治愈的赐福】每当小精灵治疗一个目标时，可以使其的最大生命值永久加1，最多叠加15000层"
"DOTA_Tooltip_ability_Advanced_Nature_Attendants_note_lv25_3"	"【林渊】技能携带者造成的任意治疗效果都可以转变为等额的伤害，每0.5秒随机抽选一个周围1000范围内的敌人以魔法伤害返还，视为反伤。仅战斗回合生效"


"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv5"			"【极速衰老+】叠加速率提升100%%"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv10"			"【灵魂置换+】后续的持续时间提升至10秒"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv15"			"【归位】对友军不再造成缴械效果"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv20"			"【归位+】对友军使用时将获得魔法抗性加成"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_base_Info"    "魔法抗性降低：+1%%/级<br/>"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv25_1"				"【永久衰老】仅影响对敌使用，将使得缴械与免疫物理伤害不再发挥作用，持续时间变为永久且不可驱散，且每次对重复目标施加衰老时候会增加10%%的效果"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv25_2"				"【衰老光环】技能转化为光环，失去所有附加效果，仅保留魔抗削减与移速减缓效果，对周围1300范围的双方单位施加衰老效果，对友军为加成效果。处于光环中的敌人每经过5秒还将增加10%%的魔法抗性削减效果，最多为三倍"
"DOTA_Tooltip_ability_Advanced_Decrepify_note_lv25_3"				"【转世】仅帕格纳可以学习，将领悟失去的记忆，自身的天赋技能'湮灭术'的作用范围提升一倍，伤害提升4倍"


"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv5"			"【邪神之力+】持续时间加5秒"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv10"			"【编织+】持续时间加10秒"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv15"			"【渗透】每次施法都将增加1%%的额外冷却缩减，持续15秒，但最多额外增加15%%,与本体乘法叠加"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv20"			"【渗透+】最大值提升至25%%"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_base_Info"     "冷却缩减：+0.4%%/级<br/>"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv25_1"	    "【善咒】当你释放任意冷却时间大于3的技能时，其他非不可刷新技能的冷却时间可以减少1.5秒，最多影响2个技能，优先度从左到右。同时自身冷却时间加2，大于10秒后不再触发"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv25_2"	    "【虚无咒术】使用冷却时间大于3的指向性技能时，如果目标是敌人则对其施加一次高阶剧毒之触，如果是友军则对其施加一次高阶暗影波,有0.1秒冷却时间"
"DOTA_Tooltip_ability_Advanced_Bad_Juju_note_lv25_3"	    "【阿哈利姆的赐福】释放任意冷却时间大于3的技能时，可以对周围至多8名敌人发动一次触发所有攻击特效的攻击，且不会被视为奖励攻击。每次触发获得1秒冷却，冷时间大于10时不再触发"



"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv5"			"【光明波+】损失生命值系数提升至35%%"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv10"			"【暗夜护盾+】每治疗一名友军还将提升目标4%%魔法抗性"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv15"			"【黯淡波】被伤害到的敌人会减少2点护甲，持续10秒（被状态抗性与负面状态持续时间增强增强影响），独立计算持续时间"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv20"			"【光明波++】技能伤害将会计算被治疗增幅后的数值"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_base_Info"      "基础伤害：+6/级<br/>智力乘数：+0.04/级<br/>"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv25_1"	    "【完全治疗】'光明波'可以治疗损失生命的60%%，有30%%几率治疗损失生命的100%%"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv25_2"	    "【暗影图腾】转变为对点施法，将在指定地点插下暗影图腾，图腾每2秒自动对1000范围内最近的友方施加暗影波，图腾的持续时间为永久但只能有一尊，基础数值受到召唤增强影响"
"DOTA_Tooltip_ability_Advanced_Shadow_Wave_note_lv25_3"	    "【简单易懂的强化】冷却时间减少至5秒，基础数值增加两倍，同时技能在造成治疗/伤害前会施加一次强驱散"



"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv5"			"【送葬+】作用范围提升200，伤害转换提升至50%%"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv10"			"【灵葬+】属性奖励提升至50%%"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv15"			"【能量维续】最少生命值由1提升至目标最大生命值的10%%"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv20"			"【快速冷却】冷却时间缩短至30秒"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_base_Info"    "持续时间：+0.1/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv25_1"	    "【多重施法】目标与其周围500范围内至多3个单位也会被施加薄葬效果，自身必定获得薄葬，不会被计入3个单位中。额外的目标不会将召唤物纳入"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv25_2"	    "【视死如归】在薄葬状态下，目标每10%%的损失生命值可以使其增加20%%的伤害，这个效果在状态结束后还将持续5秒"
"DOTA_Tooltip_ability_Advanced_Shallow_Grave_note_lv25_3"	    "【厚葬】持续时间加倍，但只要状态持续期间目标的生命值触及最低血量就会在状态结束后强制死亡，在这种情况下目标如果在10秒内被友军救助，复活时间将减少至7秒，目标每拥有5000金币则减少0.3秒的复活时间。复生后将获得目标拥有金币/5000的永久全属性加成，但这个效果一个相同的单位最多只能触发20次,同时每次最多只能获得10点全属性。非战斗回合不会触发属性奖励"




"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv5"				"【咏唱者+】加成获得50%%提升"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv10"			"【叠加态+】每次施法有30%%几率产生双倍效果,受到概率事件加成50%%影响,边际效益递减减少至5%%"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv15"			"【持久力】正面状态持续时间增强为正时计算2倍效果"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv20"			"【全属性提升】额外获得10点全属性加成"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_base_Info"       "增加移速：+0.4%%级<br/>增加攻速：+2/级<br/>增加攻击力：+2/级<br/>"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv25_1"				"【境界突破】边际效益递减效果减少至2.5%%，不再受到正面状态加成影响，但每层持续时间提升至50秒(边际效益递减在状态添加时确定，如果有两名不同的施法者，以首次施法为基准)"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv25_2"				"【双重施法】将额外影响离目标最近的一个友方英雄"
"DOTA_Tooltip_ability_Advanced_Blood_Lust_note_lv25_3"				"【嗜血印记】变更为原地释放技能，释放技能只对自身有效，但状态转变为光环，可将50%%的效果分享给1000范围内的友方英雄(与原版状态互相独立)"





"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv5"			"【分裂+】额外影响单位增加至6"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv10"			"【病毒+】次级鼻涕的拥有75%%效果"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv15"			"【重感冒】每层鼻涕额外减少2%%的魔法抗性与状态抗性"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv20"			"【交叉感染】当一名携带主效果的敌人被添加了次级效果时，有10%%几率永久性减少1护甲与2%%魔法抗性，最多叠加20层"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_base_Info"    "基础护甲降低：+0.1/级<br/>每层额外护甲降低：+0.04/级<br/>基础移速减缓：+2/级<br/>每层移速减缓：+0.4/级<br/>"    
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv25_1"	    "【阿哈利姆的赐福】转变为被动技能，将自动对周围1000范围内的敌人释放，同时叠加的最大层数增加至20。这个效果还将触发高阶战意"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv25_2"	    "【病毒进化】主鼻涕与次级鼻涕每影响100次敌人后将进化一次，使基础护甲降低效果增加1点（额外的护甲降低不会显示在面板上）进化20次后将转变为不可驱散，且不再受到状态抗性影响"
"DOTA_Tooltip_ability_Advanced_Viscous_Nasal_Goo_note_lv25_3"	    "【污染】转变为光环技能，对周围1000范围内的敌人施加10层鼻涕效果"






"DOTA_Tooltip_ability_Advanced_Warcry_note_lv5"				"【守夜法印+】加成效果提升至75%%"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv10"			"【凛冬将至+】额外伤害提升至22%%"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv15"			"【屹立不倒】主动效果额外提供35%%的状态抗性与20%%的魔法抗性"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv20"			"【我们是冠军】状态将不再可被驱散，作用范围提升至全图"
"DOTA_Tooltip_ability_Advanced_Warcry_note_base_Info"       "移动速度加成：+1%%/级<br/>力量加成:+1/级<br/>作用范围：+10/级<br/>"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv25_1"	    "【守誓】施法时每有一名友方英雄使技能效果提升20%%，每有一个召唤物使技能效果提升1%%(仅影响基础加成与LV15效果)"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv25_2"	    "【破誓】主技能效果不再对友军生效（光环效果仍然生效），相对的，施法时每存在一个本该被影响的友方英雄可以使技能效果提升60%%，召唤单位则提升3%%(仅影响基础加成与LV15效果)"
"DOTA_Tooltip_ability_Advanced_Warcry_note_lv25_3"	    "【弑君者】可以指定一名友方英雄为自己的君主，永久增加其100点全属性，但当其每击杀30名敌人后将被你背刺，使其生命值剩下1，如果背刺前该单位生命值已低于20%%则会被刺杀。这个奥义可以重复解锁，每次解锁可以指定一次，指定完成后可以使原石的可购买次数恢复1，且所需金币等级减1。同一个单位可被多次指定，最多5次，同时击杀数的累计也会增加"




"DOTA_Tooltip_ability_Advanced_take_aim_note_lv5"			"【专注+】最大叠加层数提高至10"
"DOTA_Tooltip_ability_Advanced_take_aim_note_lv10"			"【集中+】触发几率提升至99%%"
"DOTA_Tooltip_ability_Advanced_take_aim_note_lv15"			"【全集中】当专注层数叠满后提升30全属性与10%%伤害加成"
"DOTA_Tooltip_ability_Advanced_take_aim_note_lv20"			"【狙击】当冷却完成时额外增加1000攻击距离，攻击后进入冷却，冷却0.5秒"
"DOTA_Tooltip_ability_Advanced_take_aim_note_base_Info"     "攻击距离加成：+5/级<br/>"
"DOTA_Tooltip_ability_Advanced_take_aim_note_lv25_1"	            "【狙神】'狙击'提供的攻击距离提高至2000，冷却时间降低至0.24秒，当'专注'效果满时冷却时间变为0.12秒"
"DOTA_Tooltip_ability_Advanced_take_aim_note_lv25_2"	            "【聚焦】'专注'的最大层数增加至50（'全集中'所需要的层数不变），每层'专注'将额外提供1%%的攻击伤害"
"DOTA_Tooltip_ability_Advanced_take_aim_note_lv25_3"	            "【Jame的AWP】触发'狙击'时如果是切换了攻击目标，那么可以触发一次高阶暗杀，但1.5秒只能触发一次"


"DOTA_Tooltip_ability_Advanced_feast_note_lv5"			"【分享/独食+】触发分享时将会额外触发一次，选取一个生命值最低的友军，两次可以恢复同个单位，独食的效果提升至2.5倍"
"DOTA_Tooltip_ability_Advanced_feast_note_lv10"			"【暴食症+】每1%%生命值的提升吸血效果提升至2%%"
"DOTA_Tooltip_ability_Advanced_feast_note_lv15"			"【血液狂乱】每造成全额攻击力*2的吸血效果时暂时提升自身10%%的攻击力，持续5秒，独立计算持续时间，最多15层（不被正面状态持续时间增强，独立计算持续时间）"
"DOTA_Tooltip_ability_Advanced_feast_note_lv20"			"【真祖】当吸血增强为正数时，本技能的吸血增强的计算为三倍效果"
"DOTA_Tooltip_ability_Advanced_feast_note_base_Info"    "伤害吸血：+0.4%%/级<br/>"
"DOTA_Tooltip_ability_Advanced_feast_note_lv25_1"	            "【滴管长枪】吸血效果不再限制于攻击伤害"
"DOTA_Tooltip_ability_Advanced_feast_note_lv25_2"	            "【即死抗性】对你造成的即死效果需要达到三倍才能有效果"
"DOTA_Tooltip_ability_Advanced_feast_note_lv25_3"	            "【血亲】可以指定一次自身的血亲，'分享/独食'效果失效，使一名友方英雄与自己共享吸血能力，使目标获得本技能的能力，同时自身触发吸血时候目标也可以恢复同等的生命值，但反过来不生效"

"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv5"			"【邪恶契约+】吸取范围提升至1000，吸取值提升至15%%"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv10"			"【蚕食+】丢失生命值降低50%%"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv15"			"【血祭】每秒可将当前生命值的0.5%%转化为基础攻击力，持续5秒(不被正面状态持续时间增强影响，独立计算持续时间)"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv20"			"【荒邪之狱】将隐藏的位面的一部分力量带到现世，发动攻击时有5%%几率吸收目标10%%的生命以恢复自己（视为对自己治疗，不会造成伤害）"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_base_Info"    "攻击力加成：+5/级<br/>攻击速度加成：+3/级<br/>射程加成：+4/级<br/>"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv25_1"				"【混乱形态】不再变为远程形态，不再拥有攻击距离加成，但自身攻击伤害将提升100%%"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv25_2"				"【威压形态】1000范围内的敌人将降低50点防御力"
"DOTA_Tooltip_ability_Advanced_metamorphosis_note_lv25_3"				"【灭世形态】每0.7秒将对攻击范围内的敌方单位发出1-6次随机的攻击，触发所有效果"










"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv5"				"【野性狂暴+】吸血效果提升至15%%，最大攻速提升增加至600"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv10"			"【血液热忱+】额外伤害提升100%%"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv15"			"【血夜】进入夜晚时变形时间消耗减少50%%"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv20"			"【狼群】释放时周围500范围的非处于变形状态的英雄都会进入变形"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_base_Info"       "额外伤害加成：+1%%/级<br/>"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv25_1"				"【永恒】自身变狼时间变为永久"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv25_2"				"【完全耐性】对破坏被动拥有完全耐性，移动阻碍完全耐性，无效化眩晕与沉默"
"DOTA_Tooltip_ability_Advanced_shapeshift_note_lv25_3"				"【尖牙利齿】新增被动能力，由苦难'尖牙利齿'提供的攻击加成变为3倍"








"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv5"				"【起源+】每次攻击丢失5%%加成"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv10"			"【传承+】保底将增加两层"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv15"			"【剑法精研】每50点攻击力将增加0.15秒基础持续时间，搜寻范围提升250"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv20"			"【幻影剑舞】可以开启自动施法，普通攻击有10%%几率触发一次持续0.1秒的无敌斩(被被动破坏禁用)"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_base_Info"       "持续时间：+0.06/级<br/>"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv25_1"				"【突破极限】攻击速度可以突破服务器帧数限制，最大可以达到三倍帧数刷新率的攻击频率"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv25_2"				"【宿命之剑】无敌斩的斩击可以削减目标1000点防御力"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_note_lv25_3"				"【无敌献祭】无敌斩失去无敌效果，可以被攻击，但免疫100%%的伤害，斩击频率提升至攻击速度的两倍，期间可以自身可以发动攻击，与无敌斩的斩击独立，'幻影剑舞'的状态变为可以叠加，而不是刷新"


"DOTA_Tooltip_ability_Advanced_Blade_Dance_note_lv5"			"【精密短刀】剑舞的致命一击倍率降低20%% [×]，但其致命一击几率提高25%% [×]"
"DOTA_Tooltip_ability_Advanced_Blade_Dance_note_lv10"			"【迅剑：樱舞+】持续时间提高至25秒，且即使是相同目标也有2%%几率触发"
"DOTA_Tooltip_ability_Advanced_Blade_Dance_note_lv15"			"【秘剑：燕返+】燕返的可攻击次数提高到3次"
"DOTA_Tooltip_ability_Advanced_Blade_Dance_note_lv20"			"【流影】攻击时，有8%%几率对敌人周围300范围内的其他一个敌人发动一次奖励攻击，可以造成分裂和部分攻击特效"
"DOTA_Tooltip_ability_Advanced_Blade_Dance_note_base_Info"      "致命一击：+1%/级<br/>"
"DOTA_Tooltip_ability_Advanced_Blade_Dance_note_lv25_1"				"【拔刀】失去除了暴击之外的所有效果，转变为拔刀效果，每秒可以累计一层拔刀效果，每层拔刀效果提升8%%攻击力，且每10层时将提升100%%累计速度。最多累积到120层，当攻击时移除20%%的层数。(仅战斗回合产生作用)"
"DOTA_Tooltip_ability_Advanced_Blade_Dance_note_lv25_2"				"【断罪】攻击敌人时有10%%几率以移除生命的形式使目标失去等同于伤害量5倍的生命值,受到概率事件加成50%%影响"
"DOTA_Tooltip_ability_Advanced_Blade_Dance_note_lv25_3"				"【水舞】'流影'触发几率提升至70%%——————水舞者们打斗时举止优雅，也非常致命。他们习惯于使用细剑，侧身迎敌，疾如鹿，静如影，迅如蛇，止如水，壮如熊，猛如狼，不动如石。"









"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv5"			"【超越极限+】最多叠加提升至40层"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv10"			"【狂暴药剂+】影响单位加一"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv15"			"【超越极限二阶】额外给予100点攻击速度加成与50点移动速度加成"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv20"			"【超越极限三阶】状态持续期间获得50%%状态抗性与20%%伤害减免（以返还生命值得形式,可被生命恢复禁用影响）"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_base_Info"    "持续时间：+0.5/级<br/>"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv25_1"				"【多动症】被'狂暴药剂'影响的友军每发动6次攻击将会附带一次你的奖励攻击"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv25_2"				"【药剂专家】'狂暴药剂'将对所有英雄产生影响，同时还将分发给至多10具召唤物"
"DOTA_Tooltip_ability_Advanced_Chemical_Rage_note_lv25_3"				"【限制解除】化学狂暴期间，你的全额攻击力将提升100%%，但你的防御力将被扣除200点，你可以通过开启自动施法来关闭这个效果，状态在产生时将根据你的自动施法状态来调配药剂的效果，中途不会变更"





"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv5"			"【辐射+】持续时间增加至眩晕时间三倍"
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv10"			"【再调制+】攻击力伤害系数提升至3"
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv15"			"【化学反应】每次技能命中后主目标永久降低目标7点护甲与6%%魔法抗性，最多叠加5层"
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv20"			"【快速调剂】2.5秒即可达到最大效果，同时冷却时间缩短至12秒"
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_base_Info"      "最大攻击力倍数伤害：+0.1/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv25_1"				"【药剂专家】变为被动技能，每隔3秒自动向周围1000范围内敌人扔出最大效果的药剂"
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv25_2"				"【溶解并发】'化学反应'最大层数减少至4且不再降低魔法抗性，但每层可以产生原来的10倍效果"
"DOTA_Tooltip_ability_Advanced_Unstable_Concoction_note_lv25_3"				"【铀235】'辐射'的伤害提升至最大生命值的10%%，同时持续时间固定为20秒"




"DOTA_Tooltip_ability_Advanced_Acid_Sparay_note_lv5"			"【粘性+】每秒降低速度效果提升50%%"
"DOTA_Tooltip_ability_Advanced_Acid_Sparay_note_lv10"			"【王水+】降低护甲效果提升至35%%"
"DOTA_Tooltip_ability_Advanced_Acid_Sparay_note_lv15"			"【腐蚀】基础护甲降低效果提升50%%，同时可以降低敌人20%%魔法抗性"
"DOTA_Tooltip_ability_Advanced_Acid_Sparay_note_lv20"			"【化学反应】单位每有1%%当前生命值额外提升0.5%%基础护甲减少效果"
"DOTA_Tooltip_ability_Advanced_Acid_Sparay_note_base_Info"      "基础伤害：+2/级<br/>攻击力乘数：+0.005/级<br/>护甲降低：+0.3/级<br/>"	
"DOTA_Tooltip_ability_Advanced_Acid_Sparay_note_lv25_1"				"【化学合成】酸性喷雾每秒都有20%%几率产生一次高阶不稳定化合物的爆炸，目标为区域内的随机目标"
"DOTA_Tooltip_ability_Advanced_Acid_Sparay_note_lv25_2"				"【盐水混合体】如果目标身上携带有高阶侵蚀雾霾的负面状态，那么由酸性喷雾造成的基础护甲降低效果将提升1倍，但一片酸雾的护甲降低不会超过60"
"DOTA_Tooltip_ability_Advanced_Acid_Sparay_note_lv25_3"				"【柠檬精】你化身为柠檬，不再可以攻击，你的周围将产生一个800范围的酸性区域，步入此区域的敌人受到物理伤害提高65%%"




"DOTA_Tooltip_ability_Advanced_Focus_Fire_note_lv5"				"【会神+】每次攻击额外提升8点攻击速度"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_note_lv10"			"【全方位射击+】触发几率提升至60%%"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_note_lv15"			"【聚焦】如果是远程攻击者，将额外获得600码的攻击距离"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_note_lv20"			"【两极反转】基础的攻击力百分比由减少25%%变更为增加25%%"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_note_base_Info"       "攻击力百分比：+1%%/级<br/>提高攻击速度：+8/级<br/>"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_note_lv25_1"				"【集中转移】技能变更为被动技能，对一个目标下达攻击指令后即可对其发动技能效果"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_note_lv25_2"				"【哈勃望远镜】冷却时间降低至15秒，施法距离变为无限，无论身在何处都可以攻击目标"
"DOTA_Tooltip_ability_Advanced_Focus_Fire_note_lv25_3"				"【机枪炮台】变为切换技能，开启后无法移动，会自动对(射程+1200)范围内内敌人进行攻击，'会神'效果会因为目标切换清空，无论是否为远程单位都可以获得射程加成"




"DOTA_Tooltip_ability_Advanced_Powershot_note_lv5"			"【破军+】持续时间内还将破坏目标被动"
"DOTA_Tooltip_ability_Advanced_Powershot_note_lv10"			"【疾风+】箭矢的作用距离为两倍"
"DOTA_Tooltip_ability_Advanced_Powershot_note_lv15"			"【真实打击】攻击力计算全额攻击力，且无视目标50%%护甲"
"DOTA_Tooltip_ability_Advanced_Powershot_note_lv20"			"【极速】攻击有2%%几率触发技能(但该效果不触发攻击)，会使技能冷却增加5秒，冷却时间大于40时不触发"
"DOTA_Tooltip_ability_Advanced_Powershot_note_base_Info"    "基础伤害：+10/级<br/>攻击力系数：+0.1/级<br/>"
"DOTA_Tooltip_ability_Advanced_Powershot_note_lv25_1"				"【风眼】不再具备击退效果，转变为1秒的束缚，'极速'的触发几率提升至5%%，每次触发增加的冷却时间减少至2.5秒"
"DOTA_Tooltip_ability_Advanced_Powershot_note_lv25_2"				"【穿云】主效果将射出7道箭矢，箭矢可以影响相同目标，但是造成一次影响后将销毁。"
"DOTA_Tooltip_ability_Advanced_Powershot_note_lv25_3"				"【定军】持续施法时间提升至5秒，每秒的持续施法都可以使伤害增加100%%,当持续施法时间超过1秒后，每秒的施法还将增加强力击的影响范围，最大为两倍，同时技能的冷却时间减少至5秒"




"DOTA_Tooltip_ability_Advanced_Coup_De_Grace_note_lv5"			"【碎甲强击】被动提供的攻击护甲穿透提高3点"
"DOTA_Tooltip_ability_Advanced_Coup_De_Grace_note_lv10"			"【弱者摧杀+】弱者摧杀还会使目标的护甲降低5点（不显示在面板）"
"DOTA_Tooltip_ability_Advanced_Coup_De_Grace_note_lv15"			"【命定之死】连续8次未触发恩赐解脱后，下一次攻击必定触发恩赐解脱"
