"DOTA_Tooltip_modifier_hd_cleave_damage"                   "Cleave damage"
"DOTA_Tooltip_modifier_Advanced_shockwave_debuff2"                   "collapse"
"DOTA_Tooltip_modifier_Advanced_shockwave_debuff2_Description"       "Reduce aromor" 

"DOTA_Tooltip_modifier_Advanced_chaos_strike_buff"                   "Chaos Judgment"
"DOTA_Tooltip_modifier_Advanced_chaos_strike_buff_Description"       "Grants bonus attack damage" 






"DOTA_Tooltip_modifier_Primary_Electrostatic_Armor_damage_count"                   "Primary Electrostatic Armor"
"DOTA_Tooltip_modifier_Primary_Electrostatic_Armor_damage_count_Description"       "Grant magic resistance, record damage " 
"DOTA_Tooltip_modifier_Middle_Electrostatic_Armor_damage_count"                   "Middle Electrostatic Armor"
"DOTA_Tooltip_modifier_Middle_Electrostatic_Armor_damage_count_Description"       "Grant magic resistance, record damage " 
"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_damage_count"                   "Advanced Electrostatic Armor"
"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_damage_count_Description"       "Grant magic resistance, record damage " 

"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_shield"                   "Advanced Electrostatic Armor"
"DOTA_Tooltip_modifier_Advanced_Electrostatic_Armor_shield_Description"       "Block Damage" 


"DOTA_Tooltip_modifier_Primary_Acid_bomb_debuff"                   "Primary acid pool"
"DOTA_Tooltip_modifier_Primary_Acid_bomb_debuff_Description"       "Deals continuous damage and slows" 
"DOTA_Tooltip_modifier_Middle_Acid_bomb_debuff"                   "Middle acid pool"
"DOTA_Tooltip_modifier_Middle_Acid_bomb_debuff_Description"       "Deals continuous damage and slows" 
"DOTA_Tooltip_modifier_Advanced_Acid_bomb_debuff"                   "Advanced acid pool"
"DOTA_Tooltip_modifier_Advanced_Acid_bomb_debuff_Description"       "Deals continuous damage and slows" 



"DOTA_Tooltip_modifier_Advanced_Acid_bomb_turret"                   "shotgun"
"DOTA_Tooltip_modifier_Advanced_Acid_bomb_turret_Description"       "release of acid bombs over time" 



"DOTA_Tooltip_modifier_creeps_spell_harpy_wind_debuff"                   "Lightning chain"
"DOTA_Tooltip_modifier_creeps_spell_harpy_wind_debuff_Description"       "Reduce movement speed" 

"DOTA_Tooltip_modifier_creeps_spell_Fist_of_anger_debuff"                   "Fist of anger"
"DOTA_Tooltip_modifier_creeps_spell_Fist_of_anger_debuff_Description"       "Reduce movement speed" 


"DOTA_Tooltip_modifier_creeps_spell_Crab_bubble_effect"                   "Life in the bubble"
"DOTA_Tooltip_modifier_creeps_spell_Crab_bubble_effect_Description"       "Reduce movement speed" 


"DOTA_Tooltip_modifier_creeps_spell_troll_roar_buff"                   "Enrage"
"DOTA_Tooltip_modifier_creeps_spell_troll_roar_buff_Description"       "Increase movement speed and attack speed" 

"DOTA_Tooltip_modifier_creeps_spell_troll_roar_trigger_effect"                   "frightened"
"DOTA_Tooltip_modifier_creeps_spell_troll_roar_trigger_effect_Description"       "Reduce armor" 


"DOTA_Tooltip_modifier_creeps_spell_troll_regen_damage_count"                   "Troll blood "
"DOTA_Tooltip_modifier_creeps_spell_troll_regen_damage_count_Description"       "Grant health regeneration" 


"DOTA_Tooltip_modifier_creeps_spell_damage_delay_damage_count"                   "ignore the pain"
"DOTA_Tooltip_modifier_creeps_spell_damage_delay_damage_count_Description"       "Accumulate damage" 



"DOTA_Tooltip_modifier_creeps_spell_evil_eye_debuff"                   "Evil eyes"
"DOTA_Tooltip_modifier_creeps_spell_evil_eye_debuff_Description"       "Reduce damage and status resistance" 
"DOTA_Tooltip_modifier_creeps_spell_warewolf_Jumping_bite_debuff"                   "Jumping bite"
"DOTA_Tooltip_modifier_creeps_spell_warewolf_Jumping_bite_debuff_Description"       "Movement speed reduced greatly" 




"DOTA_Tooltip_modifier_stroke_of_fate_debuff_unlock1"                   "failure"
"DOTA_Tooltip_modifier_stroke_of_fate_debuff_unlock1_Description"       "Greatly increases damage taken " 
"DOTA_Tooltip_modifier_Advanced_Arcane_Aura"                   "Seeds of Midwinter"
"DOTA_Tooltip_modifier_Advanced_Arcane_Aura_Description"       "accumulated cold air" 

"DOTA_Tooltip_modifier_Advanced_Arcane_Aura_frozen"                   "frozen"
"DOTA_Tooltip_modifier_Advanced_Arcane_Aura_frozen_Description"       "Frozen and take extra magic damage " 


"DOTA_Tooltip_modifier_Advanced_quadruple_chop_passive"                   "Swordsmanship"
"DOTA_Tooltip_modifier_Advanced_quadruple_chop_passive_Description"       "accumulated points" 
"DOTA_Tooltip_modifier_Advanced_quadruple_chop_debuff"                   "soul Destroy"
"DOTA_Tooltip_modifier_Advanced_quadruple_chop_debuff_Description"       "Permanently reduce armor" 
"DOTA_Tooltip_modifier_Advanced_Plague_unlock3"                   "evolution "
"DOTA_Tooltip_modifier_Advanced_Plague_unlock3_Description"       "accumulated points "
"DOTA_Tooltip_modifier_Advanced_reactive_armor_unlock3"                   "Anti-Reactive"
"DOTA_Tooltip_modifier_Advanced_reactive_armor_unlock3_Description"       "Reduce aromor" 

"DOTA_Tooltip_modifier_Chaotic_Offering_ambient_buff_unlock3"                   "Community"
"DOTA_Tooltip_modifier_Chaotic_Offering_ambient_buff_unlock3_Description"       "Greatly improve attributes" 
"DOTA_Tooltip_modifier_Advanced_summon_Dave_Chisnall_debuff"                   "Gravity Magic"
"DOTA_Tooltip_modifier_Advanced_summon_Dave_Chisnall_debuff_Description"       "Movement speed reduced greatly" 
"DOTA_Tooltip_modifier_Advanced_Vengeance_Aura_unlock2"                   "swan song"
"DOTA_Tooltip_modifier_Advanced_Vengeance_Aura_unlock2_Description"       "Grant bonus all attribute" 
"DOTA_Tooltip_modifier_Advanced_Vengeance_Aura_unlock3_effect"                   "The sound of death"
"DOTA_Tooltip_modifier_Advanced_Vengeance_Aura_unlock3_effect_Description"       "Take additional damage" 

"DOTA_Tooltip_modifier_Advanced_Body_of_Effulgent_Beryl_unlock2_effect"                   "Unbreakable Realm"
"DOTA_Tooltip_modifier_Advanced_Body_of_Effulgent_Beryl_unlock2_effect_Description"       "Grants passive effect to Body of Effulgen Beryl" 

"DOTA_Tooltip_modifier_Advanced_dragon_slave_unlock1"                   "Mystery of the Red Witch"
"DOTA_Tooltip_modifier_Advanced_dragon_slave_unlock1_effect_Description"       "Grants bonus damage to Dragon Slave" 




"DOTA_Tooltip_modifier_Primary_cold_embrace_buff"                   "Primary Cold Embrace"
"DOTA_Tooltip_modifier_Primary_cold_embrace_buff_Description"       "Grants healtth regen and block physical damage " 
"DOTA_Tooltip_modifier_Middle_cold_embrace_buff"                   "Middle Cold Embrace"
"DOTA_Tooltip_modifier_Middle_cold_embrace_buff_Description"       "Grants healtth regen and block physical damage " 
"DOTA_Tooltip_modifier_Advanced_cold_embrace_buff"                   "Advanced Cold Embrace"
"DOTA_Tooltip_modifier_Advanced_cold_embrace_buff_Description"       "Grants healtth regen and block physical damage " 
"DOTA_Tooltip_modifier_Advanced_cold_embrace_buff_bonus"                   "Iced Watermelon"
"DOTA_Tooltip_modifier_Advanced_cold_embrace_buff_bonus_Description"       "Grants healtth regen and block physical damage " 


"DOTA_Tooltip_modifier_Primary_howl_debuff"                   "Primary Howl"
"DOTA_Tooltip_modifier_Primary_howl_debuff_Description"       "reduce attack damage and armor" 
"DOTA_Tooltip_modifier_Middle_howl_debuff"                   "Middle Howl"
"DOTA_Tooltip_modifier_Middle_howl_debuff_Description"       "reduce attack damage and armor" 
"DOTA_Tooltip_modifier_Advanced_howl_debuff"                   "Advanced Howl"
"DOTA_Tooltip_modifier_Advanced_howl_debuff_Description"       "reduce attack damage and armor" 

"DOTA_Tooltip_modifier_Advanced_howl_buff"                   "Advanced Howl"
"DOTA_Tooltip_modifier_Advanced_howl_buff_Description"       "increase attack damage and armor" 

"DOTA_Tooltip_modifier_Primary_lunar_blessing_effect"                   "Primary Lunar Blessing"
"DOTA_Tooltip_modifier_Primary_lunar_blessing_effect_Description"       "Increase attack damage" 
"DOTA_Tooltip_modifier_Middle_lunar_blessing_effect"                   "Middle Lunar Blessing"
"DOTA_Tooltip_modifier_Middle_lunar_blessing_effect_Description"       "Increase attack damage" 
"DOTA_Tooltip_modifier_Advanced_lunar_blessing_effect"                   "Advanced Lunar Blessing"
"DOTA_Tooltip_modifier_Advanced_lunar_blessing_effect_Description"       "Increase attack damage" 


"DOTA_Tooltip_modifier_Middle_lunar_blessing_active"                   "Enter Good Night"
"DOTA_Tooltip_modifier_Middle_lunar_blessing_active_Description"       "forced into the night" 
"DOTA_Tooltip_modifier_Advanced_lunar_blessing_active"                   "Enter Good Night"
"DOTA_Tooltip_modifier_Advanced_lunar_blessing_active_Description"       "forced into the night" 

"DOTA_Tooltip_modifier_Advanced_hunter_in_the_night_active"                   "Dark night fall"
"DOTA_Tooltip_modifier_Advanced_hunter_in_the_night_active_Description"       "forced into the night" 
"DOTA_Tooltip_modifier_Middle_hunter_in_the_night_active"                   "Dark night fall"
"DOTA_Tooltip_modifier_Middle_hunter_in_the_night_active_Description"       "forced into the night" 





"DOTA_Tooltip_modifier_Primary_Bloodrage_buff"                   "Primary Bloodrage"
"DOTA_Tooltip_modifier_Primary_Bloodrage_buff_Description"       "Grants attack speed and physical spell damage bonus" 
"DOTA_Tooltip_modifier_Middle_Bloodrage_buff"                   "Middle Bloodrage"
"DOTA_Tooltip_modifier_Middle_Bloodrage_buff_Description"       "Grants attack speed and physical spell damage bonus" 
"DOTA_Tooltip_modifier_Advanced_Bloodrage_buff"                   "Advanced Bloodrage"
"DOTA_Tooltip_modifier_Advanced_Bloodrage_buff_Description"       "Grants attack speed and physical spell damage bonus" 

"DOTA_Tooltip_modifier_Advanced_Bloodrage_buff_lv20"                   "Blood Savings"
"DOTA_Tooltip_modifier_Advanced_Bloodrage_buff_lv20_Description"       "energy points" 
"DOTA_Tooltip_modifier_Advanced_double_edge_buff"                   "Ignore the Pain"
"DOTA_Tooltip_modifier_Advanced_double_edge_buff_Description"       "reduce self damage" 


"DOTA_Tooltip_modifier_Advanced_double_edge_buff_lv15"                   "Warrunner"
"DOTA_Tooltip_modifier_Advanced_double_edge_buff_lv15_Description"       "Increases damage based on distance traveled" 
"DOTA_Tooltip_modifier_Advanced_double_edge_buff_lv20"                   "Self Challenge"
"DOTA_Tooltip_modifier_Advanced_double_edge_buff_lv20_Description"       "Will be able to attach maximum health damage" 


"DOTA_Tooltip_modifier_Primary_enchant_totem"                   "Primary Enchant Totem"
"DOTA_Tooltip_modifier_Primary_enchant_totem_Description"       "Increase attack damage" 
"DOTA_Tooltip_modifier_Middle_enchant_totem"                   "Middle Enchant Totem"
"DOTA_Tooltip_modifier_Middle_enchant_totem_Description"       "Increase attack damage" 
"DOTA_Tooltip_modifier_Advanced_enchant_totem"                   "Advanced Enchant Totem"
"DOTA_Tooltip_modifier_Advanced_enchant_totem_Description"       "Increase attack damage" 






"DOTA_Tooltip_modifier_Primary_finger_of_death_count"                   "Fnger Of Death Kill"
"DOTA_Tooltip_modifier_Primary_finger_of_death_count_Description"       "Increase spell damage" 

"DOTA_Tooltip_modifier_Middle_finger_of_death_count"                   "Fnger Of Death Kill"
"DOTA_Tooltip_modifier_Middle_finger_of_death_count_Description"       "Increase spell damage" 

"DOTA_Tooltip_modifier_Advanced_finger_of_death_count"                   "Fnger Of Death Kill"
"DOTA_Tooltip_modifier_Advanced_finger_of_death_count_Description"       "Increase spell damage" 

"DOTA_Tooltip_modifier_Middle_finger_of_death_debuff"                   "Mana exhaustion"
"DOTA_Tooltip_modifier_Middle_finger_of_death_debuff_Description"       "Need to use more mana to cast spells" 
"DOTA_Tooltip_modifier_Advanced_finger_of_death_debuff"                   "Mana exhaustion"
"DOTA_Tooltip_modifier_Advanced_finger_of_death_debuff_Description"       "Need to use more mana to cast spells" 






"DOTA_Tooltip_modifier_Middle_brain_sap_debuff"                   "Evil Thoughts"
"DOTA_Tooltip_modifier_Middle_brain_sap_debuff_Description"       "cumulative damage" 
"DOTA_Tooltip_modifier_Advanced_brain_sap_debuff"                   "Evil Thoughts"
"DOTA_Tooltip_modifier_Advanced_brain_sap_debuff_Description"       "cumulative damage" 


"DOTA_Tooltip_modifier_Advanced_brain_sap_buff"                   "Pain Multiplier"
"DOTA_Tooltip_modifier_Advanced_brain_sap_buff_Description"       "Increase spell damage" 



"DOTA_Tooltip_modifier_Advanced_Celestial_Hammer_unlock2_debuff"                   "Scarlet Corruption"
"DOTA_Tooltip_modifier_Advanced_Celestial_Hammer_unlock2_debuff_Description"       "take sustained damage" 



"DOTA_Tooltip_modifier_Advanced_Chakra_unlock1"                   "Magic Treasure House"
"DOTA_Tooltip_modifier_Advanced_Chakra_unlock1_Description"       "Increase maximum mana" 



"DOTA_Tooltip_modifier_Advanced_Chakra_unlock3"                   "Magic lamp Blessing"
"DOTA_Tooltip_modifier_Advanced_Chakra_unlock3_Description"       "I wish......" 





"DOTA_Tooltip_modifier_Advanced_pulse_nova_debuff"                   "Spirit pulse"
"DOTA_Tooltip_modifier_Advanced_pulse_nova_debuff_Description"       "Reduce magic resistance" 



"DOTA_Tooltip_modifier_Advanced_frost_armor_debuff_unlock2"                   "Great Slow"
"DOTA_Tooltip_modifier_Advanced_frost_armor_debuff_unlock2_Description"       "Reduce attack speed" 


"DOTA_Tooltip_modifier_Advanced_marksmanship_unlock1"                   "Madman Realm"
"DOTA_Tooltip_modifier_Advanced_marksmanship_unlock1_Description"       "Increase attack damage" 





"DOTA_Tooltip_modifier_Advanced_return_debuff"                   "Nail removal"
"DOTA_Tooltip_modifier_Advanced_return_debuff_Description"       "Reduce armor" 
"DOTA_Tooltip_modifier_Advanced_repel_unlock1"                   "Shield of Perfection"
"DOTA_Tooltip_modifier_Advanced_repel_unlock1_Description"       "Give damage block" 
"DOTA_Tooltip_modifier_Advanced_repel_unlock3"                   "The shelter of the Omni God"
"DOTA_Tooltip_modifier_Advanced_repel_unlock3_Description"       "increase STR and health regen" 


"DOTA_Tooltip_modifier_Advanced_purification_unlock1"                   "Blessed by God"
"DOTA_Tooltip_modifier_Advanced_purification_unlock1_Description"       "Increase STR" 



"DOTA_Tooltip_modifier_Advanced_berserkers_blood_unlock1"                   "Surge of power"
"DOTA_Tooltip_modifier_Advanced_berserkers_blood_unlock1_Description"       "Increase STR" 



"DOTA_Tooltip_modifier_Advanced_berserkers_blood"                   "Onyx's Evil blood"
"DOTA_Tooltip_modifier_Advanced_berserkers_blood_Description"       "Stacks" 




"DOTA_Tooltip_modifier_Advanced_magic_blessing_unlock1"                   "The Acme of Magic"
"DOTA_Tooltip_modifier_Advanced_magic_blessing_unlock1_Description"       "increase spell damage" 



"DOTA_Tooltip_modifier_Advanced_magic_blessing_unlock2"                   "Septem peccata mortalia - Greed"
"DOTA_Tooltip_modifier_Advanced_magic_blessing_unlock2_Description"       "I long for knowledge" 

"DOTA_Tooltip_modifier_Advanced_mana_shield_stone"                   "Medusa Shield "
"DOTA_Tooltip_modifier_Advanced_mana_shield_stone_Description"       "petrifaction" 


"DOTA_Tooltip_modifier_Advanced_mana_shield_unlock3"                   "Medusa Shield "
"DOTA_Tooltip_modifier_Advanced_mana_shield_unlock3_Description"       "Current cumulative points" 




"DOTA_Tooltip_modifier_Advanced_Windrun_walk_unlock3"                   "Blessing of Wind Element"
"DOTA_Tooltip_modifier_Advanced_Windrun_walk_unlock3_Description"       "Increase attack power" 



"DOTA_Tooltip_modifier_Primary_Time_Drain"                   "Primary Time Drain"
"DOTA_Tooltip_modifier_Middle_Time_Drain"                   "Middle Time Drain"
"DOTA_Tooltip_modifier_Advanced_Time_Drain"                   "Advanced Time Drain"


"DOTA_Tooltip_modifier_Advanced_Time_Drain_unlock3"                   "Time Lapse Cooldown time"







"DOTA_Tooltip_modifier_Advanced_Decrepify_aura_effect"                   "Decrepify Aura"
"DOTA_Tooltip_modifier_Advanced_Decrepify_aura_effect_Description"       "Change magic resistance and movement speed" 


"DOTA_Tooltip_modifier_Advanced_Nature_Attendants_hp_unlock2"                   "The Blessing of Healing"
"DOTA_Tooltip_modifier_Advanced_Nature_Attendants_hp_unlock2_Description"       "Increase HP" 

"DOTA_Tooltip_modifier_Advanced_Nature_Attendants_unlock3"                   "Lin Yuan"
"DOTA_Tooltip_modifier_Advanced_Nature_Attendants_unlock3_Description"       "Healing can cause damage to the enemy" 







"DOTA_Tooltip_modifier_Advanced_tether_buff_unlock2"                   "Physical Enhancement"
"DOTA_Tooltip_modifier_Advanced_tether_buff_unlock2_buff_Description"                   "Increase maximum HP"


"DOTA_Tooltip_modifier_Advanced_tether_buff_unlock3"                   "Mental Enhancement"
"DOTA_Tooltip_modifier_Advanced_tether_buff_unlock3_buff_Description"                   "Increase maximum mana"




"DOTA_Tooltip_modifier_Advanced_fates_edict_unlock2_effect"                   "Positive manipulation"
"DOTA_Tooltip_modifier_Advanced_fates_edict_unlock2_effect_Description"                   "Attribute promotion" 



"DOTA_Tooltip_modifier_Advanced_fates_edict_unlock3_effect"                   "Negative manipulation"
"DOTA_Tooltip_modifier_Advanced_fates_edict_unlock3_effect_Description"                   "Attribute descent" 


"DOTA_Tooltip_modifier_Advanced_Shallow_Grave_unlock2_bonus"                   "Take Death Dalmly"
"DOTA_Tooltip_modifier_Advanced_Shallow_Grave_unlock2_bonus_Description"                   "Increase damage" 

"DOTA_Tooltip_modifier_Advanced_Shallow_Grave_unlock3_delay"                   "Heavy Grave Countdown "


"DOTA_Tooltip_modifier_Advanced_Shallow_Grave_unlock3_bonus"                   "Heavy Grave"
"DOTA_Tooltip_modifier_Advanced_Shallow_Grave_unlock3_bonus_Description"                   "Give all attribute bonus" 

"DOTA_Tooltip_modifier_Advanced_Viscous_Nasal_Goo_unlock2"                   "Virus evolution points"


"DOTA_Tooltip_modifier_Advanced_Warcry_unlock3_target"                   "Kingslayer"
"DOTA_Tooltip_modifier_Advanced_Warcry_unlock3_target_Description"                   "You're being watched by your teammates" 


"DOTA_Tooltip_modifier_Advanced_feast_unlock3_active"                   "Consanguinity"
"DOTA_Tooltip_modifier_Advanced_feast_unlock3_active_Description"                   "You have been turned into a vampire by a teammate" 



"DOTA_Tooltip_modifier_Advanced_Blur_unlock3"                   "Defoaming"
"DOTA_Tooltip_modifier_Advanced_Blur_unlock3_Description"                   "Can completely block damage" 
"DOTA_Tooltip_modifier_Advanced_Warpath_unlock1"                   "Rage"
"DOTA_Tooltip_modifier_Advanced_Warpath_unlock1_Description"                   "Give the same effect as the Warpath"

"DOTA_Tooltip_modifier_Advanced_Warpath_unlock3"                   "Incompetent Rage"


"DOTA_Tooltip_modifier_Advanced_Epicenter_unlock3"                   "Soul of Sand"



"DOTA_Tooltip_modifier_Advanced_fortunes_end_unlock1_effect"                   "Fortunes Absorption"
"DOTA_Tooltip_modifier_Advanced_fortunes_end_unlock1_effect_Description"                   "STR:%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%<br>AGI:%dMODIFIER_PROPERTY_STATS_AGILITY_BONUS%<br>INT:%dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS%"



"DOTA_Tooltip_modifier_Advanced_Black_Hole_unlock1"                   "Wormhole"
"DOTA_Tooltip_modifier_Advanced_Black_Hole_unlock1_Description"                   "Ready……"



"DOTA_Tooltip_modifier_Advanced_Ice_Path_unlock2"                   "Permanent Ice"
"DOTA_Tooltip_modifier_Advanced_Ice_Path_unlock2_Description"                   "Energy storage point"






"DOTA_Tooltip_modifier_Advanced_counterspell_unlock2_debuff"                   "Collapse"
"DOTA_Tooltip_modifier_Advanced_counterspell_unlock2_debuff_Description"                   "Reduce armor"


"DOTA_Tooltip_modifier_Advanced_counterspell_unlock3"                   "Magic reverberation"
"DOTA_Tooltip_modifier_Advanced_counterspell_unlock3_Description"                   "Energy point"








"DOTA_Tooltip_modifier_Advanced_true_form_transform_unlock2_active"                   "People in the Forest"
"DOTA_Tooltip_modifier_Advanced_true_form_transform_unlock2_active_Description"                   "Give half the enhancement"



"DOTA_Tooltip_modifier_Advanced_true_form_unlock3_thinker_arua_effect"                   "field"
"DOTA_Tooltip_modifier_Advanced_true_form_unlock3_thinker_arua_effect_Description"                   "Increase damage"

"DOTA_Tooltip_modifier_Advanced_Poison_Nova_unlock2"                   "The Gift of Death"
"DOTA_Tooltip_modifier_Advanced_Poison_Nova_unlock2_Description"                   "Cause damage per second "

"DOTA_Tooltip_modifier_Advanced_Heart_Stopper_Aura_unlock2_debuff"                   "Chain of Life"
"DOTA_Tooltip_modifier_Advanced_Heart_Stopper_Aura_unlock2_debuff_Description"                   "Take additional damage"




"DOTA_Tooltip_modifier_Advanced_Ghost_Shroud_unlock1_debuff"                   "Negative Contact · Paralysis"
"DOTA_Tooltip_modifier_Advanced_Ghost_Shroud_unlock1_debuff_Description"                   "Unable to act"



"DOTA_Tooltip_modifier_Advanced_Haunt_unlock2"                   "Hunter"
"DOTA_Tooltip_modifier_Advanced_Haunt_unlock2_Description"                   "Attack has a chance to summon phantoms"



"DOTA_Tooltip_modifier_Advanced_Spectral_Dagger_unlock2_mark"                   "Shadow Hunting"
"DOTA_Tooltip_modifier_Advanced_Spectral_Dagger_unlock2_mark_Description"                   "Will take additional damage"







"DOTA_Tooltip_modifier_generic_water_zoom_buff"                   "Water Area"
"DOTA_Tooltip_modifier_generic_water_zoom_buff_Description"                   "You are in a Water Area"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_kunkka_2_buff"                   "Revenge"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_kunkka_2_buff_Description"                   "Kunka and Tidehunter have some stories need to tell"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_kunkka_2_debuff"                   "Revenge"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_kunkka_2_debuff_Description"                   "Kunka and Tidehunter have some stories need to tell"






"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_buff"                   "Static Link"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_buff_Description"                   "Increase attack damage"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_debuff"                   "Static Link"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_razor_debuff_Description"                   "Reduce attack damage"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_viper_2_debuff"                   "Highly Toxic"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_viper_2_debuff_Description"                   "Reduce movement speed and magic resistance, and take continuous damage"





"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_2_debuff"                   "Rip Tide"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_2_debuff_Description"                   "Reduce %dMODIFIER_PROPERTY_TOOLTIP% armor"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_2"                   "Rip Tide"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_naga_siren_2_Description"                   "Trigger Rip Tide every 6 attacks"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_life_stealer_2_buff"                   "Wild Feast"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_life_stealer_2_buff_Description"                   "Increase attack damage by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%"







"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet_2"                   "Lament of the Dead"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet_2_Description"                   "Energy points"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet_2_buff"                   "The power of the Dead"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_death_prophet_2_buff_Description"                   "Increase spell damage by %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%"


"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_drow_ranger_2_effect"                   "Silence Raven"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_drow_ranger_2_effect_Description"                   "Increase outgoing damage by %dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_bloodseeker_2_effect"                   "Thirsty"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_bloodseeker_2_effect_Description"                   "Increase attack speed by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% and move speed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lich_2_debuff"                   "Chain Frost"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lich_2_debuff_Description"                   "Greatly reduce the movement speed"

"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_gyrocopter_2"                   "Side Gunner · Improved Version"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_gyrocopter_2_Description"       "Grant additional attack effect" 




"DOTA_Tooltip_modifier_Advanced_lucent_beam_lv15"                   "Moonlight"
"DOTA_Tooltip_modifier_Advanced_lucent_beam_lv15_Description"       "Attack damage increase by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%" 



"DOTA_Tooltip_modifier_Advanced_lucent_beam_unlock1_trigger"                   "Eclipse"
"DOTA_Tooltip_modifier_Advanced_lucent_beam_unlock1_trigger_Description"       "Continuously call lucent beam" 

"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Slyrak_effect"                   "Primary Slyrak's Sould"
"DOTA_Tooltip_modifier_Primary_Eldwurm_soul_Slyrak_effect_Description"       "Attack damage increase by %fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%<br>Attack speed increase by %fMODIFIER_PROPERTY_TOOLTIP%%%<br><font color=\"#d9534f\">Armor reduce by %fMODIFIER_PROPERTY_TOOLTIP%</font>" 

"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Slyrak_effect"                   "Middle Slyrak's Sould"
"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Slyrak_effect_Description"       "Attack damage increase by %fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%<br>Attack speed increase by %fMODIFIER_PROPERTY_TOOLTIP%%%<br><font color=\"#d9534f\">Armor reduce by %fMODIFIER_PROPERTY_TOOLTIP%</font>" 
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_effect"                   "Advanced Slyrak's Sould"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_effect_Description"       "Attack damage increase by %fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%<br>Attack speed increase by %fMODIFIER_PROPERTY_TOOLTIP%%%<br><font color=\"#d9534f\">Armor reduce by %fMODIFIER_PROPERTY_TOOLTIP%</font>" 
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_effect_over_lv15"                   "Advanced Slyrak's Sould"
"DOTA_Tooltip_modifier_Advanced_Eldwurm_soul_Slyrak_effect_over_lv15_Description"       "Attack damage increase by %fMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%<br>Attack speed increase by %fMODIFIER_PROPERTY_TOOLTIP%%%<br><font color=\"#d9534f\">Armor reduce by %fMODIFIER_PROPERTY_TOOLTIP%</font>" 


"DOTA_Tooltip_modifier_Middle_Eldwurm_soul_Slyrak_debuff"                   "Fire of Rage"
