

"DOTA_Tooltip_ability_chaotic_fire_storm"	"Fire Storm"  
"DOTA_Tooltip_ability_chaotic_queenbee_attack_Description"	"<h1>Active: Bee-style Consecutive Slashes</h1>The next several <font color='#ffa075'>melee</font> attacks gain maximum attack speed and double the critical strike effect of Piercing Sting.<br><h1>Passive: Piercing Sting</h1>When attacking, there is a chance to cause a critical strike."
"DOTA_Tooltip_ability_chaotic_queenbee_attack_Lore"	"Inherited from the lost art of Kiaran, it is said that there are other undiscovered knightly skills."
"DOTA_Tooltip_ability_chaotic_queenbee_attack_count"	"Number of Consecutive Slash Attacks:"
"DOTA_Tooltip_ability_chaotic_queenbee_attack_crit_index"	"% Critical Strike Multiplier:"
"DOTA_Tooltip_ability_chaotic_queenbee_attack_crit_chance"	"% Chance to Critical Strike:"

"DOTA_Tooltip_modifier_chaotic_queenbee_attack_buff"              "Bee-style Consecutive Slashes"
"DOTA_Tooltip_modifier_chaotic_queenbee_attack_buff_Description"  "Remaining Consecutive Slash Attacks"
"DOTA_Tooltip_modifier_chaotic_queenbee_attack_rune_1"              "Lloyd's Amulet"
"DOTA_Tooltip_modifier_chaotic_queenbee_attack_rune_1_Description"              "Prevents healing"

"DOTA_Tooltip_ability_chaotic_queenbee_attack_rune_1"              "Immortal I: Lloyd's Amulet Tactics"
"DOTA_Tooltip_ability_chaotic_queenbee_attack_rune_1_Description"  "The trigger chance of Wasp Killing Technique is reduced by %rune_1_chance%%%% [×], but when triggered, it will apply a heal prevention debuff for %rune_1_duration% seconds"
"DOTA_Tooltip_ability_chaotic_queenbee_attack_rune_2"              "Immortal II: Dark Silver Annihilation"
"DOTA_Tooltip_ability_chaotic_queenbee_attack_rune_2_Description"  "Increases the critical strike multiplier of Wasp Killing Technique by %rune_2_damage%%%% [×]"
"DOTA_Tooltip_ability_chaotic_queenbee_attack_rune_3"              "Immortal III: Swarm Offensive"
"DOTA_Tooltip_ability_chaotic_queenbee_attack_rune_3_Description"  "When Wasp Killing Technique triggers, the cooldown of consecutive slashes is reduced by %rune_3_cd% seconds"

// Ice Elemental Mastery
"DOTA_Tooltip_ability_chaotic_tri_icemountain"	"Trigger Skill: Ice Mountain Seal"
"DOTA_Tooltip_ability_chaotic_tri_icemountain_Description"	"<h1>Passive: Crystal Affinity</h1>Gain trigger points after dealing ice damage.\n<h1><font color='#F0FFFF'>Trigger: Ice Mountain Seal</font></h1>Active usage: Consume trigger points to freeze enemies within %radius% range around you and reduce their magic resistance."
"DOTA_Tooltip_ability_chaotic_tri_icemountain_Lore"	"The protection of the Ice Elemental has now turned into a fierce cold wind."
"DOTA_Tooltip_ability_chaotic_tri_icemountain_Note0"	"<font color='#606060'>Selling this trigger skill will clear all existing trigger points.</font>"
"DOTA_Tooltip_ability_chaotic_tri_icemountain_cost_get"	"Gain Trigger Points:"
"DOTA_Tooltip_ability_chaotic_tri_icemountain_cost"	"Consume Trigger Points:"
"DOTA_Tooltip_ability_chaotic_tri_icemountain_magic_res"	"% Magic Resistance Reduction:"
"DOTA_Tooltip_ability_chaotic_tri_icemountain_duration"	"Freeze Duration:"
"DOTA_Tooltip_modifier_chaotic_tri_icemountain_debuff"	"Ice Mountain Seal"
"DOTA_Tooltip_modifier_chaotic_tri_icemountain_debuff_Description"	"Freezing, Magic Resistance Reduced"

"DOTA_Tooltip_ability_chaotic_tri_icemountain_rune_1"              "Immortal I: Iceborn Bloodline"
"DOTA_Tooltip_ability_chaotic_tri_icemountain_rune_1_Description"  "No longer requires trigger points, but the skill cooldown time increases by %rune_1_cd_up%%%."
"DOTA_Tooltip_ability_chaotic_tri_icemountain_rune_2"              "Immortal II: Dual Burst"
"DOTA_Tooltip_ability_chaotic_tri_icemountain_rune_2_Description"  "'Ice Mountain Seal' triggers again after %rune_2_delay% seconds with a %rune_2_index%%% range, but the duration is only %rune_2_index_2%%%."
"DOTA_Tooltip_ability_chaotic_tri_icemountain_rune_3"              "Immortal III: Familiar Affinity - Ice Elemental"
"DOTA_Tooltip_ability_chaotic_tri_icemountain_rune_3_Description"  "Lose active trigger ability; passively increase your own ice damage equivalent to %rune_3_index%%% of this skill's magic resistance reduction value [×]."



"DOTA_Tooltip_ability_chaotic_blood_aura"	"Blood Sacrifice Curse"
"DOTA_Tooltip_ability_chaotic_blood_aura_Description"	"Sets up an array with blood, causing all allies within a %radius% radius of the target location to continuously lose health and gain increased all attributes and damage amplification [×].<br><br>The caster itself receives a higher attribute bonus but does not gain damage amplification."
"DOTA_Tooltip_ability_chaotic_blood_aura_Lore"	"Few know the other side of blood sacrifice."
"DOTA_Tooltip_ability_chaotic_blood_aura_hp_cost"	"% Health loss per second:"
"DOTA_Tooltip_ability_chaotic_blood_aura_atb"	"All attribute bonus:"
"DOTA_Tooltip_ability_chaotic_blood_aura_atb_caster"	"Caster's all attribute bonus:"
"DOTA_Tooltip_ability_chaotic_blood_aura_outgoing"	"% Damage amplification:"
"DOTA_Tooltip_ability_chaotic_blood_aura_duration"	"Blood Array duration:"
"DOTA_Tooltip_modifier_chaotic_blood_aura_buff"	"Forbidden Burning Blood"
"DOTA_Tooltip_modifier_chaotic_blood_aura_buff_Description"	"Increased all attributes and increased damage dealt"

"DOTA_Tooltip_ability_chaotic_blood_aura_rune_1"              "Immortal I: Indiscriminate Curse"
"DOTA_Tooltip_ability_chaotic_blood_aura_rune_1_Description"  "The curse also affects enemies, who will only lose %rune_1_hp_cost%%% of their current health per second, and the array's range is reduced by %rune_1_radius%%% [×]"
"DOTA_Tooltip_ability_chaotic_blood_aura_rune_2"              "Immortal II: Deepened Sacrifice"
"DOTA_Tooltip_ability_chaotic_blood_aura_rune_2_Description"  "The duration of the array is affected by the caster's positive duration enhancements, and the range increases by %rune_2_radius%%% [×]"
"DOTA_Tooltip_ability_chaotic_blood_aura_rune_3"              "Immortal III: Blood Deity Edict"
"DOTA_Tooltip_ability_chaotic_blood_aura_rune_3_Description"  "Instead of setting up an array, directly applies the curse to all allied heroes, with the duration of this method equal to %rune_3_duration%%% of the array's duration"

"DOTA_Tooltip_ability_chaotic_vaccum"	" Vacuum"
"DOTA_Tooltip_ability_chaotic_vaccum_Description"	"Use magic to gather enemies into a single point and deal damage. Damage is increased against enemies with movement speed below %move_line%."
"DOTA_Tooltip_ability_chaotic_vaccum_Lore"	"The chaotic flow of time and space has led to the mutation of skills."
"DOTA_Tooltip_ability_chaotic_vaccum_radius"	"Area of Effect:"
"DOTA_Tooltip_ability_chaotic_vaccum_damage"	"Base Damage:"
"DOTA_Tooltip_ability_chaotic_vaccum_bonus_damage"	"Bonus Damage: Primary Attribute x"
"DOTA_Tooltip_ability_chaotic_vaccum_slow_outgoing"	"% Increased Damage for Movement Speed Below Threshold:"
"DOTA_Tooltip_ability_chaotic_vaccum_rune_1"              "Immortal I: Continuous Compression"
"DOTA_Tooltip_ability_chaotic_vaccum_rune_1_Description"  "'Vacuum' will trigger again after %rune_1_delay% seconds within a %rune_1_radius%%% radius, but only deal %rune_1_damage%%% of the damage."
"DOTA_Tooltip_ability_chaotic_vaccum_rune_2"              "Immortal II: NONE"
"DOTA_Tooltip_ability_chaotic_vaccum_rune_2_Description"  ""
"DOTA_Tooltip_ability_chaotic_vaccum_rune_3"              "Immortal III: NONE"
"DOTA_Tooltip_ability_chaotic_vaccum_rune_3_Description"  ""

//迅风射艺
"DOTA_Tooltip_ability_chaotic_more_arrow"	"Swift Wind Archery"
"DOTA_Tooltip_ability_chaotic_more_arrow_Description"	"Remote basic attacks have a chance to seek out an additional %arrow_count% enemies within the range of your attack +%split_shot_bonus_range%, striking them with arrows for bonus attack effects."
"DOTA_Tooltip_ability_chaotic_more_arrow_Lore"	"The most skilled rangers can hit two birds with one stone."
"DOTA_Tooltip_ability_chaotic_more_arrow_Note0"	"<font color='#606060'>Can trigger attack special effects;<br>After learning 'Split Shot', this skill loses all its effects.</font>"
"DOTA_Tooltip_ability_chaotic_more_arrow_bonus_damage"	"% Additional Basic Attack Damage:"
"DOTA_Tooltip_ability_chaotic_more_arrow_chance"	"% Seek Chance:"
"HUD_Spell_Rune_chaotic_more_arrow_split_shot_bonus_range"  "% Search Range"

"DOTA_Tooltip_ability_chaotic_more_arrow_rune_1"              "Immortal I: Extraordinary Skill"
"DOTA_Tooltip_ability_chaotic_more_arrow_rune_1_Description"  "'Swift Wind Archery' now always triggers"
"DOTA_Tooltip_ability_chaotic_more_arrow_rune_2"              "Immortal II: Nimble Step in Wind"
"DOTA_Tooltip_ability_chaotic_more_arrow_rune_2_Description"  "Gain %rune_2_evasion%%% evasion"
"DOTA_Tooltip_ability_chaotic_more_arrow_rune_3"              "Immortal III: Mastery of Shooting"
"DOTA_Tooltip_ability_chaotic_more_arrow_rune_3_Description"  "Increase additional basic attack damage by %rune_3_bonus_damage%%% [×]"

"DOTA_Tooltip_ability_chaotic_grow"	" Grow"
"DOTA_Tooltip_ability_chaotic_grow_Description"	"<h1>Passive: Grow</h1>While retaining this skill, you will grow at regular intervals, reducing your attack speed but increasing your full attack damage, armor, and melee attack range.\n<h1><font color='#f0ffff'>Awakening: Stone Upon Stone</font></h1>After growing %max% times, retain all growth and gain %max_incoming%%% damage reduction and %max_attack_outgoing%%% attack damage increase [×], then lose this skill."
"DOTA_Tooltip_ability_chaotic_grow_Lore"	"Accumulating sand to form a tower."
"DOTA_Tooltip_ability_chaotic_grow_time_require"	"Grow Interval:"
"DOTA_Tooltip_ability_chaotic_grow_attack_speed_down"	"%Attack Speed Reduction Per Stack:"
"DOTA_Tooltip_ability_chaotic_grow_bonus_attack"	"%Full Attack Damage Increase Per Stack:"
"DOTA_Tooltip_ability_chaotic_grow_bonus_armor"	"Armor Per Stack:"
"DOTA_Tooltip_ability_chaotic_grow_bonus_attack_range_melee"	"Melee Attack Range Increase Per Stack:"
"DOTA_Tooltip_modifier_chaotic_grow_bonus_buff"              "Grow"
"DOTA_Tooltip_modifier_chaotic_grow_bonus_buff_Description"  "Attack speed reduced by %fMODIFIER_PROPERTY_TOOLTIP%%<br>Increased %fMODIFIER_PROPERTY_TOOLTIP%%% full attack damage<br>Increased %fMODIFIER_PROPERTY_TOOLTIP% armor<br>Increased %fMODIFIER_PROPERTY_TOOLTIP% melee attack range<br>Increased %dMODIFIER_PROPERTY_TOOLTIP%%% damage reduction<br>Increased %dMODIFIER_PROPERTY_TOOLTIP%%% total attack damage"

"DOTA_Tooltip_ability_chaotic_grow_rune_1"              "Immortal I: None"
"DOTA_Tooltip_ability_chaotic_grow_rune_1_Description"  ""
"DOTA_Tooltip_ability_chaotic_grow_rune_2"              "Immortal II: None"
"DOTA_Tooltip_ability_chaotic_grow_rune_2_Description"  ""
"DOTA_Tooltip_ability_chaotic_grow_rune_3"              "Immortal III: None"
"DOTA_Tooltip_ability_chaotic_grow_rune_3_Description"  ""

"DOTA_Tooltip_ability_chaotic_frost_blast"	"Frost Blast"  
"DOTA_Tooltip_ability_chaotic_frost_blast_Description"	"Detonates frost on an enemy, dealing massive ice damage and <font color='#87ceeb'>Freezing</font> nearby enemies, while also reducing their attack speed and movement speed.<br><br>If the primary target is already <font color='#87ceeb'>Freezing</font>, Frost Blast immediately consumes part of the Freezing stacks before dealing damage."  
"DOTA_Tooltip_ability_chaotic_frost_blast_Lore"	"The chaotic flow of space-time leads to the mutation of abilities."  
"DOTA_Tooltip_ability_chaotic_frost_blast_damage"	"Base Damage:"  
"DOTA_Tooltip_ability_chaotic_frost_blast_bonus_damage"	"Bonus Damage: Primary Attribute ×"  
"DOTA_Tooltip_ability_chaotic_frost_blast_freezing_apply"	"%Freezing Stack Consumption:"  
"DOTA_Tooltip_ability_chaotic_frost_blast_radius"	"Area of Effect:"  
"DOTA_Tooltip_ability_chaotic_frost_blast_freezing"	"Base Freezing Application:"  
"DOTA_Tooltip_ability_chaotic_frost_blast_bonus_freezing"	"Bonus Freezing Application: Primary Attribute ×"  
"DOTA_Tooltip_ability_chaotic_frost_blast_move"	"Movement Speed Reduction:"  
"DOTA_Tooltip_ability_chaotic_frost_blast_attack_slow"	"Attack Speed Reduction:"  
"DOTA_Tooltip_ability_chaotic_frost_blast_duration"	"Slow Duration:"  
"DOTA_Tooltip_ability_chaotic_frost_blast_rune_1"              "Immortal I: Frost Field"  
"DOTA_Tooltip_ability_chaotic_frost_blast_rune_1_Description"  "Passive effect: Automatically releases a free Frost Blast every %rune_1_interval% seconds on the nearest enemy within casting range, dealing only %rune_1_index%%% damage and <font color='#87ceeb'>Freezing</font>. While channeling, the trigger interval is reduced to %rune_1_interval_2% seconds."  
"DOTA_Tooltip_ability_chaotic_frost_blast_rune_2"              "Immortal II: [TBA]"  
"DOTA_Tooltip_ability_chaotic_frost_blast_rune_2_Description"  ""  
"DOTA_Tooltip_ability_chaotic_frost_blast_rune_3"              "Immortal III: [TBA]"  
"DOTA_Tooltip_ability_chaotic_frost_blast_rune_3_Description"  ""


"DOTA_Tooltip_ability_chaotic_plasma_field_strong"	"Unstable Plasma Field"
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_Description"	"Releases a plasma ring that slowly expands and returns, dealing lightning damage to nearby enemies. During this time, the caster's movement speed is increased.<br><br>The plasma ring's damage applies an additional instance of <font color='#6481d9'>Elecshocking</font> at %index%%% efficiency."
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_Lore"	"The turbulence of spacetime causes the ability to mutate."
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_radius"      "Range:"  
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_damage"      "Base Damage:"  
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_bonus_damage"	"Bonus Damage: Primary Attribute ×"
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_move"	"% Movement speed increase:"
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_rune_1"              "Immortal I: Charge Collision"
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_rune_1_Description"  "When the plasma field directly kills an <font color='#6481d9'>Elecshocked</font> enemy, refunds %rune_1_cd% seconds of the caster's cooldown"
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_rune_2"              "Immortal II: Composite Energy Ring"
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_rune_2_Description"  "The ability becomes instant-cast and can be used during channeling. Additionally, it has a %rune_2_chance%%% chance to repeat once after a brief delay upon release"
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_rune_3"              "Immortal III: Unavailable"
"DOTA_Tooltip_ability_chaotic_plasma_field_strong_rune_3_Description"  ""
