"DOTA_Tooltip_ability_Primary_fire_blast"	"Primary Fire Blast"
"DOTA_Tooltip_ability_Middle_Omni_Slash_Description"	"Leaping towards the target enemy units, and then slashes the target and other nearby enemy units at an increased attack rate. invulnerable for the duration. <br><br>[Origins]Accumulate power, gain 200%% bonus attack damage during Omnislash, but lose 10%% bonus for each strike."
"DOTA_Tooltip_ability_Middle_Omni_Slash_Lore"	"When the afterimage appears next to the target, he is already dead."
"DOTA_Tooltip_ability_Middle_Omni_Slash_attack_rate_multiplier"	"Attack Interval Multiplier:"
"DOTA_Tooltip_ability_Middle_Omni_Slash_bonus_damage"	"Bonus Damage:"
"DOTA_Tooltip_ability_Middle_Omni_Slash_duration"	"Длительность:"
"DOTA_Tooltip_ability_Middle_Omni_Slash_omni_slash_radius"	"Сплеш Радиус:"
"DOTA_Tooltip_ability_Advanced_Omni_Slash"	"Advanced Omnislash"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_Description"	"Leaping towards the target enemy units, and then slashes the target and other nearby enemy units at an increased attack rate. invulnerable for the duration. <br><br>[Origins]Accumulate power, gain 200%% bonus attack damage during Omnislash, but lose 10%% bonus for each strike.<br><br>[Legacy]The current number of attacks of Omnislash will be converted into bonus attack speed which will be inherited to the next release. Each layer provides an additional 5 attack speed, with one additional layer guaranteed but up to 200 stacks"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_Lore"	" In front of Yunero there are tens of thousands of enemies. However, when he performed Omnislash, countless afterimages appeared on the battlefield, and few seconds later, the only living creature standing was himself. "
"DOTA_Tooltip_ability_Advanced_Omni_Slash_attack_rate_multiplier"	"Attack Interval Multiplier:"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_bonus_damage"	"Bonus Damage:"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_duration"	"Длительность:"
"DOTA_Tooltip_ability_Advanced_Omni_Slash_omni_slash_radius"	"Сплеш Радиус:"

"DOTA_Tooltip_ability_Advanced_Nether_Ward_Note0"	"Доп. инфа:<br>Wards lose 1 point health each time taked damage"

"DOTA_Tooltip_ability_Primary_Void_time_walk_Note0"	"Note：<br>Not affected by cooldown reduction"
"DOTA_Tooltip_ability_Advanced_Void_time_walk_Note0"	"Доп. инфа:<br>Not affected by cooldown reduction"
"DOTA_Tooltip_ability_Middle_Void_time_walk_Note0"	"Доп. инфа:<br>Not affected by cooldown reduction"


"DOTA_Tooltip_ability_Advanced_Celestial_Hammer_move_slow"	"Замедление скорости передвижения:"
"DOTA_Tooltip_ability_Middle_Celestial_Hammer_move_slow"	"Замедление скорости передвижения:"
"DOTA_Tooltip_ability_Primary_Celestial_Hammer_move_slow"	"Замедление скорости передвижения:"
"DOTA_Tooltip_ability_Primary_mist_coil"	"Primary Mist Coil"
"DOTA_Tooltip_ability_Primary_mist_coil_Description"	"Releasing a coil of deathly mist that can damage an enemy unit or heal a friendly unit at the cost of some of your health."
"DOTA_Tooltip_ability_Primary_mist_coil_Lore"	"A mysterious vapor from the Font of Avernus can be channelled by the necromancy."
"DOTA_Tooltip_ability_Primary_mist_coil_Note0"	"Доп. инфа: None"
"DOTA_Tooltip_ability_Primary_mist_coil_spell_damage"	"основной урон:/Heal:"
"DOTA_Tooltip_ability_Primary_mist_coil_intelligence_index"	"Intelligence Multiplier"
"DOTA_Tooltip_ability_Primary_mist_coil_stun_time"	"stun duration"
"DOTA_Tooltip_ability_Primary_mist_coil_str_index"	"Strength Index:"
"DOTA_Tooltip_ability_Primary_mist_coil_self_damage"	"%Self Damage:"
"DOTA_Tooltip_ability_Middle_mist_coil"	"Middle Mist Coil"
"DOTA_Tooltip_ability_Middle_mist_coil_Description"	"Releasing a coil of deathly mist that can damage an enemy unit or heal a friendly unit at the cost of some of your health.<br><br> [Mist haunt] After hitting the target, mist will cover the target, reducing the healing effect by 25%% when used on enemies, and increasing the healing effect by 30%% when used on allies, lasting for 5 seconds. "
"DOTA_Tooltip_ability_Middle_mist_coil_Lore"	" A mysterious vapor from the Font of Avernus, though far less effective than performed by Abaddon, pays off the research by small necromancers. "
"DOTA_Tooltip_ability_Middle_mist_coil_Note0"	"Доп. инфа: None"
"DOTA_Tooltip_ability_Middle_mist_coil_spell_damage"	"основной урон:/Heal:"
"DOTA_Tooltip_ability_Middle_mist_coil_str_index"	"Strength Index:"
"DOTA_Tooltip_ability_Middle_mist_coil_self_damage"	"%Self Damage:"
"DOTA_Tooltip_ability_Advanced_mist_coil"	"Advanced Mist Coil"
"DOTA_Tooltip_ability_Advanced_mist_coil_Description"	"Releasing a coil of deathly mist that can damage an enemy unit or heal a friendly unit at the cost of some of your health.<br><br> [Mist haunt] After hitting the target, mist will cover the target, reducing the healing effect by 25%% when used on enemies, and increasing the healing effect by 30%% when used on allies, lasting for 5 seconds. <br><br>[Soul Tracking] spell cast range increased to 2500."
"DOTA_Tooltip_ability_Advanced_mist_coil_Lore"	" According to the prophecy of the Necronomicon, dark mist will eventually cover the earth, and before that, how to use the power of the mist has become a compulsory course for every Advanced Necromancer. "
"DOTA_Tooltip_ability_Advanced_mist_coil_Note0"	"Доп. инфа: None"
"DOTA_Tooltip_ability_Advanced_mist_coil_spell_damage"	"основной урон:/Heal:"
"DOTA_Tooltip_ability_Advanced_mist_coil_str_index"	"Strength Index:"
"DOTA_Tooltip_ability_Advanced_mist_coil_self_damage"	"%Self Damage:"
"DOTA_Tooltip_ability_Primary_aphotic_shield"	"Primary Aphotic Shield"
"DOTA_Tooltip_ability_Primary_aphotic_shield_Description"	"Summons dark energies around an ally unit, creating a shield that absorbs a set amount of damage before expiring. When the shield is destroyed, it deals damage to up to 5 nearby enemies. Applies a weak dispel upon cast."
"DOTA_Tooltip_ability_Primary_aphotic_shield_Lore"	"A low-level necromantic spell can channel the mysterious vapor from the Font of Avernus and wraps around the target to form a shield."
"DOTA_Tooltip_ability_Primary_aphotic_shield_Note0"	"Доп. инфа:<br>Shields can be removed by weak dispels and disabled by Shield Neutralization."
"DOTA_Tooltip_ability_Primary_aphotic_shield_spell_damage"	"Explosion damage:"
"DOTA_Tooltip_ability_Primary_aphotic_shield_str_index"	"Extra shield: STR * "
"DOTA_Tooltip_ability_Primary_aphotic_shield_self_damage"	"%Self Damage:"
"DOTA_Tooltip_ability_Primary_aphotic_shield_spell_sheild"	"Base Shield: "
"DOTA_Tooltip_ability_Primary_aphotic_shield_str_damage"	"Explosion damage: STR * "
"DOTA_Tooltip_ability_Primary_aphotic_shield_radius"	"Радиус:"
"DOTA_Tooltip_ability_Primary_aphotic_shield_duration"	"Длительность:"
"DOTA_Tooltip_ability_Middle_aphotic_shield"	"Middle Aphotic Shield"
"DOTA_Tooltip_ability_Middle_aphotic_shield_Description"	"Summons dark energies around an ally unit, creating a shield that absorbs a set amount of damage before expiring. When the shield is destroyed, it deals damage to up to 5 nearby enemies. Applies a weak dispel upon cast.<br><br> [Energy Absorption] Filters out damage below 30 (offsetting does not cost shields), and has a 15%% chance to offset all damage without costing shields, but the damage cannot exceed 50%% maximum health."
"DOTA_Tooltip_ability_Middle_aphotic_shield_Lore"	"Although a shield cannot have an impact in a overwhelming battle, it can definitely influence an even battle."
"DOTA_Tooltip_ability_Middle_aphotic_shield_Note0"	"Доп. инфа:<br>Shields can be removed by weak dispels and disabled by Shield Neutralization."
"DOTA_Tooltip_ability_Middle_aphotic_shield_spell_sheild"	"Base Shield: "
"DOTA_Tooltip_ability_Middle_aphotic_shield_str_index"	"Extra shield: STR * "
"DOTA_Tooltip_ability_Middle_aphotic_shield_spell_damage"	"Explosion damage:"
"DOTA_Tooltip_ability_Middle_aphotic_shield_str_damage"	"Explosion damage: STR * "
"DOTA_Tooltip_ability_Middle_aphotic_shield_radius"	"Радиус:"
"DOTA_Tooltip_ability_Middle_aphotic_shield_duration"	"Длительность:"
"DOTA_Tooltip_ability_Advanced_aphotic_shield"	"Advanced Aphotic Shield"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_Description"	"Summons dark energies around an ally unit, creating a shield that absorbs a set amount of damage before expiring. When the shield is destroyed, it deals damage to up to 5 nearby enemies. Applies a weak dispel upon cast.<br><br> [Energy Absorption] Filters out damage below 30 (offsetting does not cost shields), and has a 15%% chance to offset all damage without costing shields, but the damage cannot exceed 50%% maximum health.<br><br>[Life Transformation] Causes pure damage of 10%% of the target's maximum health (not lethal and can be reduced by certain skills), and increase shield by 20%% of the target's maximum health. "
"DOTA_Tooltip_ability_Advanced_aphotic_shield_Lore"	"In front of the Mist Shield, any attack will be all in vain."
"DOTA_Tooltip_ability_Advanced_aphotic_shield_Note0"	"Доп. инфа:<br>Shields can be removed by weak dispels and disabled by Shield Neutralization."
"DOTA_Tooltip_ability_Advanced_aphotic_shield_spell_sheild"	"Base Shield: "
"DOTA_Tooltip_ability_Advanced_aphotic_shield_str_index"	"Extra shield: STR * "
"DOTA_Tooltip_ability_Advanced_aphotic_shield_spell_damage"	"Explosion damage:"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_str_damage"	"Explosion damage: STR * "
"DOTA_Tooltip_ability_Advanced_aphotic_shield_radius"	"Радиус:"
"DOTA_Tooltip_ability_Advanced_aphotic_shield_duration"	"Длительность:"

"DOTA_Tooltip_ability_Primary_borrowed_time"	"Primary Borrowed Time"
"DOTA_Tooltip_ability_Primary_borrowed_time_Description"	"When activated, a strong dispel will be applied and all damage dealt to you will heal instead of harm. If the ability is not on cooldown, it will automatically activate if your health falls below 15%%."
"DOTA_Tooltip_ability_Primary_borrowed_time_Lore"	"In front of this spell, all enemy attacks will be converted into healing medicine and restoring your health."
"DOTA_Tooltip_ability_Primary_borrowed_time_Note0"	"Доп. инфа:Restoration effects are not considered healing and unaffected by gain, and can be neutralized"
"DOTA_Tooltip_ability_Primary_borrowed_time_basic_slow"	"%Initial movement speed slow: "
"DOTA_Tooltip_ability_Primary_borrowed_time_bonus_slow"	"%Curse Movement Speed Slow:"
"DOTA_Tooltip_ability_Primary_borrowed_time_bonus_attack_speed"	"Curse Увеличение скорости атаки: "
"DOTA_Tooltip_ability_Primary_borrowed_time_duration"	"Длительность:"
"DOTA_Tooltip_ability_Middle_Shallow_Grave_Note0"	"Доп. инфа:<br>"
"DOTA_Tooltip_ability_Primary_Shallow_Grave_Note0"	"Доп. инфа:<br>"
"DOTA_Tooltip_ability_Middle_borrowed_time"	"Middle Borrowed Time"
"DOTA_Tooltip_ability_Middle_borrowed_time_Description"	"When activated, a strong dispel will be applied and all damage dealt to you will heal instead of harm. If the ability is not on cooldown, it will automatically activate if your health falls below 15%%.<br><br> [The realm of mockery] For the duration of the spell, enemies within 700 radius will tend to attack themselves. "
"DOTA_Tooltip_ability_Middle_borrowed_time_Lore"	"The most unnatural of all the gifts of the Font of Avernus, this power defies mortal understanding. What should hurt, instead heals; and what should kill gives strength anew. "
"DOTA_Tooltip_ability_Middle_borrowed_time_Note0"	"Доп. инфа:Restoration effects are not considered healing and unaffected by gain, and can be neutralized"
"DOTA_Tooltip_ability_Middle_borrowed_time_duration"	"Длительность:"
"DOTA_Tooltip_ability_Advanced_borrowed_time"	"Advanced Borrowed Time"
"DOTA_Tooltip_ability_Advanced_borrowed_time_Description"	"When activated, a strong dispel will be applied and all damage dealt to you will heal instead of harm. If the ability is not on cooldown, it will automatically activate if your health falls below 15%%.<br><br> [The realm of mockery] For the duration of the spell, enemies within 700 radius will tend to attack themselves. <br><br>[Baptism] Gives 30%% of the HP recovery provided by this status to a random ally hero without full health within 1000 radius. "
"DOTA_Tooltip_ability_Advanced_borrowed_time_Lore"	"The most unnatural of all the gifts of the Font of Avernus, this power defies mortal understanding. What should hurt, instead heals; and what should kill gives strength anew. "
"DOTA_Tooltip_ability_Advanced_borrowed_time_Note0"	"Доп. инфа:Restoration effects are not considered healing and unaffected by gain, and can be neutralized"
"DOTA_Tooltip_ability_Advanced_borrowed_time_duration"	"Длительность:"
"DOTA_Tooltip_ability_Primary_tether"	"Primary Tether"
"DOTA_Tooltip_ability_Primary_tether_Description"	"Tethers Io to an allied unit, granting bonus movement speed and breaking movement speed limit to the caster. Tethered ally units gain recovery effect of multiple times their own life and mana recovery. The tether breaks when the allied unit moves too far away, or hero cancels the tether. "
"DOTA_Tooltip_ability_Primary_tether_Lore"	"Link the energy channels between two living creatures to transmit life energy."
"DOTA_Tooltip_ability_Primary_tether_Note0"	"Доп. инфа:<br>Disconnect distance is the casting range, not dynamically calculated, only taking the casting range when the spell is cast as benchmark. <br>Settled every 1 second. <br>Regeneration counts as healing and affected by gain.<br>"
"DOTA_Tooltip_ability_Primary_tether_duration"	"Длительность:"
"DOTA_Tooltip_ability_Primary_tether_break"	"Cancel Primary Tether"
"DOTA_Tooltip_ability_Primary_tether_break_Description"	"Break the tether."
"DOTA_Tooltip_ability_Primary_tether_break_Note0"	"Доп. инфа:The range displayed by hovering the mouse over the skill icon is the range obtained when the spell is cast. (will not change dynamically) "
"DOTA_Tooltip_ability_Primary_tether_break_duration"	"Длительность:"
"DOTA_Tooltip_ability_Primary_tether_radius"	"Дальность применения: "
"DOTA_Tooltip_ability_Primary_tether_tether_heal_amp"	"Recovery transfer rate:"
"DOTA_Tooltip_ability_Middle_tether"	"Middle Tether"
"DOTA_Tooltip_ability_Middle_tether_Description"	"Tethers Io to an allied unit, granting bonus movement speed and breaking movement speed limit to the caster. Tethered ally units gain recovery effect of multiple times their own life and mana recovery. The tether breaks when the allied unit moves too far away, or hero cancels the tether. <br><br>[Overload] When the HP of the tethered allied units is lower than 30%%, gain STR*1 health recovery lasting for 7 seconds.  Fixed Cooldown: 25 seconds. "
"DOTA_Tooltip_ability_Middle_tether_Lore"	"Brings strength from between the planes "
"DOTA_Tooltip_ability_Middle_tether_Note0"	"Доп. инфа:<br>Disconnect distance is the casting range, not dynamically calculated, only taking the casting range when the spell is cast as benchmark. <br>Settled every 1 second. <br>Regeneration counts as healing and affected by gain.<br>"
"DOTA_Tooltip_ability_Middle_tether_radius"	"Дальность применения: "
"DOTA_Tooltip_ability_Middle_tether_tether_heal_amp"	"Recovery transfer rate:"
"DOTA_Tooltip_ability_Middle_tether_break"	"Cancel Middle Tether"
"DOTA_Tooltip_ability_Middle_tether_break_Description"	"Break the tether."
"DOTA_Tooltip_ability_Middle_tether_break_Note0"	"Доп. инфа:The range displayed by hovering the mouse over the skill icon is the range obtained when the spell is cast. (will not change dynamically) "
"DOTA_Tooltip_ability_Advanced_tether"	"Advanced Tether"
"DOTA_Tooltip_ability_Advanced_tether_Description"	"Tethers Io to an allied unit, granting bonus movement speed and breaking movement speed limit to the caster. Tethered ally units gain recovery effect of multiple times their own life and mana recovery. The tether breaks when the allied unit moves too far away, or hero cancels the tether. <br><br>[Overload] When the HP of the tethered allied units is lower than 30%%, gain STR*1 health recovery lasting for 7 seconds. ) Fixed Cooldown: 25 seconds. <br><br>[Benevolence] healing receive effect of Linked units increased by 30%%, Positive state duration gain increased by 20%%。"
"DOTA_Tooltip_ability_Advanced_tether_Lore"	"The energy of one person may not be able to resist an external attack, but the energy of two people may. "
"DOTA_Tooltip_ability_Advanced_tether_Note0"	"Доп. инфа:<br>Disconnect distance is the casting range, not dynamically calculated, only taking the casting range when the spell is cast as benchmark. <br>Settled every 1 second. <br>Regeneration counts as healing and affected by gain.<br>"
"DOTA_Tooltip_ability_Advanced_tether_radius"	"Дальность применения: "
"DOTA_Tooltip_ability_Advanced_tether_tether_heal_amp"	"Recovery transfer rate:"
"DOTA_Tooltip_ability_Advanced_tether_break"	"Cancel Advanced tether"
"DOTA_Tooltip_ability_Advanced_tether_break_Description"	"Break the tether."
"DOTA_Tooltip_ability_Advanced_tether_break_Note0"	"Доп. инфа:The range displayed by hovering the mouse over the skill icon is the range obtained when the spell is cast. (will not change dynamically) "
"DOTA_Tooltip_ability_item_hd_BountyHunters_gold_bag_Note0"	"Доп. инфа:<br>The bonus of this item does not stack with the same item."
"DOTA_Tooltip_ability_Primary_overcharge"	"Primary Overcharge"
"DOTA_Tooltip_ability_Primary_overcharge_Description"	"aing bonus attack speed and HP Regen based on max health. The closest unit (hero first) also gains the bonuses."
"DOTA_Tooltip_ability_Primary_overcharge_Lore"	"A less efficient holy spell that directs the flow of energy within the body, thereby increasing vitality."
"DOTA_Tooltip_ability_Primary_overcharge_Note0"	"Доп. инфа:<br>Regeneration does not count as healing."
"DOTA_Tooltip_ability_Primary_overcharge_radius"	"Дальность применения: "
"DOTA_Tooltip_ability_Primary_overcharge_tether_heal_amp"	"Recovery transfer rate:"
"DOTA_Tooltip_ability_Primary_overcharge_bonus_attack_speed"	"Увеличение скорости атаки: "
"DOTA_Tooltip_ability_Primary_overcharge_bonus_HPRegenAmplify_Percentage"	"%Max HP Health Regen："
"DOTA_Tooltip_ability_Primary_overcharge_duration"	"Длительность:"
"DOTA_Tooltip_ability_Middle_overcharge"	"Middle Overcharge"
"DOTA_Tooltip_ability_Middle_overcharge_Description"	"aing bonus attack speed and HP Regen based on max health. The closest unit (hero first) also gains the bonuses.<br><br>[Power Up] increase all attributes of affected units by 20%%. "
"DOTA_Tooltip_ability_Middle_overcharge_Lore"	"After a long time of research, mages discovered that they could channel energy from the light plane by using holy spells, and then this spell makes great progress. "
"DOTA_Tooltip_ability_Middle_overcharge_Note0"	"Доп. инфа:<br>Regeneration does not count as healing."
"DOTA_Tooltip_ability_Middle_overcharge_bonus_attack_speed"	"Увеличение скорости атаки: "
"DOTA_Tooltip_ability_Middle_overcharge_bonus_HPRegenAmplify_Percentage"	"%Max HP Health Regen："
"DOTA_Tooltip_ability_Middle_overcharge_duration"	"Длительность:"
"DOTA_Tooltip_ability_Advanced_overcharge"	"Advanced Overcharge"
"DOTA_Tooltip_ability_Advanced_overcharge_Description"	"aing bonus attack speed and HP Regen based on max health. The closest unit (hero first) also gains the bonuses.<br><br>[Power Up] increase all attributes of affected units by 20%%. <br><br>[Energy Guidance]also Increase spell damage by 20%% and reduce mana cost by 25%%."
"DOTA_Tooltip_ability_Advanced_overcharge_Lore"	"Draw the energy of all matter of all planes in the world and begin to reveal the truth of time. "
"DOTA_Tooltip_ability_Advanced_overcharge_Note0"	"Доп. инфа:<br>Regeneration does not count as healing."
"DOTA_Tooltip_ability_Advanced_overcharge_bonus_attack_speed"	"Увеличение скорости атаки: "
"DOTA_Tooltip_ability_Advanced_overcharge_bonus_HPRegenAmplify_Percentage"	"%Max HP Health Regen："
"DOTA_Tooltip_ability_Advanced_overcharge_duration"	"Длительность:"
"DOTA_Tooltip_ability_Primary_spirits"	"Primary Spirits"
"DOTA_Tooltip_ability_Primary_spirits_Description"	"Summon five particle spirits that dance in a circle around you, dealing damage to units that touch them. Spirits move in 100-1200 radius from you, you can stop this behavior by turn on the autocast state.  "
"DOTA_Tooltip_ability_Primary_spirits_Lore"	"The light particles generated by holy spells fly around the caster and attack the enemy."
"DOTA_Tooltip_ability_Primary_spirits_Note0"	"Доп. инфа:<br>Spirits deal damage to surrounding units every 0.8 seconds. "
"DOTA_Tooltip_ability_Primary_spirits_bonus_attack_speed"	"Увеличение скорости атаки: "
"DOTA_Tooltip_ability_Primary_spirits_duration"	"Длительность:"

"DOTA_Tooltip_ability_Primary_spirits_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Primary_spirits_bonus_damage"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Middle_spirits"	"Middle Spirits"
"DOTA_Tooltip_ability_Middle_spirits_Description"	"Summon five particle spirits that dance in a circle around you, dealing damage to units that touch them. Spirits move in 100-1200 radius from you, you can stop this behavior by turn on the autocast state.  <br><br>[Explosion] Spirit explodes, dealing INT*2 damage to all enemy units within 300 radius."
"DOTA_Tooltip_ability_Middle_spirits_Lore"	"[Spirits] cast by the more skilled mages seem to attract some kind of life form at the same time, but no one knows where it came from."
"DOTA_Tooltip_ability_Middle_spirits_Note0"	"Доп. инфа:<br>Spirits deal damage to surrounding units every 0.8 seconds. "
"DOTA_Tooltip_ability_Middle_spirits_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Middle_spirits_bonus_damage"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Middle_spirits_duration"	"Длительность:"
"DOTA_Tooltip_ability_Advanced_spirits"	"Advanced Spirits"
"DOTA_Tooltip_ability_Advanced_spirits_Description"	"Summon five particle spirits that dance in a circle around you, dealing damage to units that touch them. Spirits move in 100-1200 radius from you, you can stop this behavior by turn on the autocast state.  <br><br>[Explosion] Spirit explodes, dealing INT*2 damage to all enemy units within 300 radius.<br><br>[Efficiency] Spirit’s rotation rate increased to 180 (from 100), damage interval reduced to 0.6 seconds."
"DOTA_Tooltip_ability_Advanced_spirits_Lore"	"After a long study, the Magus Academy discovered this advanced spell that distorts the particles in the universe, attracting the light wisps from light plane."
"DOTA_Tooltip_ability_Advanced_spirits_Note0"	"Доп. инфа:<br>Spirits deal damage to surrounding units every 0.8 seconds. "
"DOTA_Tooltip_ability_Advanced_spirits_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Advanced_spirits_bonus_damage"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Advanced_spirits_duration"	"Длительность:"
"DOTA_Tooltip_ability_Primary_fortunes_end"	"Primary Fortune's End"
"DOTA_Tooltip_ability_Primary_fortunes_end_Description"	"Gathers  power into a bolt of scouring energy that, when released, damages, roots, and purges enemies of buffs in an area around the target. If target is an ally, it will only purge debuffs. Can be channeled for up to 2.5 seconds. The root duration is equal to the time spent channeling, but min 0.5 second"
"DOTA_Tooltip_ability_Primary_fortunes_end_Lore"	"This spell can only be mastered by those who have been empowered to know destiny."
"DOTA_Tooltip_ability_Primary_fortunes_end_Note0"	"Доп. инфа: None"
"DOTA_Tooltip_ability_Primary_fortunes_end_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Primary_fortunes_end_bonus_damage"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Primary_fortunes_end_duration"	"Длительность:"
"DOTA_Tooltip_ability_Primary_fortunes_end_radius"	"Радиус:"
"DOTA_Tooltip_ability_Middle_fortunes_end"	"Middle Fortune's End"
"DOTA_Tooltip_ability_Middle_fortunes_end_Description"	"Gathers  power into a bolt of scouring energy that, when released, damages, roots, and purges enemies of buffs in an area around the target. If target is an ally, it will only purge debuffs. Can be channeled for up to 2.5 seconds. The root duration is equal to the time spent channeling, but min 0.5 second<br><br>[Coordination] After hitting the target, continues to purge debuffs for allies in the target area, lasting for twice the channeling time."
"DOTA_Tooltip_ability_Middle_fortunes_end_Lore"	"There are very few people who know their destinies, only very few among which use this spell well. Among them, the most gifted are usually called oracles."
"DOTA_Tooltip_ability_Middle_fortunes_end_Note0"	"Доп. инфа:ispel applies every 0.1 seconds. "
"DOTA_Tooltip_ability_Middle_fortunes_end_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Middle_fortunes_end_bonus_damage"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Middle_fortunes_end_radius"	"Радиус:"
"DOTA_Tooltip_ability_Advanced_fortunes_end"	"Advanced Fortune's End"
"DOTA_Tooltip_ability_Advanced_fortunes_end_Description"	"Gathers  power into a bolt of scouring energy that, when released, damages, roots, and purges enemies of buffs in an area around the target. If target is an ally, it will only purge debuffs. Can be channeled for up to 2.5 seconds. The root duration is equal to the time spent channeling, but min 0.5 second<br><br>[Coordination] After hitting the target, continues to purge debuffs for allies in the target area, lasting for twice the channeling time.<br><br>[fast cast] Cast forward swing becomes 0, Channeled time becomes 0, and the duration of the entanglement is fixed at 2.5 seconds."
"DOTA_Tooltip_ability_Advanced_fortunes_end_Lore"	"The abundant power of the celestial sphere fills the surroundings with static crackles, and the energy shoots in all directions, separating enemy’s spirits from their bodies temporarily."
"DOTA_Tooltip_ability_Advanced_fortunes_end_Note0"	"Доп. инфа:ispel applies every 0.1 seconds. "
"DOTA_Tooltip_ability_Advanced_fortunes_end_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Advanced_fortunes_end_bonus_damage"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Advanced_fortunes_end_radius"	"Радиус:"
"DOTA_Tooltip_ability_Primary_purifying_flames"	"Primary Purifying Flames"
"DOTA_Tooltip_ability_Primary_purifying_flames_Description"	"Burns away impurities, dealing heavy magic damage to the target before causing them to regenerate health over time. The amount of health regenerated over its duration exceeds the amount of initial damage. Can be cast on enemies and allies."
"DOTA_Tooltip_ability_Primary_purifying_flames_Lore"	"Wash away your sins with holy spells"
"DOTA_Tooltip_ability_Primary_purifying_flames_Note0"	"Доп. инфа: the healing effect is given in 10 seconds"
"DOTA_Tooltip_ability_Primary_purifying_flames_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Primary_purifying_flames_bonus_damage"	"Урон Множитель интеллекта:"
"DOTA_Tooltip_ability_Primary_purifying_flames_radius"	"Радиус:"
"DOTA_Tooltip_ability_Primary_purifying_flames_duration"	"Длительность:"
"DOTA_Tooltip_ability_Primary_purifying_flames_basic_heal"	"Base Heal:"
"DOTA_Tooltip_ability_Primary_purifying_flames_bonus_heal"	"Bonus Heal: Intelligence * "
"DOTA_Tooltip_ability_Middle_purifying_flame"	"Middle Purifying Flames"
"DOTA_Tooltip_ability_Middle_purifying_flame_Description"	"Burns away impurities, dealing heavy magic damage to the target before causing them to regenerate health over time. The amount of health regenerated over its duration exceeds the amount of initial damage. Can be cast on enemies and allies.<br><br>[Purify] Causes a weak dispel to the target before applying each status."
"DOTA_Tooltip_ability_Middle_purifying_flame_Lore"	"At the end of the journey, everyone will eventually reach their own destination."
"DOTA_Tooltip_ability_Middle_purifying_flame_Note0"	"Доп. инфа: the healing effect is given in 10 seconds"
"DOTA_Tooltip_ability_Middle_purifying_flame_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Middle_purifying_flame_bonus_damage"	"Урон Множитель интеллекта:"
"DOTA_Tooltip_ability_Middle_purifying_flame_basic_heal"	"Base Heal:"
"DOTA_Tooltip_ability_Middle_purifying_flame_bonus_heal"	"Bonus Heal: Intelligence * "
"DOTA_Tooltip_ability_Middle_purifying_flame_duration"	"Длительность:"
"DOTA_Tooltip_ability_Advanced_purifying_flame"	"Advanced Purifying Flames"
"DOTA_Tooltip_ability_Advanced_purifying_flame_Description"	"Burns away impurities, dealing heavy magic damage to the target before causing them to regenerate health over time. The amount of health regenerated over its duration exceeds the amount of initial damage. Can be cast on enemies and allies.<br><br>[Purify] Causes a weak dispel to the target before applying each status.<br><br>[Wash away Sins] 30%% chance to cause double damage when released to enemies, and 50%% chance to cause no damage when released to allies."
"DOTA_Tooltip_ability_Advanced_purifying_flame_Lore"	"Like a hall of mirrors might amplify the light of a single candle, the shattered walls of the universe can transform the light of prophecy into a burning torch."
"DOTA_Tooltip_ability_Advanced_purifying_flame_Note0"	"Доп. инфа: the healing effect is given in 10 seconds"
"DOTA_Tooltip_ability_Advanced_purifying_flame_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Advanced_purifying_flame_bonus_damage"	"Урон Множитель интеллекта:"
"DOTA_Tooltip_ability_Advanced_purifying_flame_basic_heal"	"Base Heal:"
"DOTA_Tooltip_ability_Advanced_purifying_flame_bonus_heal"	"Bonus Heal: Intelligence * "
"DOTA_Tooltip_ability_Advanced_purifying_flame_duration"	"Длительность:"

"DOTA_Tooltip_ability_Primary_false_promise"	"Primary False Promise"
"DOTA_Tooltip_ability_Primary_false_promise_Description"	"Temporarily alters an ally's destiny, delaying any healing or damage taken until False Promise ends. Any healing that is delayed by False Promise is increased to 1.5 times. Removes most negative status effects and disables on initial cast.<br>"
"DOTA_Tooltip_ability_Primary_false_promise_Lore"	"Temporarily alters destiny, but the altered past will still happen in the future……"
