


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_antimage"	"Momentary Blink"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_spirit_breaker"	"Spirit Rend"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_spirit_breaker_Description"	"Break through the limit of movement speed and get %bonus_move% movespeed, attaches additional physical damage amounted of %move_index%%* movement speed in each attack."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_spirit_breaker_Lore"	"Spirit Breaker exist both in and out of the material world."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dawnbreaker"	"Soul of Star"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dawnbreaker_Description"	"Veralora's attacks bring forth order, with every %attack_need%th attack granting a %atb% bonus to all attributes, stacking independently for %duration% seconds (up to %count_need% stacks). Upon reaching the stack limit, she enters a [War God] state, gaining %phy_resist%% physical damage resistance and %attack_speed%% attack speed."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dawnbreaker_Lore"	"The arrival of the Primordial Light wiped out the creatures of the Primordial Night."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_snapfire"	"Lil' Shredder"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_snapfire_Description"	"Activate the cannon on the lizard mount to quickly launch 9 armor-piercing attacks, each of whic will ignore the target's 40 armor."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_snapfire_Lore"	"Beadie constantly tinkers with a design she first dreamed up plotting an exodus from her old gang."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_marci"	"Sidekick"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_marci_Description"	"Marci infuses lifesteal to herself and the nearest hero within 1000 radius. After the attack deals damage, restore the enemy’s health by 15%% of the damage."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_marci_Lore"	"Marci learned at a young age that the best asset in a scrap is a steady companion."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_marci_Note0"	"Note:<br>he lifesteal effect calculates the lifesteal enhancement of the attacker. When there are no allies around, Marci restores life for himself."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_alchemist"	"Super Greevil’s Greed"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_alchemist_Description"	"At the end of the round, gain an additional 5%% of the settlement rewards of other allies."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_alchemist_Lore"	"Hahaha, the money is all mine."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_night_stalker"	"Hunting point"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_night_stalker_Description"	"When night comes, Night Stalker can fly, at a minimum movement speed of 550 and its attack speed increased by 30%%. "
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_night_stalker_Lore"	"It is a humbling sight to see when the mightiest of warriors become afraid of the dark."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_sand_king"	"Soul of Sand"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_sand_king_Description"	"When Sand King has learn Epicenter, triggers one 80%% damage earthquake every 700 range (calculated every 0.85 seconds), and after each trigger increases cooldown by 1.5 seconds (affected by cooldown reduction) and does not trigger when the cooldown is greater than 10 seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_sand_king_Lore"	"This essential identity calls itself Crixalis, meaning 'Soul of the Sand,' but others know it as Sand King. "


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_life_stealer"	"Symbiont"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_life_stealer_Description"	"The Infest woun't cause silence to Lifestealer"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_life_stealer_Lore"	"With this infestation, N'aix consumes the life blood of the host, restoring him back to full unholy power."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_rattletrap"	"Overclocking"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_rattletrap_Description" "When Auto-Cast is enabled, the next refreshable ability receives a %cd_down%% reduction in cooldown time and incurs an additional %bonus_manacost%%% of its mana cost.\n<font color='#606060'>This talent's cooldown reduction ignores the standard cooldown reduction limit.</font>"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_rattletrap_Lore"	"What time is it?"


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tusk"	"Walrus PUNCH!"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tusk_Description"	"The next attack is a %cri_damage%% critical attack, suspending the target in the air for %fly_time% seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_tusk_Lore"	"It never matters who throws the first punch, only who throws the last."


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_juggernaut"	"ward off blows"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_juggernaut_Description"	"When attacked while in attacking state, negates this damage and gains [Eye Opening], lasting %duration% seconds.\n[Eye Opening]: Attack speed and attack range reach their maximum, lasting for %count% attacks."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_juggernaut_Lore"	"Juggernaut's superb swordsmanship allows him to deal with any attack."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_clinkz"	"Death Pact"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_clinkz_Description"	"When killing a unit, you can temporarily gain 10%% of the target's attack damage and 5%% of the target's health, but the attack damage will not exceed your basic attack damage, and the health value will not exceed five times the attack damage. Disappears after round or death."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_clinkz_Lore"	"Sutherex' bond of life and death has become a part of Clinkz, and his old bones are refreshed with repetition of the pact on lesser beings."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_clinkz_Note0"	"Note:<br>No matter how higher attack damage is, it’s maximum can only be 2,000."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_viper"	"Nethertoxin"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_viper_Description"	"Viper’s attack can cause Passive Disable effect for %duration% seconds. "
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_viper_Lore"	"Poison from the Nether Reaches turns wounds into fatalities, and fatigue into death."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_viper_Note0"	"Note:Не отключается пассивным уничтожением."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_drow_ranger"	"Precision Aura"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_drow_ranger_Description"	"Provides allied heroes within %radius% radius an equal amount of Agility as Drow Ranger's own %index%% base Agility +%agi_lvl% * hero level."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_drow_ranger_Lore"	"The arrival of the Drow Ranger brought a calm atmosphere to everyone present."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_razor"	"Eye of the Storm"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_razor_Description"	"Razor's next attack deals additional physical damage equal to Agility * %agi_index% and reduces the target's armor by %armor% points, stacking independently for %duration% seconds, up to %max_count% stacks."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_razor_Lore"	"Master the Lightning "

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_venomancer"	"Toxin mixing"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_venomancer_Description"	"Upon attacking, unleash a toxin that afflicts a random enemy within its attack range with a virulent poison, stacking independently for a duration of %duration% seconds, capping at %max_stack% stacks. \n[Virulent Poison]: Reduces movement speed by %move_down%, and with each stack, further decreases status resistance by an additional %status_down%."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_venomancer_Lore"	"Paralyzing Poison Sting has become more powerful under the research of Venomancer. "

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_riki"	"Secret Assassin"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_riki_Description"	"Riki has no collision volume. In auto-casting status, Riki always moves behind the target instantly before launching an attack. fixed cooldown of 0.1 second. "
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_riki_Lore"	"Riki comes for you."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_nyx_assassin"	"Vendetta"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_nyx_assassin_Description"	"Nyx Assassin will not be stunned or silenced at night, and attack damage will be increased by 30%%."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_nyx_assassin_Lore"	"The scarab kills for the glory of his queen."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_nyx_assassin_Note0"	"Note:<br>Excluding Infest"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_templar_assassin"	"Refraction"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_templar_assassin_Description"	"Lanaya's Refraction provides double primary attributes, does not lose its blocking performance due to excessive damage taken, and is not pierced by shield-breaking effects."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_templar_assassin_Lore"	"Manipulating her psionic veil, Lanaya bends nature's law to her will."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_vengefulspirit"	"Vengeful Spirit"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_vengefulspirit_Description"	"When an allied creep is killed by the enemy, the killer permanently receives %creep%%% increased damage, capping at %max%%%. Meanwhile, Vengeful Spirit gains an extra %creep% points to all attributes for %duration% seconds.<br><br>If the unit killed is a hero, the effect applies with a multiplier of %index% times."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_vengefulspirit_Lore"	"A bird unable to spread its wings, a chain bound to an endless cycle."
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_vengefulspirit_active"	"Avenger"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_vengefulspirit_active_Description"	"All attributes increased"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_arc_warden"	"Magnetic Field"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_arc_warden_Description"	"Allies within a 300 radius gain 20%% evasion and have a 10%% chance to evade all tracking projectiles every 0.5 seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_arc_warden_Lore"	"Time and space are of little consequence to one as old as Zet."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_naga_siren"	"Song of the Siren"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_naga_siren_Description"	"Activate Song of Siren when the cooldown of the skill completes under auto casting status. All allies enter invincible status and fall into sleep, they can move, but cannot cast spells, attack or use items for 7 seconds, during which 10%% of their maximum health is restored every second."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_naga_siren_Lore"	"Slithice's powerful voice enchants leagues of opponents, while calling her Slithereen kin in a time of need."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_troll_warlord"	"Fervor"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_troll_warlord_Description"	"Gains %attack_speed% attack speed per stack when continuously attacking the same target, stacking up to %max_count% times. Losing %lose_count% stacks when switching to a different target.\nStacks are not lost for %duration% seconds after killing an enemy."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_troll_warlord_Lore"	"If at first you don't succeed, strike, strike again."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_phantom_lancer"	"Phantom Rush"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_phantom_lancer_Description"	"When issuing an attack command against targets within %min_dis% to %max_dis% units, charges at a speed of %speed% and gains %bonus_agi%% bonus Agility for %duration% seconds after the attack."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_phantom_lancer_Lore"	"Azwraith knows that on the field of battle, speed can mean everything."



"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lone_druid"	"Blessing of Nature"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lone_druid_Description"	"Passively grants healing amplification equal to your spell amplification.<br><br>When activated, blesses up to %limit% allied units within %radius%, healing them for %maxhp_heal%%% of their max health every %interval% seconds, lasting for %duration% seconds.<br><font color=\"#606060\">The cooldown of this talent's healing intervals is reduced by %cd_index%%% efficiency.</font>"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lone_druid_Lore"	"Great Druids can choose from many blessings, and the Blessing of Nature imbues continuous vitality."
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lone_druid_active"	"Nature's Blessing"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_lone_druid_active_Description"  "Continuously being healed"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_hoodwink"	"Acorn Shot"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_hoodwink_Description"	"Store a chestnut at regular intervals and take it when attacking and cause additional physical damage of 100%% of full attack damage when hitting the target. The chestnut storage interval is 3 seconds, but reduce interval by 0.1 seconds for every 30 agilities and the shortest interval is 1 Second and chestnuts can be stored up to 20."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_hoodwink_Lore"	"Though she'll make do with almost anything, Oak and Ironwood acorns make the most effective projectiles -- and the bulk of Hoodwink's stash."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_hoodwink_Note0"	"Note:<br>affected by passive disable"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ursa"	"Fury Swipes"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ursa_Description"	"On attacking, applies [Furious Swipe] to the target for %duration% seconds, stacking up to %max_count% times.\n[Furious Swipe]: When attacked by Ursa, deals an additional %damage_index%% of Ursa's full attack damage as physical damage."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_ursa_Lore"	"In nature, the wounded rarely survive the attacks of hungry predators."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_luna"	"Moon Glaives"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_luna_Description"	"Luna's Moonblade. Attacks bounce twice, but damage dealt by each bounce reduces 25%%."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_luna_Lore"	"Carefully sharpened, Luna's boomerang-like weapon cuts a wide swath through enemy numbers."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_luna_Note0"	"Note:<br>Damage is affected by spell enhancement, which triggers Lifesteal. <br>Disabled by cleave neutralization, does not apply to bonus attacks"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dragon_knight"	"Ancient dragon blood"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dragon_knight_Description"	"Increase the buffs brought by the dragon bloodline by 40%%. (Dragon skin spell damage resist effect, bonus basic health recovery armor)"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dragon_knight_Lore"	"Slyrak's blood still courses through Davion's veins, giving him twice the vitality of an ordinary knight."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dragon_knight_2"	"Dragon Soul"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dragon_knight_2_Description"	"The Dragonheart extends your Ancient Dragon Form duration by %bonus_time% seconds and increases your range by %bonus_attack_range%. Furthermore, [Lava Toxin] replaces the Azure Dragon Toxin within your Ancient Dragon Form.\n[Lava Toxin]: Deals %poison_damage_index%%% of your full attack power as physical damage per second; simultaneously reducing the target's armor by %reduce_armor% points per second (up to a maximum of %reduce_armor_max% points)."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dragon_knight_2_Lore"	"Slyrak is the father of fire. His breath is the hottest thing on the planet"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dawnbreaker_3"	"Stellar Hammer"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dawnbreaker_3_Description"	"Create several War Hammers attached to the weapon, giving your attack a %chance%% chance to generate a Star Breaker Smash effect. When the cooldown is complete, 100%% chance trigger."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dawnbreaker_3_Lore"	"Come and give it a try."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_mirana"	"Starstorm Bond"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_mirana_Description"	"Mirana summons stars to strike up to %limit% enemies within a %radius% radius, dealing damage equal to her level * %lvl_damage% and stunning them for %stun_duration% seconds. Unique effects are unlocked when these heroes are present:<br><br>Mars: Starstorm grants extreme attack speed to both sides for either %attack_speed_count% attacks or %incoming_duration% seconds.<br><br>Davion: Starstorm confers %incoming_down%%% damage reduction to both teams for %incoming_duration% seconds.<br><br>Luna: Starstorm initiates Eclipse for both, dealing %moon_hp_damage%%% of enemies' max HP as damage to up to %limit% foes within a %radius% radius.<br><br>Solo Combat: Attacks have a %chance_self%%% chance to trigger Starstorm individually."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_mirana_Lore"	"Mirana realizes that bonds are the truest treasures."
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_mirana_active_luna"	"Lunar Eclipse"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_mirana_active_luna_Description"  "The moon's hidden face strikes nearby foes."
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_mirana_active_dragon_knight"	"Davion's Dragon Blood"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_mirana_active_dragon_knight_Description" "Gains reduced damage taken."
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_mirana_active_marci"	"Marci's Frenzied Strikes"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_mirana_active_marci_Description" "Attacks at maximum speed."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_morphling_2"	"Wave Form"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_morphling_2_Description"	"Transforms into a surging wave, dealing %damage%% of your full attack power as physical damage to enemies in its path, while imparting [Tidal Stack] upon allies along the way: Each stack grants a %bonus_attack_speed% increase to attack speed and %bonus_move_speed% boost to movement speed, lasting for %duration% seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_morphling_2_Lore"	"A torrential flood takes enemies by force."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_medusa"	"Stone Gaze"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_medusa_Description"	"For enemies with a 500 radius, if they follow you for more than 3 seconds, the unit will be petrified for 2 seconds, during which takes an additional 30%% physical damage. The same unit will not trigger twice within 15 seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_medusa_Lore"	"The beauty of Medusa is legendary."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_broodmother"	"Spawn Spiderlings"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_broodmother_Description"	"A spider hatches at regular intervals, who inherits 50%% of full attack damage and 80%% max health,  lasting for 30 seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_broodmother_Lore"	"Arachnia continued to nurture her offspring, even on the battlefield. Newly hatched spiderlings quickly learn how to support their mother"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_broodmother_Note0"	"Note:<br>Affected by summon strength and summon duration enhancement."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_grimstroke"	"The trial of painting world"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_grimstroke_Description"	"Ink of Fate receives an additional chained cast, with a %once_chance%% chance to trigger an extra chained cast. This can occur up to three times, with the probability halving each time."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_grimstroke_Lore"	"Grimstroke completes his trials in the world of picture, giving a boost to his corrupting powers."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_zuus"	"Thunder"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_zuus_Description"	"Periodically shocks %count% random enemies across the entire map, dealing %int_damage% intelligence-based magical damage and stunning them for %stun_time% seconds."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_zuus_Lore"	"Zeus retrieved his sceptre, and now he is more power"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_winter_wyvern"	"Ancient Wisdom"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_winter_wyvern_Description"	"During rounds 1-6, all allied heroes gain %bonus_int1% intelligence.<br><br>During rounds 7-12, all allied heroes gain %bonus_int2% intelligence.<br><br>After round 13, all allied heroes gain %bonus_int3% intelligence.<br><br>In addition, all allied heroes receive a spell amplification equal to %baseint_index%%% of their intelligence, with a minimum of %min%%%."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_winter_wyvern_Lore"	"Auroth's ancient lifespan has witnessed the rise and fall of worlds, and now is the time for this ancient wisdom to awaken."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lich"	"Dark Ritual"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lich_Description"	"Activate auto-casting, if mana is less than 40%%, sacrifice the nearest common unit within 800 radius to gain 20%% mana recovery."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_lich_Lore"	"When the Lich is weak, he will choose to sacrifice his teammates in exchange for restore of health."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_puck"	"Half step to the Evolution"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_puck_Description"	"Punk enters a false evolution phase within 1 minute after the start of the round. In this phase, gain 300 points of bonus casting range, increase intelligence by 15%% and spell range by 30%%. (You can also enter this state again after completing the full cooldown period)"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_puck_Lore"	"Puck was in her infancy, but only because she suppressed her energy. At some point, she can unleash her potential to put her body in a pre-evolutionary state, which increase her powers, but she won't choose to complete the evolution because she still has an unfinished mission."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pugna"	"Annihilation"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pugna_Description"	"Keeps track of skill damage dealt. When the recorded damage reaches %int_need% times Intelligence, the next spell cast will detonate around self, dealing %damage_index%% of the recorded value as pure damage within a %radius% radius."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pugna_Lore"	"Pugna annihilates his enemies."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_pugna_Note0"	"Note:<br>Not record reflection, hp lost , no spell lifestal damage"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_disruptor"	"Thunder Strike"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_disruptor_Description"	"On the next attack, applies Lightning Overload to the target, striking it once every %interval% seconds for a total of %count% strikes. Each strike deals %int_damage% intelligence-based magical damage in a %radius% area around its position.\nEach attack reduces the current cooldown of this effect by %cd_index%% ."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_disruptor_Lore"	"Disruptor's charged coils occasionally overload, and a singed armor plate or tuft of fur is the enemy's result."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dazzle"	"Enlightenment from the Nothl Realm"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dazzle_Description"	"When an allied hero receives fatal damage, they gain [Nether Guidance] for %duration% seconds.<br><br>[Nether Guidance]: Prevents death and heals %hplose_heal%%% of lost health every second."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_dazzle_Lore"	"Only a seasoned acolyte of the Shadow can properly perform the rite of preventing death."
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_dazzle_effect"	"Nether Guidance"
"DOTA_Tooltip_modifier_heroTalent_npc_dota_hero_dazzle_effect_Description"	"Survives death and continues to receive healing"

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_leshrac" "Void Desire" 
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_leshrac_Description"  "As a tormented soul, Leshrac's Void Desire reduces magic resistance by %magic_resist%% for all units" 
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_leshrac_Lore" "Leshrac yearns to drag everyone into the abyss of torment, allowing them to savor the suffering he has endured."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_rubick"	"Arcane Supremacy"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_rubick_Description"	"The Advanced spell learned by Rubick will take the current level +3 when calculating the base value bonus. (Does not affect the unlocking of special effects)"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_rubick_Lore"	"Not every Magister can become a Grand Magister."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_shadow_demon"  "Shadow Toxin" 
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_shadow_demon_Description"  "Shadow Demon inflicts [Shadow Toxin] on targets when dealing damage: reducing base attack damage by %atk_reduce%% and status resistance by %status_reduce%% for %duration% seconds." 
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_shadow_demon_Lore"  "Shadow Demon injects malevolent toxins into those he harms."


"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_shadow_shaman"  "Ritual Magic: Polymorph" 
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_shadow_shaman_Description"  "Passive Effect: Upon killing a unit, randomly selects one within a %radius% radius around the target and transforms it into a harmless little animal for %duration% seconds.\nActive Use: Channels ritual magic, which is interrupted if attacked. Upon completion, polymorphs all enemies for %a_duration% seconds, during which they are immune to magic immunity, invincibility, and ignore all of the targets' status resistances." 
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_shadow_shaman_Lore"  "Rostam typically ends his performances by turning himself into a chicken; now he shares this humiliation with others."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_warlock"	"Shadow Word"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_warlock_Description"	"Designates a friendly hero, healing them for an amount equal to the Warlock's own Intelligence multiplied by %int_index% every %interval% seconds. If the designated ally's health falls below %double_line%%, the healing effect is doubled."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_warlock_Lore"	"Warlock arcane arts have a myriad of uses, allowing them to be powerful friendly enchantments or damaging curses."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_obsidian_destroyer"	"Arcane Orb"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_obsidian_destroyer_Description"	"Gains %mana_lvl% maximum mana per level. His attacks deal %mana_index%% of his maximum mana as pure damage."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_obsidian_destroyer_Lore"	"Harbinger's outworldly knowledge allows it to tap into the ebb and flow of all spiritual energy, infusing it into his being."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_crystal_maiden"	"Cooldown"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_crystal_maiden_Description"	"Every time a skill is released, reduce cooldown of other skills by 2 seconds, but the cooldown of yourself will be fixed for 3.8 seconds, but will not trigger after the cooldown is greater than 15 seconds (it cannot be refreshed by itself, and does not affect non-refreshable skills)"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_crystal_maiden_Lore"	"Rylai just standing there would cause the temperature to drop dramatically."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_crystal_maiden_Note0"	"Note:<br>Cant refresh items<br>Only enable when the spell cooldown more then 2.5s"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_queenofpain"	"Double pain"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_queenofpain_Description"	"Increase damage dealt by Queen of Pain by 28%%, but increase damage taken by her by 10%%. "
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_queenofpain_Lore"	"unparalleled pain."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_necrolyte"	"Domain of death"
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_necrolyte_Description"	"Corrodes the body resistance of enemies within a %radius% radius,  reducing their status resistance and heal amp by %heal_amp%%."
"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_necrolyte_Lore"	"necrolyte brought the breath of death to the world."

"DOTA_Tooltip_ability_heroTalent_npc_dota_hero_visage"	"Soul Devourer Visage"
