"addon_game_name"	"Heroic Road"
"DOTA_HUD_Bonus_exp"        "Bonus Reliable experience:{s:bonus}"
"DOTA_HUD_Bonus_platinum"   "Bonus Platinum:{s:bonus}"

"DOTA_HUD_ReRollItemDone"                   "Random generation succeeded"
"DOTA_HUD_ReRollItemFail"                   "Random generation failed(Server)"
"DOTA_HUD_ReRollItemFail2"                   "Random generation failed(Legitimacy)"
"DOTA_HUD_server_login_fail"   "The server is unstable again. Try again"
"DOTA_HUD_Get_Bonus_success"   "Received successfully"
"DOTA_CUSTOM_start_end_bonus"  "Game start settlement……"
"DOTA_HUD_Special_spell_info"  "The Special Spell will be gradually added to normal class in subsequent versions(The spells on the left will be added first)"
"DOTA_HUD_CheckBonus_info"  "Check whether you currently have unclaimed rewards"
"DOTA_HUD_SpellShop_info"  "<font color=\"#d9534f\">When the skill is upgraded to the max level, you can unlock a new effect and increase the upper limit by evolve it;(But advanced skills need to be unlocked to evolve)</font><br><br><font color=\"#f0ad4e\">The yellow border is a weekly free skill;(You can upgrade this skill to advanced level 10 without unlocking it)</font><br><br>For Advanced abilityies, you can upgrade 1 level by left click, or uprade 5 levels by right click"
"DOTA_HUD_SpellShop_info2"   "Passive skills will be placed at the back of the shortcut bar by default. In some cases, you need to put them in front to open the shortcut key. The first skill in [Other] class can be purchased for free to meet the switching needs"
"DOTA_HUD_SpellShop_info3"   "Selling skills will return half of the gold and skill points, and all skill points will be returned in single player mode"
"DOTA_HUD_SpellShop_info4"   "You can evolve the spells after the level are 5 / 3"
"DOTA_HUD_PlayerInfo_info1"   "<font color=\"#5bc0de\">Skill Atlas:</font><br><font color=\"#f0ad4e\">Here you can view your unlocked advanced skills, or upgrade by consuming reliable experience to increase the maximum level limit.</font><br><font color=\"#f0ad4e\">After you upgrade your skills to advanced level in the game, you can spend an additional 500 / 750 gold to upgrade them, which will improve the basic attributes, every five levels will also unlock a new effect.</font>"
"DOTA_HUD_PlayerInfo_info2"   "<font color=\"#5bc0de\">Game Shop:</font><br><font color=\"#f0ad4e\">You can unlock skills or buy reliable experience by completing the aurum obtained from the game.</font>"
// "DOTA_HUD_PlayerInfo_info2"   "<font color=\"#5bc0de\">Game Shop:</font><br><font color=\"#f0ad4e\">You can unlock skills or buy reliable experience by completing the aurum obtained from the game..<br>Of course, you can also choose to recharge(But I don't recommend blindly recharging. Almost everything in the game can be obtained by playing.)</font>"

"DOTA_HUD_PlayerInfo_info3"   "Effects Store"
"DOTA_HUD_PlayerInfo_info4"   "Personal Information"
"DOTA_HUD_PlayerInfo_info5"   "Changing Setting(F10)"
"DOTA_HUD_PlayerInfo_info6"   "Achievement"

"DOTA_HUD_PlayerInfo_info7"   "<font color=\"#5bc0de\">Chaotic Era Spell Atlas</font><br><font color=\"#f0ad4e\">The spells here only appear in the chaotic era mod"
"DOTA_HUD_PlayerInfo_info8"   "<font color=\"#5bc0de\">Relic：</font><br><font color=\"#f0ad4e\">Relic can only be used in chaotic era mode, and relic will randomly drop in chaotic era mode."


"DOTA_HUD_showAllBuff_info"   "When enabled, more buffs will be displayed, but it also brings the following problems:If you lose the status of ability entities (such as royal jelly), you will not be able to use the ALT + left button to prompt, and some item's buff will lose the status icon"

"DOTA_HUD_showDamageInfo"   "Show Damage and Healing Date"
"DOTA_HUD_CheckFellOmen"   "Check Fell Omen Buffs"
"DOTA_HUD_Bonus_FellOmenCount"   "Extra Half Fell Omen Count:{s:waveCount}"
"DOTA_HUD_BuyBackInfo"   "Reuce your attributes for a while and respawn target(F3)"
"DOTA_HUB_Start_create_bonus"  "Game Over, creating game bonus……" 

"dota_hud_rooted"  "ROOTED"
"dota_hud_cantmove"  "CANT MOVE"
"dota_hud_Cant_UNLOCK"  "CAN'T UNLOCK"
"dota_hub_cooldown"  "Ability On Cooldown"


// "DOTA_HUD_HiddenDate"   "Hiding the submitted data after settlement"
"DOTA_HUD_HiddenDate"   "HIDE SUBMITTED DATA"





"DOTA_HUD_Yes"   "YES"
// "DOTA_HUD_Yes_Info"   "Heroes, skills and items data will not be submitted when game settlement. If your information is on the Top10 Ranking, the heroes, skills and items data will not be able to check"

"DOTA_HUD_Yes_Info"   "Hero, skill and item data will not be submitted after the game ends. If your submission is ranked in the Top 10, others won't be able to check your hero, skill and item information."




"DOTA_HUD_No"   "NO"
"DOTA_HUD_Yes_show"   "{s:player_name} select to hide game data. If you are on the Top10 ranking, other players cannot view your game data"
"DOTA_HUD_No_show"   "{s:player_name} select to show game data. If you are on the Top10 ranking, other players can view your game data"
"DOTA_HUD_CANT_SEE_INFO"   "This group of players set that others cannot view their data"


"DOTA_Tooltip_ability_none_spells_info"	"You do not have the eligible ability"
"DOTA_Tooltip_ability_none_spells_info_Description"	" Spell upgrade: reach the full level\n Spells for sale: there are purchased spells. "

"DOTA_HUD_store"   "Store"
"DOTA_HUD_core_count"   "Remaining core:{s:count}"
"Market_Core_buy_failed_no_core"                   "There is no remaining core to be forged"
"Market_Core_buy_failed_no_core_chance"                   "All core forging opportunities have been consumed"
"Market_Core_buy_failed_difficulty"                   "Cant create Aghanim's core when challenging ranking"
"Market_Core_buy_failed_server"                   "The server is unstable"
"DOTA_HUD_PLAYER_GET_CORE_in_game1"                   "A forged <font color=\"#f0ad4e\">{s:ability_name}</font> was found by {s:player_name}"
"DOTA_HUD_PLAYER_GET_CORE_in_game2"                   "Fallen Star given {s:player_name} a forged <font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_in_game3"                   "A good old man given {s:player_name} a forged <font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_in_game4"                   "A forged <font color=\"#f0ad4e\">{s:ability_name}</font> hit {s:player_name} on the head"

"DOTA_HUD_PLAYER_GET_CORE"                   "{s:player_name} forged <font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS1"                   "{s:player_name} found <font color=\"#f0ad4e\">{s:locstring_value}</font> <font color=\"#f0ad4e\">{s:ability_name}</font> in a body"
"DOTA_HUD_PLAYER_GET_CORE_BONUS2"                   "{s:player_name} found <font color=\"#f0ad4e\">{s:locstring_value}</font> <font color=\"#f0ad4e\">{s:ability_name}</font> from a vein somewhere"
"DOTA_HUD_PLAYER_GET_CORE_BONUS3"                   "{s:player_name} found <font color=\"#f0ad4e\">{s:locstring_value}</font> <font color=\"#f0ad4e\">{s:ability_name}</font> from a no name land"
"DOTA_HUD_PLAYER_GET_CORE_BONUS4"                   "<font color=\"#f0ad4e\">{s:locstring_value}</font> <font color=\"#f0ad4e\">{s:ability_name}</font> fell from the sky and hit {s:player_name} on the head"
"DOTA_HUD_PLAYER_GET_CORE_BONUS5"                   "{s:player_name} picked up <font color=\"#f0ad4e\">{s:locstring_value}</font> <font color=\"#f0ad4e\">{s:ability_name}</font> from the ground"
"DOTA_HUD_PLAYER_GET_CORE_BONUS6"                   "The No One given {s:player_name}<font color=\"#f0ad4e\">{s:locstring_value}</font> <font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS7"                   "{s:player_name} prayer came into effect and got <font color=\"#f0ad4e\">{s:locstring_value}</font> <font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS8"                   "{s:player_name} used the teammates' luck to find <font color=\"#f0ad4e\">{s:locstring_value}</font> <font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS9"                   "{s:player_name} gained <font color=\"#f0ad4e\">{s:locstring_value}</font> <font color=\"#f0ad4e\">{s:ability_name}</font>"
"DOTA_HUD_PLAYER_GET_CORE_BONUS10"                   "Master Aghanim responded to {s:player_name}'s request, given him <font color=\"#f0ad4e\">{s:locstring_value}</font> <font color=\"#f0ad4e\">{s:ability_name}</font>"



"DOTA_HUD_upgrade_advanced_spell_info"  "Left click to uprate once, right click to uprade quintic"
"Player_Black_Hole1"                   "The wormhole is working…………"
"Player_Black_Hole2"                   "Somethings were changed in this world…………"





"Paypal_block_too_small"                   "Due to PayPal's high fixed transaction fees, we currently cannot support low-value payments. Thank you for your understanding."






"DOTA_NPEDesc_DOTA_Item_Build_Auto_Items"                   "You have turned on the advanced store, please disable it, otherwise the equipment cannot be displayed normally"
"DOTA_Shop_info"                   "At the end of each round, you will get a chance to choose equipment rewards. Most equipment will be obtained in this step rather than purchased in the shop. The equipment sold in the shop is the most basic item, so you don't need them most of the time"

"DOTA_GameMode_15"  "Heroic Road:Overture"
"dota_game_end_victory_title_radiant"  "Successfully Overcome The Suffering"
"dota_game_end_victory_title_dire"  "Failed in Suffering"

"TimeScalce_panel"                   "Time Scale"
"TimeScalce_info"                   "You can slow down the game by changing the game time scale, so as to alleviate the jam to a certain extent; It can also prevent game crash during lag."
"TimeScalce_send"                   "Send"
"TimeScalce_send_info"                   "Send a confirmation request to the teammate to change the time scale."



"DOTA_HUD_Change_Time_Scale"   "A player want to adjust the time scale, do you accept?"
"DOTA_HUD_Change_Time_Scale_Yes"   "Accept"
"DOTA_HUD_Change_Time_Scale_Yes_Info"   "When all players agree, the time scale of the game will be changed."
"DOTA_HUD_Change_Time_Scale_No"   "Refuse"
"DOTA_HUD_Change_Time_Scale_Yes_show"   "{s:player_name} accepted the adjustment request."
"DOTA_HUD_Change_Time_Scale_NO_show"   "{s:player_name} rejected the adjustment request."

"DOTA_HUD_Change_Time_Scale_change_info"   "The game time scale has been adjusted to {s:locstring_value}%"

"DOTA_HUD_Talent_Menu"                   "Unlocked Talent"
"DOTA_HUD_Item_Menu"                   "Item Atlas"
"DOTA_HUD_Game_Info"                   "Game Info"

"DOTA_CUSTOM_UpdateFailed2"                   "<font color=\"#d9534f\">{s:player_name}Updates on reward settlement failed.The server may be unstable,and another update attempt in 2 seconds.</font>"
"DOTA_CUSTOM_UpdateFailed3"                   "If fail to save game, please save the screenshot and contact the author."

"HUD_Settlement_Done"  "The settlement has been completed, and you can safely exit the game now"





"DOTA_CUSTOM_Cant_Learn_1"                   "Unable to learn new spell when you are not alive"
"DOTA_CUSTOM_Cant_Learn_2"                   "Unable to evolve spell when you are not alive"
"DOTA_CUSTOM_Cant_Learn_3"                   "Unable to upgrade spell when you are not alive"

"DOTA_CUSTOM_heroSelection_1"                   "Loading player data..."
"DOTA_CUSTOM_heroSelection_2"                   "Player data loading progress. If it fails to load for a long time, please restart the game.You can click the hidden exit button in the upper left corner. If it fails to load for a long time, it is recommended to change the server to another region."
"DOTA_CUSTOM_heroSelection_3"                   "Be careful not to use the local server"


"DOTA_HUD_CheckTalentMarket"  "Old players can buy hero talents directly, but note that the talents sold here are more expensive than those in the black market, so unless you are really in a hurry, I suggest you'd better wait for the black market."


"DOTA_CUSTOM_CAST_DENY_DISABLE_HELP"                   "Cannot cast a target with Disable Help enabled"
"DOTA_CUSTOM_CAST_DENY_NO_TARGET"                   "No Suitable Target"
"DOTA_CUSTOM_CAST_DENY_NO_stack"                   "Not Enough Stacks"
"DOTA_HUD_spell_modify"                   "You have unused genetic modification points"
"DOTA_HUD_spell_modify_title"                   "Gene Modification"
"DOTA_HUD_spell_modify_current_point"                   "Current gene modification points:{s:value1}"
"DOTA_HUD_spell_modify_send"                   "Confirm"
"DOTA_HUD_spell_modify_deny_1"                   "Not enough gene modification points"
"DOTA_HUD_spell_modify_1"                   "Attack Modify"
"DOTA_HUD_spell_modify_2"                   "Defensive Modify"

"DOTA_HUD_not_enough_ability_point"                   "NoT enough ability point"



"DOTA_HUD_spell_upgrate_button_tooltip"                   "Spell evolve cost: "

"DOTA_HUD_SpellBook_Dropped"   "New settlement rewards:<font color=\"#f0ad4e\">Unknow Spell Book</font>×{s:value1}."


"DOTA_Modifier_From"				"(Source-%s1)"
"DOTA_Modifier_From_Unknow"				"(Unknown Source)"


"DOTA_HUD_exp_Dropped"   "New settlement rewards:<img class='DotaPlusSmallIcon' src='s2r://panorama/images/battle_report/silver_medal_small_psd.vtex' /><font color=\"#f0ad4e\">Reliable Experience</font>:{s:value1}"
"DOTA_HUD_aurum_Dropped"   "New settlement rewards:<img class='DotaPlusSmallIcon' src='s2r://panorama/images/compendium/compendiumcoins_ti5_png.vtex' /><font color=\"#f0ad4e\">Aurum</font>:{s:value1}"

"DOTA_Modifier_Alert_hd_special_1"				"With %s1% Cooldown Reduction"

"DOTA_HUD_Advanced_Attribue" "Advanced Property"
"DOTA_HUD_CooldownReduction"  "Cooldown Reduction:"
"DOTA_HUD_OutGoingDamage_Detail"  "Outgoing Damage Bonus:"
"DOTA_HUD_CastRangeBonus_Detail"  "Cast Range Bonus:"
"DOTA_HUD_HealAMP_PercentageBonus_Detail"  "Heal AMP:"
"DOTA_HUD_HealReceiveAMP_PercentageBonus_Detail" "Heal Receive AMP:"

"DOTA_HUD_DurationGain"  "Buff Duration Bonus:"
"DOTA_HUD_NegativeDurationGain" "Debuff Duration Bonus:"


"DOTA_HUD_SummonIntensity" "Summon AMP:"
"DOTA_HUD_SummonTimeIntensity" "Summon Time AMP:"
"DOTA_HUD_LifeStealIntensity" "Lifesteal AMP:"
"DOTA_HUD_RandomEffectGain" "Probability Event Trigger AMP:"
"DOTA_HUD_PhysicalCriticalAmp"  "Critical Damage AMP:"

"DOTA_HUD_Incoming_Damage"  "Damage Reduction:"




"HUD_Advanced_Header"  "Advanced Effect"


"HUD_LERAN_SPELL_FAIL_Before_DifficultySelected"  "Need to wait for difficulty selection"




"HUD_Get_Gift"	"{s:player_name} active a gift code, get <img class='DotaPlusSmallIcon' src='file://{images}/spells_menu/platinum.png' /><font color=\"#4ebff0\">{d:int_value} platinum </font>and<img class='DotaPlusSmallIcon' src='s2r://panorama/images/compendium/compendiumcoins_ti5_png.vtex' /><font color=\"#f0ad4e\">{d:int_value2} aurum </font>and<img class='DotaPlusSmallIcon' src='s2r://panorama/images/battle_report/silver_medal_small_psd.vtex' /><font color=\"#f0ad4e\">{s:locstring_value2} reliable experience</font>"
"HUD_Get_Gift_2"	"{s:player_name} active a gift code, get <img class='DotaPlusSmallIcon' src='file://{images}/spells_menu/platinum.png' /><font color=\"#4ebff0\">{d:int_value} platinum </font>and<img class='DotaPlusSmallIcon' src='s2r://panorama/images/compendium/compendiumcoins_ti5_png.vtex' /><font color=\"#f0ad4e\">{d:int_value2} aurum </font>and<img class='DotaPlusSmallIcon' src='s2r://panorama/images/battle_report/silver_medal_small_psd.vtex' /><font color=\"#f0ad4e\">{s:locstring_value2} reliable experience </font>and<font color=\"#f07f4e\">{s:locstring_value} special (Unknow) bonus.</font>"
		



"HUD_SHOP_DISABLE_ON_BATTLE"  "You cannot purchase items during Battle State"

"HUD_Hotkey_setting_info" "After binding the hotkey, it cannot be changed."

"HUD_Hotkey_setting_error_1"  "Letter Key Only"


"HUD_DEBUG_NOTE"  "{s:player_name} used a dev debug function"
