"HUD_player_artifact_Title" "圣物：<font color=\"#6de2c5\">{s:ability_owner}</font>"
"DOTA_Tooltip_ability_item_hd_rot_snake_effects_additional_2"	"【腐烂加剧】<font color='#9370db'>腐烂气息</font>会降低受影响单位%down_2%%%攻击力 [+]"
"DOTA_Tooltip_ability_item_hd_rot_snake_effects_additional_3"	"【幻灵剧毒】<font color='#9370db'>腐烂气息</font>会使受影响单位受到的中毒伤害增加%poison_3%%% [+]，同时你对中毒敌人造成的伤害总增%poison_3%%% [×]"
"DOTA_Tooltip_ability_item_hd_rot_snake_effects_additional_4"	"【谎言之境】<font color='#9370db'>腐烂气息</font>会施加中毒，施加量相当于你%poison_maxhp_4%%%最大生命值或%poison_hp_4%%%当前生命值（取最高）。"
"DOTA_Tooltip_ability_item_hd_rot_snake_effects_additional_7"	"【谎言之境+】<font color='#9370db'>腐烂气息</font>现在不会对自身施加易伤效果，对自身施加的中毒效果减半，对其他友军单位则不会施加中毒效果"
"DOTA_Tooltip_ability_item_hd_rot_snake_effects_additional_10"	"【巅峰造极】<font color='#9370db'>幻灵腐烂</font>不再对自身生效，污染范围扩大至%radius_10%，<font color='#9370db'>腐烂加剧</font>的攻击力降低效果提高至%down_10%%%"
"DOTA_Tooltip_modifier_item_hd_rot_snake_effects"	"幻灵腐烂"
"DOTA_Tooltip_modifier_item_hd_rot_snake_effects_Description"	"全属性增加%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_item_hd_rot_snake_effects_debuff"	"腐烂"
"DOTA_Tooltip_modifier_item_hd_rot_snake_effects_debuff_Description"	"受到的伤害增加%fMODIFIER_PROPERTY_TOOLTIP%%%<br>攻击力降低%dMODIFIER_PROPERTY_TOOLTIP%%%<br>受到的中毒伤害增加%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects"	"龙珠探测器"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects_main_ability_title"	"被动：龙珠探寻"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects_main_ability"	"每%interval%秒在地图上出现一颗存在%duration%秒的龙珠，靠近龙珠可以将其吸收，七颗龙珠可以召唤神龙，为全队或持有者提供随机永久增益。<br><br>多人游戏中，每有一名玩家持有此圣物，神龙召唤的全队增益就会少许下降。"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects_Lore"	"[玩家投稿]：来自玩家[樱小路露娜]的设计投稿，于北京时间2026/5/1后开放掉落，暂未开放购买途径。"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects_bonus_vision"	"+$vision"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects_additional_1"	"【龙威】<font color='#9370db'>召唤神龙</font>时，眩晕%radius_1%范围内的敌人%duration_1%秒。"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects_additional_2"	"【精度维修】该圣物的装备需求等级减少%additional_2_level_require%，<font color='#9370db'>召唤神龙</font>的属性提升效果增加%bonus_2%%% [+]"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects_additional_3"	"【急速定位】<font color='#9370db'>龙珠探寻</font>的间隔降低至%interval_3%秒，且于小地图上短暂显示"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects_additional_4"	"【内化】<font color='#9370db'>召唤神龙</font>时，永久获得%atb_3%点全属性"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects_additional_7"	"【龙脉】该圣物的装备需求等级减少%additional_7_level_require%。<font color='#9370db'>召唤神龙</font>有%chance_7%%%几率直接返还两颗龙珠"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_3_effects_additional_10"	"【巅峰造极】<font color='#9370db'>龙珠探寻</font>的探寻点会更接近英雄并提供视野。<font color='#9370db'>召唤神龙</font>直接削除全场所有敌人%cut_10%%%最大生命值（对BOSS仅削除20%%）"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_3_effects"	"龙珠"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_3_effects_Description"	"每个龙珠增加15点全属性"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_3_effects_lv40"	"内化"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_3_effects_lv40_Description"	"全属性增加%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_3_effects_buff_1"	"神龙之息"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_3_effects_buff_1_Description"	"造成的伤害增加%dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_3_effects_buff_2"	"神龙之血"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_3_effects_buff_2_Description"	"受到的伤害减少%dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_3_effects_buff_3"	"神龙之魄"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_3_effects_buff_3_Description"	"造成的伤害总增%dMODIFIER_PROPERTY_TOOLTIP%%%"
///////////////////////////////////////////////神话品质：等级要求24//////////////////////////////////////////////
"DOTA_Tooltip_ability_item_hd_godfire_effects"	"皎月神焰"
"DOTA_Tooltip_ability_item_hd_godfire_effects_main_ability_title"	"被动：神焰武器"
"DOTA_Tooltip_ability_item_hd_godfire_effects_main_ability"	"获得等同自身全额攻击力x%bonus_attack%%%的攻击附加伤害。"
"DOTA_Tooltip_ability_item_hd_godfire_effects_Lore"	"并非月光缠绕在这把剑上，这把剑本身就是月光。"
"DOTA_Tooltip_ability_item_hd_godfire_effects_bonus_damage"	"%+$damage"
"DOTA_Tooltip_ability_item_hd_godfire_effects_additional_1"	"【神焰强化】攻击附加伤害倍率提高至%bonus_attack_1%%%"
"DOTA_Tooltip_ability_item_hd_godfire_effects_additional_2"	"【月晷】获得等同自身最大魔法值x%mana_attack_2%%%的攻击力，同时你的普通攻击必中"
"DOTA_Tooltip_ability_item_hd_godfire_effects_additional_3"	"【焰行者】你的普通攻击伤害有%chance_3%%%几率享受火属性伤害修正"
"DOTA_Tooltip_ability_item_hd_godfire_effects_additional_4"	"【月之觉醒】击杀单位时，成长自身%attack_grow%点攻击力，最大成长%attack_grow_max%点，同时此圣物的装备需求等级减少%additional_4_level_require%"
"DOTA_Tooltip_ability_item_hd_godfire_effects_additional_7"	"【月之觉醒+】<font color='#9370db'>月之觉醒</font>不再限制击杀来源，成长速度翻倍，最大成长值提高至%attack_grow_max_7%点"
"DOTA_Tooltip_ability_item_hd_godfire_effects_additional_10""【巅峰造极】<font color='#9370db'>月之觉醒</font>在第一个怪物死亡时立刻获得%stack_10%点加成，随后的精英死亡将直接提供%index_10%倍叠加"

"DOTA_Tooltip_ability_item_hd_douqi_effects"	"斗狮狂雷"
"DOTA_Tooltip_ability_item_hd_douqi_effects_main_ability_title"	"被动：狂雷积蓄"
"DOTA_Tooltip_ability_item_hd_douqi_effects_main_ability"	"使用<font color='#9370db'>急行</font>、<font color='#9370db'>踏步</font>、<font color='#9370db'>领域</font>和<font color='#9370db'>避矢之加护</font>时获得%stack%点斗气点数，至多储存%stack_max%点。<br><br>造成非普通攻击类武技伤害时消耗全部斗气点数，使自身在%duration%秒内造成的此类武技伤害增加，增加量相当于消耗的斗气点数x%phy_outgoing%%% [×]。"
"DOTA_Tooltip_ability_item_hd_douqi_effects_Lore"	"来自虚祖的传世头盔，可以将习武者强大的斗气转化为狂雷，进一步强化身体机能。"
"DOTA_Tooltip_ability_item_hd_douqi_effects_bonus_spell_steal"	"%+$spell_lifesteal"
"DOTA_Tooltip_ability_item_hd_douqi_effects_additional_1"	"【斗气存储】斗气的最大储存量增加至%stack_max_1%点，且攻击会返还<font color='#9370db'>踏步</font>和<font color='#9370db'>领域</font>%cdback_1%秒剩余冷却时间"
"DOTA_Tooltip_ability_item_hd_douqi_effects_additional_2"	"【精壮斗狮】每层斗气提供的伤害增加提高至%phy_outgoing_2%%%，同时消耗斗气时每消耗一点斗气点数，都有%chance_max_2%%%的几率立刻返还%cost_back_2%点斗气点数"
"DOTA_Tooltip_ability_item_hd_douqi_effects_additional_3"	"【狂雷激涌】斗气的最大储存量增加至%stack_max_3%点，且在%time_3%秒内累计消耗%cost_3%点斗气点数后，立刻重置<font color='#9370db'>现断</font>和<font color='#9370db'>月牙天冲</font>的冷却时间"
"DOTA_Tooltip_ability_item_hd_douqi_effects_additional_4"	"【极诣】击杀敌人时，获得%stack_4%点斗气点数，这个效果每%interval_4%秒仅能触发一次。<br<br>你的<font color='#9370db'>贯通</font>、<font color='#9370db'>龙牙突</font>、<font color='#9370db'>现断</font>和<font color='#9370db'>月牙天冲</font>造成的伤害也会被视为雷属性伤害"
"DOTA_Tooltip_ability_item_hd_douqi_effects_additional_7"	"【武技精通】取出圣物时，如果仍有空余的技能位置，则会学习<font color='#9370db'>武艺修习</font>"
"DOTA_Tooltip_ability_item_hd_douqi_effects_additional_10"	"【巅峰造极】此圣物的装备需求等级减少%additional_10_level_require%级。斗气的增伤效果对<font color='#6481d9'>感电</font>单位增加%outgoing_10%%% [+]"
"DOTA_Tooltip_modifier_item_hd_douqi_effects_buff1"	"狂雷"
"DOTA_Tooltip_modifier_item_hd_douqi_effects_buff1_Description"	"造成的武技伤害增加"
"DOTA_Tooltip_modifier_item_hd_douqi_effects_buffcheck"	"狂雷激涌"
"DOTA_Tooltip_modifier_item_hd_douqi_effects_buffcheck_Description"	"消耗的斗气点数"

"DOTA_Tooltip_ability_item_hd_future_stone_effects"	"通彻石板"
"DOTA_Tooltip_ability_item_hd_future_stone_effects_main_ability_title"	"被动：千年之视"
"DOTA_Tooltip_ability_item_hd_future_stone_effects_main_ability"	"解锁高空视野，同时以%interval%秒的间隔对你视野范围内至多%max%个敌人施加印记，使他们受到的伤害增加%incoming%%%，不可叠加。"
"DOTA_Tooltip_ability_item_hd_future_stone_effects_Lore"	"这个石板不能拿来打牌，真的。"
"DOTA_Tooltip_ability_item_hd_future_stone_effects_bonus_vision"	"+$vision"                  
"DOTA_Tooltip_ability_item_hd_future_stone_effects_additional_1"	"【通透防护】<font color='#9370db'>千年之视</font>也会标记范围内的其他友军英雄，使他们受到的伤害减少%incoming_1%%%，不可叠加"
"DOTA_Tooltip_ability_item_hd_future_stone_effects_additional_2"	"【他心通】<font color='#9370db'>千年之视</font>触发时，范围内其他友军英雄的<font color='#9370db'>顿悟</font>计时立刻减少%insight_time_2%秒"
"DOTA_Tooltip_ability_item_hd_future_stone_effects_additional_3"	"【幕后之眼】处于低攻击优先级时，<font color='#9370db'>千年之视</font>的易伤效果提高至%incoming_3%%%，且<font color='#9370db'>他心通</font>减少量提高至%insight_time_3%秒"
"DOTA_Tooltip_ability_item_hd_future_stone_effects_additional_4"	"【全知全能之星】这件圣物的英雄等级需求减少%additional_4_level_require%。<br<br>取出圣物时，如果你处于低攻击优先级，且你和视野范围内最近的一名友方英雄仍有空余的技能位置，则会学习<font color='#9370db'>顿悟</font>"
"DOTA_Tooltip_ability_item_hd_future_stone_effects_additional_7"	"【自我通明】<font color='#9370db'>他心通</font>现在也会影响自身的<font color='#9370db'>顿悟</font>计时"
"DOTA_Tooltip_ability_item_hd_future_stone_effects_additional_10"	"【巅峰造极】<font color='#9370db'>顿悟</font>成功完成时若装备了此圣物，永久额外成长自身%bonus_10%%%精通和%bonus_10%%%伤害增加 [+]"
"DOTA_Tooltip_modifier_item_hd_future_stone_effects_debuff"	"通彻石板受伤增加"
"DOTA_Tooltip_modifier_item_hd_future_stone_effects_buff"	"通彻石板伤害减免"
"DOTA_Tooltip_modifier_item_hd_future_stone_effects_lv100"	"精通、伤害增加"

"DOTA_Tooltip_ability_item_hd_ice_slash_effects"	"血咬烈刃"
"DOTA_Tooltip_ability_item_hd_ice_slash_effects_main_ability_title"	"被动：裂创"
"DOTA_Tooltip_ability_item_hd_ice_slash_effects_main_ability"	"攻击时，有%chance%%%几率造成%crit_mult%%%的致命一击，并对目标施加<font color='#9370db'>撕裂</font>，使其受到的物理伤害增加%incoming%%%，持续%duration%秒。"
"DOTA_Tooltip_ability_item_hd_ice_slash_effects_Lore"	"看上去似乎有生命，不祥的血液已经开始发黑，是需要喂养的可怕武器。"
"DOTA_Tooltip_ability_item_hd_ice_slash_effects_bonus_attack"	"+$attack"
"DOTA_Tooltip_ability_item_hd_ice_slash_effects_additional_1"	"【精准】攻击<font color='#9370db'>撕裂</font>目标时，<font color='#9370db'>裂创</font>的触发几率提高%chance_1%%% [+]，但不会追加<font color='#9370db'>撕裂</font>效果"
"DOTA_Tooltip_ability_item_hd_ice_slash_effects_additional_2"	"【深度撕裂】<font color='#9370db'>撕裂</font>的物理易伤提高至%incoming_2%%%，持续时间增加至%duration_2%秒"
"DOTA_Tooltip_ability_item_hd_ice_slash_effects_additional_3"	"【放血】<font color='#9370db'>裂创</font>的致命一击会享受%steal_3%%%的吸血效果，这个效果在你的生命值低于%line_3%%%时翻倍"
"DOTA_Tooltip_ability_item_hd_ice_slash_effects_additional_4"	"【嗜血红樱】<font color='#9370db'>裂创</font>会在前方释放一道鲜血冲击对被击中的敌人施加<font color='#9370db'>血咬</font>，持续%duration_4%秒。攻击<font color='#9370db'>血咬</font>目标时，必定造成%crit_mult_4%%%的致命一击。鲜血冲击每%cd_4%秒至多触发一次。"
"DOTA_Tooltip_ability_item_hd_ice_slash_effects_additional_7"	"【食欲增加】<font color='#9370db'>裂创</font>的基础致命一击几率提高至%chance_7%%%"
"DOTA_Tooltip_ability_item_hd_ice_slash_effects_additional_10"	"【巅峰造极】<font color='#9370db'>嗜血红樱</font>弹道增加，其致命一击倍率变为%crit_mult_10%%%"
"DOTA_Tooltip_modifier_item_hd_ice_slash_effects_lv40"	"血咬"
"DOTA_Tooltip_modifier_item_hd_ice_slash_effects_debuff"	"撕裂"
"DOTA_Tooltip_modifier_item_hd_ice_slash_effects_debuff_Description"	"受到的物理伤害增加%dMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects"	"恒星之轨斗篷"
"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects_main_ability_title"	"被动：精神集中"
"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects_main_ability"	"获得相当于自身%mp_index%%%最大魔法值的护盾，这个护盾会在你%time%秒内未受到敌人伤害时迅速恢复。"
"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects_Lore"	"有一种说法是，人的精神是宇宙的映射，这件斗篷就来源于这个理论的资深研究者。"
"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects_bonus_mana_regen"	"+$mana_regen"
"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects_additional_1"	"【精神映射】最大魔法值护盾比率提高至%mp_index_1%%%"
"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects_additional_2"	"【主序演化】<font color='#9370db'>精神集中</font>护盾满时，额外提供%spell_amp_2%%%技能增强"
"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects_additional_3"	"【冥想】开始恢复时间缩短至%time_3%秒"
"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects_additional_4"	"【精神演化】击杀敌人时，恢复已损失护盾值的%recharge_4%%%"
"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects_additional_7"	"【集中】<font color='#9370db'>精神集中</font>护盾大于自身最大魔法值的%line_7%%%时，造成的伤害总增%outgoing_7%%% [×]"
"DOTA_Tooltip_ability_item_hd_sunmoon_cloth_effects_additional_10"	"【巅峰造极】<font color='#9370db'>精神集中</font>最大护盾+（智力×%int_10%）点，开始恢复所需时间变为%time_10%秒"
"DOTA_Tooltip_modifier_item_hd_sunmoon_cloth_effects"	"精神集中护盾"

"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects"	"智行魔刃"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_main_ability_title"	"被动：智行"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_main_ability"	"每%need%点（敏捷+智力）会提供一层<font color='#9370db'>智行</font>：每层增加%attack_speed%%%攻击速度和%spell_amp%%%技能增强，至多叠加%stack_max%层。"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_Lore"	"[玩家投稿]：来自玩家[樱小路露娜]的设计投稿，于北京时间25/5/25后开放掉落，已开放购买途径。"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_bonus_int"	"+$int"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_bonus_agi"	"+$agi"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_additional_1"	"【智行之雷】普通攻击命中时，追加（敏捷+智力）*%damage_1%的雷属性魔法伤害，每%cd_1%秒至多触发一次。普通攻击命中会减少其%time_reduce_1%%%剩余触发间隔"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_additional_2"	"【智敏双全】智力高于%int_line_2%点时，<font color='#9370db'>智行</font>提供的叠加上限提高至%stack_max_2%；敏捷高于%agi_line_2%点时，<font color='#9370db'>智行之雷</font>会在生效前使敌人受到的伤害增加%defense_down_2%%%，持续%duration_2%秒"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_additional_3"	"【融会】此圣物的装备需求等级减少%additional_3_level_require%级，同时每%int_line_3%点智力会使你造成的雷属性伤害增加%outgoing_3%%% [+]"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_additional_4"	"【雷电之捷】每%int_line_3%点敏捷会使<font color='#9370db'>智行之雷</font>的触发间隔减少%cd_reduce_4%秒，至多减少至%cd_4%秒。击杀处于<font color='#9370db'>智敏双全</font>的负面状态下的单位时，对其周围%radius_4%范围内至多%max_4%个敌人发动<font color='#9370db'>智行之雷</font>"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_additional_7"    "【智行+】<font color='#9370db'>智行</font>的最大叠加层数提高%stack_max_7%层"
"DOTA_Tooltip_ability_item_hd_dingzhi_luna_effects_additional_10"    "【巅峰造极】<font color='#9370db'>智敏双全</font>取消属性要求，<font color='#9370db'>融会</font>总是取用你敏捷和智力中较高者"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_effects_lv20"	"智行之雷"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_effects_lv20"	"受到的伤害增加"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_effects"	"智行"
"DOTA_Tooltip_modifier_item_hd_dingzhi_luna_effects_Description"	"攻击速度增加%fMODIFIER_PROPERTY_TOOLTIP%%%<br>技能增强增加%fMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_ability_item_hd_light_dark_effects"	"光与暗的追逐"
"DOTA_Tooltip_ability_item_hd_light_dark_effects_main_ability_title"	"被动：交融"
"DOTA_Tooltip_ability_item_hd_light_dark_effects_main_ability"	"造成圣属性或暗属性伤害时，获得%cost_get%点触发点数。<br><br>自身周围%radius%范围内存在敌人时，消耗%cost%触发点数对其发动<font color='#9370db'>光影噬灵</font>，立刻对其造成主属性×%damage%点圣属性魔法伤害，并使其在随后的%duration%秒内持续受到共主属性×%damage_dot%点暗属性魔法伤害。<br><br><font color='#9370db'>光影噬灵</font>的最短触发间隔为%interval%秒，被重复施加时会将剩余伤害合并。"
"DOTA_Tooltip_ability_item_hd_light_dark_effects_Lore"	"您/我已经知晓，这是永无法触及彼此的循环，唯有死亡得以分开，得以解脱。"
"DOTA_Tooltip_ability_item_hd_light_dark_effects_spell_amp"	"%+$spell_amp"                 
"DOTA_Tooltip_ability_item_hd_light_dark_effects_additional_1"	"【圣光强化】<font color='#9370db'>光影噬灵</font>造成的直接伤害提高至主属性×%damage_1%"
"DOTA_Tooltip_ability_item_hd_light_dark_effects_additional_2"	"【暗影强化】<font color='#9370db'>光影噬灵</font>造成的持续伤害提高至主属性×%damage_dot_2%"
"DOTA_Tooltip_ability_item_hd_light_dark_effects_additional_3"	"【交织】造成圣属性或暗属性伤害时，有%chance_3%%%几率直接对其施加一次免费的<font color='#9370db'>光影噬灵</font>"
"DOTA_Tooltip_ability_item_hd_light_dark_effects_additional_4"	"【双子落幕】任意友军英雄死亡时，对其周围%radius_4%范围内的敌人施加一次免费的<font color='#9370db'>光影噬灵</font>并成长自身%atb_4%点全属性。单人模式下，非触发的<font color='#9370db'>光影噬灵</font>有%chance_4%%%几率直接触发此效果，且变更为自身周围%radius%范围"
"DOTA_Tooltip_ability_item_hd_light_dark_effects_additional_7"  "【双子落幕+】<font color='#9370db'>双子落幕</font>会以%interval_7%秒的间隔，以自身为中心对周围%radius%范围的敌人自动触发"	
"DOTA_Tooltip_ability_item_hd_light_dark_effects_additional_10"  "【巅峰造极】<font color='#9370db'>光影噬灵</font>融合为单次圣、暗属性伤害，伤害等于二者总和的%damage_10%%%"	

"DOTA_Tooltip_modifier_item_hd_light_dark_effects"	"双子落幕"
"DOTA_Tooltip_modifier_item_hd_light_dark_effects_Description"	"全属性增加%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_modifier_item_hd_light_dark_effects_debuff"	"光影噬灵"
"DOTA_Tooltip_modifier_item_hd_light_dark_effects_debuff_Description"	"持续受到暗属性伤害"

"DOTA_Tooltip_ability_item_hd_arcane_shard_effects"	"奥秘碎片"
"DOTA_Tooltip_ability_item_hd_arcane_shard_effects_main_ability_title"	"被动：奥法爆发"
"DOTA_Tooltip_ability_item_hd_arcane_shard_effects_main_ability"	"对敌人造成的首次技能伤害总增%outgoing%%% [×]，非直接伤害不会触发。"
"DOTA_Tooltip_ability_item_hd_arcane_shard_effects_Lore"	"你不知道它是哪里来的，也许是某个星体的碎片？"
"DOTA_Tooltip_ability_item_hd_arcane_shard_effects_bonus_spell_amp"	"%+$spell_amp"
"DOTA_Tooltip_ability_item_hd_arcane_shard_effects_additional_1"	"【能量残余】<font color='#9370db'>奥法爆发</font>提供+%atb_1%全属性，持续%duration_1%秒"
"DOTA_Tooltip_ability_item_hd_arcane_shard_effects_additional_2"	"【法力发掘】+%spell_amp_2%%%技能增强"
"DOTA_Tooltip_ability_item_hd_arcane_shard_effects_additional_3"	"【爆破】<font color='#9370db'>奥法爆发</font>的增幅效果在敌人生命值大于%line_3%%%时提高至%outgoing_3%%%"
"DOTA_Tooltip_ability_item_hd_arcane_shard_effects_additional_4"	"【多重奏】<font color='#9370db'>奥法爆发</font>每%time_4%秒可对同一敌人重新生效"
"DOTA_Tooltip_ability_item_hd_arcane_shard_effects_additional_7"	"【奥秘揭示】<font color='#9370db'>奥法爆发</font>冷却期间，敌人魔法抗性-%magic_res_7%%%"
"DOTA_Tooltip_ability_item_hd_arcane_shard_effects_additional_10"	"【巅峰造极】+%spell_amp_10%%%技能增强。<font color='#9370db'>爆破</font>生效阈值变为%line_10%%%，且在触发时前置眩晕敌人%duration_10%秒<font color='#9370db'>[状态抗性影响50%%]</font>"
"DOTA_Tooltip_modifier_item_hd_arcane_shard_effects"	"奥法爆发"
"DOTA_Tooltip_modifier_item_hd_arcane_shard_effects_Description"	"全属性增加"
"DOTA_Tooltip_modifier_item_hd_arcane_shard_effects_cd"	"奥法爆发冷却中"
"DOTA_Tooltip_modifier_item_hd_arcane_shard_effects_Description"	"被触发过奥法爆发"
///////////////////////////////////////////////不朽品质：等级要求30//////////////////////////////////////////////

"DOTA_Tooltip_ability_item_hd_starstaff_effects"	"辉石奇点之杖"
"DOTA_Tooltip_ability_item_hd_starstaff_effects_main_ability_title" "被动：辉石彗星"
"DOTA_Tooltip_ability_item_hd_starstaff_effects_main_ability"	"每秒获得%trigger%触发点数。<br><br>自身周围%radius%范围内存在敌人时，消耗%cost%触发点数对其发动一次彗星冲击，对%aoe_radius%范围内的敌人造成主属性×%damage%的暗属性魔法伤害。最短触发间隔为%interval%秒。"
"DOTA_Tooltip_ability_item_hd_starstaff_effects_Lore"	"彗星亚兹勒，传说中的魔法，如今被奇点限制在一根法杖之内。"
"DOTA_Tooltip_ability_item_hd_starstaff_effects_bonus_spell_amp"	"%+$spell_amp"
"DOTA_Tooltip_ability_item_hd_starstaff_effects_additional_1"	"【奇点魔力转换】<font color='#9370db'>辉石彗星</font>现在具有基础伤害，数值等于你最大魔法值的%mp_damage_1%%%"
"DOTA_Tooltip_ability_item_hd_starstaff_effects_additional_2"	"【辉石力】每秒获得的触发点数提高至%trigger_2%，<font color='#9370db'>辉石彗星</font>伤害提高至主属性×%damage_2%"
"DOTA_Tooltip_ability_item_hd_starstaff_effects_additional_3"	"【冰石】消耗的触发点数降低至%cost_3%，且<font color='#9370db'>辉石彗星</font>变为冰、暗属性伤害"
"DOTA_Tooltip_ability_item_hd_starstaff_effects_additional_4"	"【魔力吸收】<font color='#9370db'>辉石彗星</font>击杀敌人时，返还%cost_back_4%%%消耗的触发点数"
"DOTA_Tooltip_ability_item_hd_starstaff_effects_additional_7"	"【粉碎冲击】被<font color='#9370db'>辉石彗星</font>命中的敌人将会陷入破坏状态<font color='#9370db'>[状态抗性影响100%%]</font>，持续%duration_7%秒"
"DOTA_Tooltip_ability_item_hd_starstaff_effects_additional_10"	"【终天流星雨】<font color='#9370db'>辉石彗星</font>数量+%num_10%，额外的彗星不消耗触发点数。"

"DOTA_Tooltip_modifier_item_hd_starstaff_effects_lv70"	"粉碎冲击"
"DOTA_Tooltip_modifier_item_hd_starstaff_effects_lv70_Description"	"被动破坏"

"DOTA_Tooltip_ability_item_hd_snake_knife_effects"	"灵蛇玉匕"
"DOTA_Tooltip_ability_item_hd_snake_knife_effects_main_ability_title" "被动：灵蛇冲击"
"DOTA_Tooltip_ability_item_hd_snake_knife_effects_main_ability"	"击杀单位时，对自身%radius%范围内至多%max%个最近的敌人放出灵蛇，降低他们%spell_amp_down%%%技能增强 [+]，持续%duration%秒。最短触发间隔为%cd%秒。"
"DOTA_Tooltip_ability_item_hd_snake_knife_effects_Lore"	"于2025蛇年推出的新年圣物，祝各位新年愉快，蛇年大吉"
"DOTA_Tooltip_ability_item_hd_snake_knife_effects_bonus_outgoing_add"	"%+$outgoing_add"
"DOTA_Tooltip_ability_item_hd_snake_knife_effects_additional_1"	"【青翠之咬】灵蛇命中时，对目标施加其%poison_hp_1%%%最大生命值的中毒累积"
"DOTA_Tooltip_ability_item_hd_snake_knife_effects_additional_2"	"【灵蛇冲击+】技能增强降低效果提高至%spell_amp_down_2%%%，同时在命中敌人时回复自身%mana_2%%%最大魔法值"
"DOTA_Tooltip_ability_item_hd_snake_knife_effects_additional_3"	"【灵蛇送福到】<font color='#9370db'>灵蛇冲击</font>也会对自身和范围内最多%max_3%个友军英雄释放，使他们收到%gold_min_3%至%gold_max_3%金币的拼手气红包"
"DOTA_Tooltip_ability_item_hd_snake_knife_effects_additional_4"	"【蛇舞青云】此圣物的装备需求等级减少%additional_4_level_require%，同时每%interval_4%秒会触发一次免费的<font color='#9370db'>灵蛇冲击</font>"
"DOTA_Tooltip_ability_item_hd_snake_knife_effects_additional_7"	"【狂舞蛇影】<font color='#9370db'>灵蛇冲击</font>的最短触发间隔减少至%cd_7%秒，且不再限制击杀来源"
"DOTA_Tooltip_modifier_item_hd_snake_knife_effects_debuff"	"灵蛇冲击"
"DOTA_Tooltip_modifier_item_hd_snake_knife_effects_debuff_Description"	"技能增强被降低"

"DOTA_Tooltip_ability_item_hd_spirit_nami_effects"	"精灵之泪戒指"
"DOTA_Tooltip_ability_item_hd_spirit_nami_effects_main_ability_title" "被动：冰泪"
