"DOTA_Tooltip_ability_item_hd_Treasure5_shop"	"L神的秘宝箱<font color=\"#777777\">-商店</font>"
"DOTA_Tooltip_ability_item_chaotic_class_gold_Description" "立刻获得：<br><br>%num_1%张<font color='#9370db'>技能卷轴：1环</font><br>%num_2%张<font color='#9370db'>技能卷轴：2环</font><br>%gold%金币"
//钱re
"DOTA_Tooltip_ability_item_chaotic_class_gold_later" "返还资金"
"DOTA_Tooltip_ability_item_chaotic_class_gold_later_Description" "立刻获得%gold%金币"
//圣器：支援，假kv
"DOTA_Tooltip_ability_item_chaotic_class_ass" "职能：增辉者"
"DOTA_Tooltip_ability_item_chaotic_class_ass_Description" "伤害总降%damage_down%%% [×]，但施法会提高所有其他非增辉友军的全属性，可叠加延长持续时间。<br><br>立刻学习<font color='#9370db'>治疗之手</font>。"
"DOTA_Tooltip_ability_item_chaotic_class_ass_duration" "基础初始持续时间："
"DOTA_Tooltip_ability_item_chaotic_class_ass_bonus_duration" "额外持续时间：英雄等级 x"
"DOTA_Tooltip_ability_item_chaotic_class_ass_cast_duration" "施法延长持续时间："
"DOTA_Tooltip_ability_item_chaotic_class_ass_other_atb" "基础全属性："
"DOTA_Tooltip_ability_item_chaotic_class_ass_bonus_other_atb" "%额外全属性：自身全属性 x"
"DOTA_Tooltip_modifier_item_chaotic_class_ass" "职能：增辉者"
"DOTA_Tooltip_modifier_item_chaotic_class_ass_Description" "伤害总降%dMODIFIER_PROPERTY_TOOLTIP%%%<br><br>释放冷却时间高于1秒的技能会提高所有其他非增辉英雄%fMODIFIER_PROPERTY_TOOLTIP%点全属性，持续%fMODIFIER_PROPERTY_TOOLTIP%秒，持续期间内触发则延长%fMODIFIER_PROPERTY_TOOLTIP%秒。"
"DOTA_Tooltip_modifier_item_chaotic_class_ass_active" "变幻"
"DOTA_Tooltip_modifier_item_chaotic_class_ass_active_Description" "获得%fMODIFIER_PROPERTY_TOOLTIP%点力量、%fMODIFIER_PROPERTY_TOOLTIP%点敏捷、%fMODIFIER_PROPERTY_TOOLTIP%点智力"
//圣器：召唤，假kv
"DOTA_Tooltip_ability_item_chaotic_class_summon" "职能：通灵者"
"DOTA_Tooltip_ability_item_chaotic_class_summon_Description" "造成伤害总降%outgoing%%% [×]，但你的召唤兽的攻击速度提高，且在其攻击时回复你%mp_regen%%%最大魔法值。<br><br>被动获得召唤增强和基础攻击力，立刻学习<font color='#9370db'>精灵召唤：森林精灵</font>。"
"DOTA_Tooltip_ability_item_chaotic_class_summon_speed" "攻击速度提高：英雄等级 x"
"DOTA_Tooltip_ability_item_chaotic_class_summon_summon" "%基础召唤增强："
"DOTA_Tooltip_ability_item_chaotic_class_summon_bonus_summon" "%额外召唤增强：英雄等级 x"
"DOTA_Tooltip_ability_item_chaotic_class_summon_base_attack" "基础攻击力："
"DOTA_Tooltip_ability_item_chaotic_class_summon_bonus_base_attack" "%额外基础攻击力：英雄等级 x"
"DOTA_Tooltip_modifier_item_chaotic_class_summon" "职能：通灵者"
"DOTA_Tooltip_modifier_item_chaotic_class_summon_Description" "造成伤害总降%dMODIFIER_PROPERTY_TOOLTIP%%%<br>获得%fMODIFIER_PROPERTY_TOOLTIP%%%召唤增强<br>获得%fMODIFIER_PROPERTY_TOOLTIP%基础攻击力<br><br>召唤兽攻击速度提高%dMODIFIER_PROPERTY_TOOLTIP%点<br>召唤兽攻击命中时回复你%fMODIFIER_PROPERTY_TOOLTIP%点魔法值。"
"DOTA_Tooltip_modifier_item_chaotic_class_summon_active" "魂契"
"DOTA_Tooltip_modifier_item_chaotic_class_summon_active_Description" "攻击速度提高，攻击会回复召唤者的魔法值"
//圣器：T，假kv
// "DOTA_Tooltip_ability_item_chaotic_class_tank" "职能："
// "DOTA_Tooltip_ability_item_chaotic_class_tank_Description" "<h1>核心：历战</h1>受到敌人伤害后获得生命恢复，持续%duration%秒。攻击敌人会消耗这个状态并获得永久最大生命值，每%interval%秒最多消耗一次。\n<h1>被动：磐石</h1>被动获得额外最大生命值且你受到来自精英单位的伤害降低%incoming%%%，但造成的伤害总降%outgoing_down%%%。"
// "DOTA_Tooltip_ability_item_chaotic_class_tank_hp_regen" "%历战生命恢复：英雄等级 x"
// "DOTA_Tooltip_ability_item_chaotic_class_tank_hp_max" "历战永久最大生命值：英雄等级 x"
// "DOTA_Tooltip_ability_item_chaotic_class_tank_bonus_hp" "额外最大生命值：英雄等级 x"
// "DOTA_Tooltip_modifier_item_chaotic_class_tank" "职能圣器：不屈者"
// "DOTA_Tooltip_modifier_item_chaotic_class_tank_Description" "受到敌人伤害后获得英雄等级x0.03%%生命恢复，持续1秒。攻击敌人会消耗这个状态并获得英雄等级x1点永久最大生命值，每15秒最多消耗一次。受到精英单位的伤害降低25%%，造成的伤害总降30%%<br><br>被动总计获得%dMODIFIER_PROPERTY_TOOLTIP%点额外最大生命值"
// "DOTA_Tooltip_modifier_item_chaotic_class_tank_active" "历战"
// "DOTA_Tooltip_modifier_item_chaotic_class_tank_active_Description" "获得生命恢复"



//圣器：法师，假kv
"DOTA_Tooltip_ability_item_chaotic_class_spell" "职能圣器：毁灭者"
"DOTA_Tooltip_ability_item_chaotic_class_spell_Description" "<h1>核心：熔融</h1>对敌人造成技能伤害后，使其受到来自你的伤害增加[+]，持续%duration%秒。\n<h1>被动：法潮</h1>被动获得技能增强。"
"DOTA_Tooltip_ability_item_chaotic_class_spell_spell" "%基础熔融受到伤害增加："
"DOTA_Tooltip_ability_item_chaotic_class_spell_bonus_spell" "%基础熔融受到伤害增加：英雄等级 x"
"DOTA_Tooltip_ability_item_chaotic_class_spell_bonus_spell_amp" "%技能增强：英雄等级 x"
"DOTA_Tooltip_modifier_item_chaotic_class_spell" "职能圣器：毁灭者"
"DOTA_Tooltip_modifier_item_chaotic_class_spell_Description" "对敌人造成技能伤害后，使其受到来自你的伤害增加10%%+英雄等级x0.9%%[+]，持续3秒。<br><br>被动获得%fMODIFIER_PROPERTY_TOOLTIP%%%技能增强。"
"DOTA_Tooltip_modifier_item_chaotic_class_spell_active" "熔融"
"DOTA_Tooltip_modifier_item_chaotic_class_spell_active_Description" "受到来自施法者的伤害增加"

