"DOTA_Tooltip_ability_item_hd_Treasure5_shop"	"L's Secret Treasure Chest<font color=\"#777777\">-Shop</font>"
"DOTA_Tooltip_ability_item_act3_earth_Description" "<h1>Passive: Blessing of the Earth Spirit</h1> Every hero level provides hero level × %armor_1% armor and %magicres_1%%% magic resistance. <br><br> Gain 1 Spirit Point every %need% times attacked (maximum Spirit Points = max rounds × 5). \n<h1>%check2% Spirit Points Passive: Heavy Earth</h1> You have %chance_2%%% chance to deal %crit_2%%% damage, which can coexist with other critical strike effects. \n<h1>%check3% Spirit Points Passive: Solid Steel Earth</h1> Reflect back the first attack from an enemy, stunning them for %duration_3% seconds and making them unable to deal damage during that time. \n<h1>%check4% Spirit Points Passive: Titan's Gift</h1> Each point of armor provides %outgoing_4%%% damage increase [+], each 1%% magic resistance provides %incoming_4%%% damage reduction (maximum 50%% 30%%)."
"DOTA_Tooltip_ability_item_act3_earth_point_armor" "+ Armor / per point"
"DOTA_Tooltip_modifier_item_act3_earth_3" "Solid Steel Earth"
"DOTA_Tooltip_modifier_item_act3_earth_3_Description" "Stunned, unable to deal damage"
"DOTA_Tooltip_modifier_item_act3_earth" "Titan's Gift"
"DOTA_Tooltip_modifier_item_act3_earth_Description" "Damage increased by %fMODIFIER_PROPERTY_TOOLTIP%%%, gain %fMODIFIER_PROPERTY_TOOLTIP%%% damage reduction"
"DOTA_Tooltip_ability_item_act3_earth_Note0" "<font color='#606060'>Spirit Points increase Heavy Earth's damage bonus.</font>"

"DOTA_Tooltip_ability_item_act3_water" "Leviathan's Scale <font color='#777777'>- Pass Legendary </font>"
"DOTA_Tooltip_ability_item_act3_water_Description" "<h1>Passive: Blessing of the Water Spirit</h1> Every %interval% seconds, restore %regen_1%%% of your missing health and mana and reduce cooldowns of all refreshable skills by %cd_1% seconds. <br><br> Gain 1 Spirit Point every %need% casts of skills with cooldowns not less than 5 seconds (maximum Spirit Points = max rounds × 5). \n<h1>%check2% Spirit Points Passive: Pure Water</h1> When <font color='#9370db'>Blessing of Water Spirit</font> takes effect, perform a <font color='#9370db'>Strong Dispel</font> on yourself and make you immune to damage for %duration_2% seconds. \n<h1>%check3% Spirit Points Passive: Vast Water</h1> <font color='#9370db'>Blessing of Water Spirit</font> will affect non-refreshable skills at %index_3%%% efficiency, and trigger <font color='#9370db'>Flood</font> on a random enemy within %radius_3% range: dealing area-of-effect ice damage and knock-up. \n<h1>%check4% Spirit Points Passive: Leviathan's Gift</h1> Cast animation time reduced by %casttime_4%%%, <font color='#9370db'>Blessing of Water Spirit</font>'s cooldown refund effect increased to %cd_4% seconds."
"DOTA_Tooltip_ability_item_act3_water_point_cd" "%+ Cooldown Reduction / per point"
"DOTA_Tooltip_modifier_item_act3_water_2" "Pure Water"
"DOTA_Tooltip_modifier_item_act3_water_2_Description" "Immune to damage"
"DOTA_Tooltip_ability_item_act3_water_Note0" "<font color='#606060'>Flood's damage takes the higher value between full attack damage and attribute scaling, and deals either physical or magical damage accordingly. Spirit Points increase Flood's damage.</font>"

"DOTA_Tooltip_ability_item_act3_chaos_unupdate" "Sealed Ashes <font color='#777777'>- Pass Legendary </font>"
"DOTA_Tooltip_ability_item_act3_chaos_unupdate_Description" "<h1>Passive: What the Hell is This Good For??</h1> Movement speed reduced by %move_down%, damage taken increased by %incoming%%%, total damage dealt reduced by %outgoing%%% [×]. <br><br> Gain 5 Spirit Points at the start of each round."
"DOTA_Tooltip_ability_item_act3_chaos" "<font color='#ffa62aff'>Unsealed Fortune - Pass Legendary </font>"
"DOTA_Tooltip_ability_item_act3_chaos_Description" "<h1><font color='#ffa62aff'>Passive: World's Blessing</font></h1><font color='#ffef73ff'>Instantly level up by %level% upon obtaining this relic.</font>"
"DOTA_Tooltip_ability_item_act3_chaos_all" "+ All Attributes"
"DOTA_Tooltip_ability_item_act3_chaos_profic" "%+ Proficiency"
"DOTA_Tooltip_ability_item_act3_chaos_outgoing_mult" "%+ Total Damage Increase [×]"
"DOTA_Tooltip_ability_item_act3_chaos_incoming" "%+ Damage Reduction"
"DOTA_Tooltip_ability_item_act3_chaos_cooldown_reduction" "%+ Cooldown Reduction"
"DOTA_Tooltip_ability_item_act3_chaos_summon_intensity" "%+ Summon Amplification"
"DOTA_Tooltip_ability_item_act3_chaos_manacost_reduction" "%+ Mana Cost Reduction"


// ACT4: Four Spirits Legend Month

"npc_shrine_1"  "Void Echo"  
"npc_shrine_2"  "Ember Echo"  
"npc_shrine_3"  "Earth Echo"  
"npc_shrine_4"  "Storm Echo"  

"DOTA_HUD_act4_active_info"         "{s:locstring_value} has activated {s:locstring_value2} for the entire team!"  

"DOTA_Tooltip_modifier_act4_fire"	"Spirit Possession: Ember Spirit"  
"DOTA_Tooltip_modifier_act4_fire_Description"	"%dMODIFIER_PROPERTY_TOOLTIP%%% chance to deal %dMODIFIER_PROPERTY_TOOLTIP%%% Critical StrikeAttacks <br>deal Fire-type physical damage equal to Primary Attribute × %dMODIFIER_PROPERTY_TOOLTIP%<br>Total Damage Increased by %dMODIFIER_PROPERTY_TOOLTIP%%% [×]<br>After %dMODIFIER_PROPERTY_TOOLTIP% attacks, unleashes Sleight of Fist"  

"DOTA_Tooltip_modifier_act4_storm"	"Spirit Possession: Storm Spirit"  
"DOTA_Tooltip_modifier_act4_storm_Description"	"+%dMODIFIER_PROPERTY_TOOLTIP% Mana Regeneration<br>-%dMODIFIER_PROPERTY_TOOLTIP%%% Mana Cost<br>+%dMODIFIER_PROPERTY_TOOLTIP%%% Cooldown Reduction<br>After casting %dMODIFIER_PROPERTY_TOOLTIP% spells, triggers Electric Explosion"  

"DOTA_Tooltip_modifier_act4_earth"	"Spirit Possession: Earth Spirit"  
"DOTA_Tooltip_modifier_act4_earth_Description"	"+%fMODIFIER_PROPERTY_TOOLTIP%%% Damage Reduction<br>+%dMODIFIER_PROPERTY_TOOLTIP% Strength<br>Damage taken cannot exceed 10%% of max HP<br>Applies Magnetize every %dMODIFIER_PROPERTY_TOOLTIP% seconds"  
"DOTA_Tooltip_modifier_act4_earth_magnetize_debuff"	"Magnetized"  
"DOTA_Tooltip_modifier_act4_earth_magnetize_debuff_Description"	"Damage Taken Increased by %dMODIFIER_PROPERTY_TOOLTIP%%%"  

"DOTA_Tooltip_modifier_act4_void"	"Spirit Possession: Void Spirit"  
"DOTA_Tooltip_modifier_act4_void_Description"	"Gains %dMODIFIER_PROPERTY_TOOLTIP%%% Magic Resistance from Strength<br>Gains %dMODIFIER_PROPERTY_TOOLTIP%%% Critical Strike Damage from Agility<br>Gains %dMODIFIER_PROPERTY_TOOLTIP%%% Spell Amplification from Intelligence<br>After killing %dMODIFIER_PROPERTY_TOOLTIP% enemies, casts Path of the Void"
